conotool csv
//HEADER//
invert,0
maxtheta,90 
maxphi,359 
thetastep,1 
phistep,1 
source,Autronics
filename,@Detector_Ang20340.csv
commondata,yes
datatype,Luminance
spotsize,N/A
spotinpower,N/A
//BODY//
Phi\Theta,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,
0 ,7.019064 ,6.935813 ,6.769311 ,6.602808 ,6.436305 ,6.269803 ,6.230068 ,6.330121 ,6.477545 ,6.389955 ,6.055517 ,5.568318 ,5.095823 ,4.647935 ,4.241186 ,4.263417 ,4.445793 ,4.679681 ,4.327207 ,3.591596 ,3.016542 ,2.659368 ,2.760311 ,2.640373 ,2.333036 ,1.756914 ,1.338973 ,1.227708 ,1.280099 ,1.285135 ,1.316772 ,1.101768 ,0.8587991 ,0.7599283 ,0.8872946 ,0.9035191 ,0.6628417 ,0.5324459 ,0.4652676 ,0.4525955 ,0.3131589 ,0.1931815 ,0.2456391 ,0.2277779 ,0.3076579 ,0.1389478 ,0.1038561 ,0.1307795 ,0.1609507 ,0.1810752 ,0.07427185 ,0.04134168 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
1 ,7.009079 ,6.898078 ,6.676074 ,6.454071 ,6.232067 ,6.010064 ,5.880647 ,5.853327 ,5.937974 ,6.058617 ,6.049228 ,5.680089 ,5.104732 ,4.524149 ,4.132292 ,4.239456 ,4.431419 ,4.673662 ,4.319742 ,3.652621 ,3.139719 ,2.752075 ,2.65609 ,2.351394 ,2.125902 ,1.727322 ,1.394549 ,1.174755 ,1.250929 ,1.315517 ,1.322935 ,1.187442 ,0.9844348 ,0.8716975 ,0.8408785 ,0.8037776 ,0.6545483 ,0.5680602 ,0.4962554 ,0.460345 ,0.2700778 ,0.2026857 ,0.2079633 ,0.231657 ,0.2726023 ,0.2492077 ,0.2043569 ,0.2952265 ,0.212216 ,0.2390486 ,0.07707569 ,0.05512224 ,0.02720862 ,0.08064118 ,0.08064118 ,0.08303755 ,0.05088189 ,0.05088189 ,0.03513033 ,0.02282796 ,0.02282796 ,8.974542e-3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
2 ,7.002423 ,6.872921 ,6.613917 ,6.354912 ,6.095908 ,5.836904 ,5.70715 ,5.719923 ,5.867844 ,6.009237 ,5.946189 ,5.426734 ,4.972935 ,4.751283 ,4.56466 ,4.392779 ,4.091499 ,4.215001 ,4.048045 ,3.624541 ,3.263101 ,2.940899 ,2.823479 ,2.366721 ,2.095656 ,1.716093 ,1.551286 ,1.411088 ,1.356662 ,1.368961 ,1.257017 ,1.215851 ,1.025345 ,0.8750832 ,0.8250646 ,0.686402 ,0.5354754 ,0.4688602 ,0.4596758 ,0.4977043 ,0.2935916 ,0.2437648 ,0.1725625 ,0.2081636 ,0.2312589 ,0.26686 ,0.2810048 ,0.2882653 ,0.217063 ,0.1592771 ,0.06316223 ,0.02756112 ,0.02720862 ,0.08064118 ,0.1062068 ,0.1382082 ,0.1060525 ,0.1158497 ,0.07049311 ,0.05819075 ,0.05557642 ,0.04172301 ,0.03274846 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
3 ,7.035706 ,6.998706 ,6.924705 ,6.850704 ,6.776702 ,6.702701 ,6.472718 ,6.070728 ,5.712379 ,5.916755 ,6.255505 ,5.888809 ,5.009368 ,4.257202 ,4.297957 ,4.474952 ,4.434339 ,4.280207 ,4.115713 ,3.954089 ,3.650079 ,3.209354 ,2.750631 ,2.375878 ,2.130413 ,1.884813 ,1.63517 ,1.49986 ,1.581007 ,1.574359 ,1.47067 ,1.198674 ,0.9904172 ,0.8279659 ,0.832748 ,0.8541239 ,0.6714922 ,0.4971886 ,0.37282 ,0.4303267 ,0.3743539 ,0.3508751 ,0.2394235 ,0.2503013 ,0.2378943 ,0.3007207 ,0.2651196 ,0.2971939 ,0.2168542 ,0.1732131 ,0.05218551 ,0.02756112 ,0.05441724 ,0.1345661 ,0.1856973 ,0.1964862 ,0.1519385 ,0.13617 ,0.08481731 ,0.05819075 ,0.05557642 ,0.04172301 ,0.03274846 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
4 ,7.032378 ,6.986127 ,6.893626 ,6.801124 ,6.708623 ,6.616122 ,6.436927 ,6.162134 ,5.886306 ,5.855364 ,5.873587 ,5.558988 ,5.028164 ,4.627781 ,4.778371 ,4.64597 ,4.321783 ,3.922823 ,3.910782 ,3.911709 ,3.621986 ,3.12435 ,2.740938 ,2.503923 ,2.214714 ,1.960061 ,1.712829 ,1.858055 ,1.94443 ,1.800895 ,1.590124 ,1.132953 ,0.8998714 ,0.6913923 ,0.77563 ,0.8662991 ,0.6641516 ,0.4538045 ,0.3388898 ,0.4982618 ,0.5257528 ,0.4469304 ,0.2699988 ,0.2966603 ,0.2856753 ,0.2191245 ,0.1459842 ,0.1353946 ,0.1563404 ,0.09317818 ,0.04154606 ,0.01692167 ,0.0360903 ,0.0539249 ,0.1050562 ,0.1134487 ,0.1010566 ,0.0852881 ,0.04968699 ,0.06198936 ,0.0921235 ,0.0921235 ,0.06549693 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
5 ,7.015736 ,6.923235 ,6.738232 ,6.553229 ,6.368226 ,6.183223 ,6.105101 ,6.144839 ,6.288278 ,6.404698 ,6.288206 ,5.679182 ,4.997104 ,4.596806 ,4.833289 ,4.671 ,4.458056 ,4.236701 ,4.428785 ,4.401979 ,3.873106 ,3.163173 ,2.72356 ,2.619292 ,2.554947 ,2.280234 ,1.959607 ,1.82751 ,1.796881 ,1.593413 ,1.427381 ,1.185758 ,1.000578 ,0.8541628 ,0.8483353 ,0.9974812 ,0.8143481 ,0.5431776 ,0.3840112 ,0.477583 ,0.5007224 ,0.3917419 ,0.2971973 ,0.3733055 ,0.3213753 ,0.2173841 ,0.05158521 ,0.1067548 ,0.1295399 ,0.1234351 ,0.04154606 ,0.01692167 ,0.0360903 ,0.0539249 ,0.07949053 ,0.05827804 ,0.04588596 ,0.02032033 ,0.0143242 ,0.02662657 ,0.06222768 ,0.08425412 ,0.05762755 ,0.02202644 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
6 ,6.975795 ,6.772292 ,6.365286 ,5.95828 ,5.551273 ,5.144267 ,5.051383 ,5.304888 ,5.711019 ,5.629398 ,5.12962 ,4.548527 ,4.517337 ,4.890135 ,5.16762 ,4.814535 ,4.169896 ,3.788226 ,3.94722 ,4.163636 ,3.9251 ,3.345747 ,2.879289 ,2.804894 ,2.707434 ,2.315954 ,1.829553 ,1.630765 ,1.544362 ,1.42659 ,1.100761 ,1.057575 ,0.8812703 ,0.9515054 ,0.7296454 ,0.7809715 ,0.5683319 ,0.471465 ,0.4364664 ,0.4995299 ,0.4718387 ,0.3063521 ,0.22827 ,0.2935004 ,0.2361272 ,0.1461819 ,0.0159841 ,0.0764979 ,0.09928299 ,0.1483004 ,0.09666831 ,0.07204392 ,8.881684e-3 ,0 ,0 ,0 ,0 ,0 ,0 ,0.02662657 ,0.06222768 ,0.08425412 ,0.05762755 ,0.02202644 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
7 ,6.982452 ,6.797449 ,6.427444 ,6.057438 ,5.687432 ,5.317426 ,5.263097 ,5.556872 ,5.992975 ,5.909242 ,5.355912 ,4.654877 ,4.597786 ,4.992587 ,5.090314 ,4.767529 ,4.103626 ,3.85023 ,3.940581 ,4.140586 ,3.841605 ,3.278383 ,2.776772 ,2.7532 ,2.646397 ,2.159749 ,1.71877 ,1.35037 ,1.247865 ,1.21027 ,1.037378 ,1.07492 ,0.9253176 ,1.070281 ,0.9959436 ,0.9583572 ,0.6608657 ,0.4798853 ,0.4357023 ,0.3638815 ,0.2859531 ,0.1363989 ,0.1675367 ,0.1833204 ,0.1545844 ,0.1246533 ,0.05151291 ,0.09961982 ,0.1014591 ,0.1565814 ,0.09072336 ,0.05512224 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.852647e-3 ,0.02487909 ,0.02487909 ,0.02202644 ,0 ,9.722728e-3 ,0.0307914 ,0.0307914 ,0.02106867 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
8 ,7.02905 ,6.973549 ,6.862547 ,6.751545 ,6.640544 ,6.529542 ,6.388397 ,6.214012 ,5.985105 ,5.695984 ,5.367022 ,5.043775 ,5.010036 ,5.160576 ,5.050973 ,4.733851 ,4.028923 ,3.620002 ,3.553538 ,3.736178 ,3.531428 ,3.158565 ,2.836912 ,2.817434 ,2.455793 ,1.920717 ,1.519945 ,1.438799 ,1.486621 ,1.407774 ,1.163958 ,1.027119 ,0.9470175 ,0.9956037 ,0.9090097 ,0.8114467 ,0.6402743 ,0.5349605 ,0.4900429 ,0.3387264 ,0.2105606 ,0.07359922 ,0.09722766 ,0.1367051 ,0.1668632 ,0.1444415 ,0.06936292 ,0.06936292 ,0.04657783 ,0.1017001 ,0.06609897 ,0.07391257 ,0.03557531 ,0.03557531 ,0.01678499 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9.722728e-3 ,0.0307914 ,0.0307914 ,0.02106867 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
9 ,7.045692 ,7.036441 ,7.017941 ,6.999441 ,6.980941 ,6.96244 ,6.78392 ,6.428942 ,5.938436 ,5.541341 ,5.275437 ,5.129776 ,5.051664 ,4.918636 ,4.434495 ,4.154142 ,3.69801 ,3.769612 ,3.983267 ,4.085572 ,3.562426 ,2.931446 ,2.641565 ,2.543274 ,2.045486 ,1.570606 ,1.381072 ,1.59338 ,1.527633 ,1.384198 ,1.130455 ,1.035051 ,1.108054 ,0.9626065 ,1.057117 ,0.8422675 ,0.7815574 ,0.5541545 ,0.4556687 ,0.3241397 ,0.1807445 ,0.1149853 ,0.08001366 ,0.1086133 ,0.1565225 ,0.1284308 ,0.1030981 ,0.1156039 ,0.09097953 ,0.08487472 ,0.02789839 ,0.035712 ,0.07166561 ,0.06278393 ,0.0439936 ,0 ,0 ,0 ,0 ,0 ,2.852647e-3 ,0.02487909 ,0.02487909 ,0.02202644 ,0 ,9.722728e-3 ,0.0307914 ,0.0307914 ,0.02106867 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.01053185 ,0.0392478 ,0.06612839 ,0.06844264 ,0.0397267 ,0.0128461 ,0 ,0 ,0 ,0 ,0 ,0 ,
