conotool csv
//HEADER//
invert,0
maxtheta,90 
maxphi,359 
thetastep,1 
phistep,1 
source,Autronics
filename,@Detector_Ang20320.csv
commondata,yes
datatype,Luminance
spotsize,N/A
spotinpower,N/A
//BODY//
Phi\Theta,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,
0 ,7.935361 ,7.727233 ,7.310977 ,6.89472 ,6.478464 ,6.062207 ,5.771778 ,5.6201 ,5.485149 ,5.035629 ,4.448336 ,4.111785 ,4.326305 ,4.894379 ,5.453492 ,5.263769 ,4.760983 ,4.260386 ,4.108147 ,3.722323 ,3.053002 ,2.53193 ,2.53193 ,2.616145 ,2.938482 ,2.746623 ,2.805614 ,2.291164 ,2.336383 ,1.88728 ,2.00259 ,1.617737 ,1.583122 ,1.166502 ,1.018677 ,0.9198503 ,0.937779 ,0.830312 ,0.9110686 ,0.8535619 ,0.9832093 ,0.6281761 ,0.5180253 ,0.3741369 ,0.3950288 ,0.3794779 ,0.3041417 ,0.3039933 ,0.2615389 ,0.2180118 ,0.1112084 ,0.04134168 ,0 ,0.1201306 ,0.1652902 ,0.2985127 ,0.2102975 ,0.1651378 ,0.03191537 ,0 ,0 ,0 ,0 ,0.04781511 ,0.04781511 ,0.04781511 ,0 ,0 ,0.03017367 ,0.05240834 ,0.05240834 ,0.02223467 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
1 ,7.937025 ,7.733522 ,7.326516 ,6.91951 ,6.512503 ,6.105497 ,5.770564 ,5.515107 ,5.380402 ,5.363876 ,5.328369 ,5.050351 ,4.673327 ,4.457137 ,4.737881 ,4.557689 ,4.307748 ,3.910773 ,3.84597 ,3.56473 ,3.083316 ,2.755987 ,2.755987 ,2.81213 ,2.867731 ,2.601045 ,2.570267 ,2.255024 ,2.177693 ,1.770391 ,1.779176 ,1.519994 ,1.383039 ,1.15548 ,1.11786 ,1.050399 ,0.8723937 ,0.6777749 ,0.7670816 ,0.8108215 ,0.9095148 ,0.6514505 ,0.5505543 ,0.4348113 ,0.372094 ,0.2905245 ,0.2242174 ,0.234807 ,0.2530818 ,0.2577297 ,0.2292779 ,0.1455174 ,0.09843513 ,0.1250833 ,0.1457946 ,0.2286134 ,0.1698033 ,0.1750596 ,0.0566397 ,0.06198936 ,0.02662657 ,0.02662657 ,0 ,0.06375347 ,0.06375347 ,0.06375347 ,0 ,0.01801582 ,0.05361693 ,0.06844005 ,0.07037752 ,0.07037752 ,0.07745732 ,0.05750403 ,0.02190292 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
2 ,7.947011 ,7.771258 ,7.419752 ,7.068247 ,6.716742 ,6.365236 ,6.030809 ,5.715213 ,5.509325 ,5.54908 ,5.727586 ,5.806293 ,5.420413 ,4.808552 ,4.623293 ,4.255889 ,3.959134 ,3.442235 ,3.404026 ,3.37514 ,3.160234 ,3.018662 ,3.014183 ,2.979482 ,2.830219 ,2.567141 ,2.462532 ,2.232933 ,1.978497 ,1.655893 ,1.500346 ,1.22641 ,1.09108 ,1.071033 ,1.197337 ,1.030224 ,0.6968941 ,0.4712612 ,0.7658623 ,0.8916799 ,1.021623 ,0.7664276 ,0.687716 ,0.4848298 ,0.2672022 ,0.1660689 ,0.1441715 ,0.1638298 ,0.2451771 ,0.3339653 ,0.3588764 ,0.2437672 ,0.1335228 ,0.1424044 ,0.1268743 ,0.1208782 ,0.07095286 ,0.08624468 ,0.0566397 ,0.06198936 ,0.02662657 ,0.04020124 ,0.02590655 ,0.05778329 ,0.04420862 ,0.03187674 ,0 ,0.01801582 ,0.05361693 ,0.08921804 ,0.1068033 ,0.1068033 ,0.09310514 ,0.05750403 ,0.02190292 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
3 ,7.950339 ,7.783836 ,7.450831 ,7.117826 ,6.784821 ,6.451816 ,6.079339 ,5.663335 ,5.342733 ,5.390934 ,5.658748 ,5.791995 ,5.432342 ,4.797962 ,4.366971 ,4.158822 ,4.056411 ,3.720286 ,3.374181 ,3.197468 ,3.072665 ,3.007957 ,2.917831 ,2.90891 ,2.688417 ,2.497584 ,2.307128 ,2.357548 ,2.003367 ,1.678503 ,1.417621 ,1.216087 ,1.107483 ,1.059853 ,1.220748 ,1.151455 ,0.8683436 ,0.5976156 ,0.5891025 ,0.6717988 ,0.7182777 ,0.7123642 ,0.5815891 ,0.5053235 ,0.332761 ,0.2550222 ,0.235063 ,0.2208387 ,0.2783933 ,0.3396203 ,0.3538446 ,0.2700841 ,0.1601921 ,0.08898988 ,0.06955923 ,0.05517061 ,0.05517061 ,0.06496777 ,0.03536279 ,0.08861593 ,0.05325314 ,0.08040248 ,0.07508233 ,0.1106834 ,0.08353411 ,0.03560111 ,0.01453244 ,0.05013355 ,0.06561888 ,0.07186444 ,0.07186444 ,0.09198022 ,0.09310514 ,0.05750403 ,0.02190292 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
4 ,7.963653 ,7.834151 ,7.575147 ,7.316142 ,7.057138 ,6.798134 ,6.45181 ,6.009196 ,5.504443 ,5.082375 ,4.896847 ,5.117222 ,5.289929 ,5.203282 ,4.805983 ,4.653567 ,4.369283 ,3.939484 ,3.532132 ,3.46461 ,3.367264 ,3.165284 ,2.880738 ,2.847755 ,2.626634 ,2.473206 ,2.141617 ,2.17578 ,1.912528 ,1.795652 ,1.578932 ,1.474339 ,1.376358 ,1.213272 ,1.197171 ,1.108155 ,1.002812 ,0.838887 ,0.8309765 ,0.7522541 ,0.8155464 ,0.7291776 ,0.6199577 ,0.4200754 ,0.3365651 ,0.2747116 ,0.2830419 ,0.2046781 ,0.2384399 ,0.2518562 ,0.2500495 ,0.2312591 ,0.1408883 ,0.0964055 ,0.03395812 ,0.02556563 ,0.02556563 ,0 ,0 ,0.02662657 ,0.02947922 ,0.078655 ,0.09996142 ,0.1008332 ,0.08361336 ,0.03568037 ,0.04648843 ,0.03211773 ,0.03211773 ,0.03836329 ,0.03642582 ,0.03642582 ,0.01564782 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
5 ,7.947011 ,7.771258 ,7.419752 ,7.068247 ,6.716742 ,6.365236 ,5.979851 ,5.557106 ,5.208813 ,5.157121 ,5.273609 ,5.261195 ,5.171245 ,5.065064 ,4.757938 ,4.554097 ,4.127778 ,3.858867 ,3.460997 ,3.358998 ,3.35347 ,3.187039 ,2.973617 ,3.062824 ,2.915363 ,2.521037 ,2.011442 ,2.080676 ,2.07686 ,1.888682 ,1.642337 ,1.572336 ,1.424629 ,1.215354 ,1.030547 ,1.036274 ,1.028711 ,1.034503 ,1.025588 ,0.8724624 ,0.7963181 ,0.5948337 ,0.5095856 ,0.3403985 ,0.3815415 ,0.2568616 ,0.2671301 ,0.1904847 ,0.2114305 ,0.1697246 ,0.1483494 ,0.149931 ,0.1146823 ,0.07019955 ,0.05952375 ,0.05712739 ,0.07145159 ,0.02032033 ,0.02817762 ,0.04945453 ,0.05230717 ,0.07405487 ,0.09732409 ,0.1019202 ,0.09827508 ,0.03940474 ,0.04648843 ,0.03211773 ,0.03211773 ,0.01758529 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
6 ,7.92704 ,7.695787 ,7.233279 ,6.770772 ,6.308265 ,5.845758 ,5.561277 ,5.473109 ,5.599447 ,5.792899 ,5.908132 ,5.748505 ,5.390715 ,4.979132 ,4.649013 ,4.419123 ,4.017443 ,3.74437 ,3.590921 ,3.712589 ,3.80462 ,3.602058 ,3.365065 ,3.250649 ,2.943298 ,2.62211 ,2.118435 ,2.154651 ,2.048749 ,1.835109 ,1.536627 ,1.485598 ,1.337791 ,1.272684 ,1.022502 ,1.064163 ,0.8966497 ,1.028833 ,1.054716 ,0.9882971 ,0.8280957 ,0.6626829 ,0.6347761 ,0.4844978 ,0.3832364 ,0.2136067 ,0.1087415 ,0.07304153 ,0.1068033 ,0.1619256 ,0.1619256 ,0.2311483 ,0.1404249 ,0.1404249 ,0.09676785 ,0.102764 ,0.102764 ,0.07696003 ,0.08481731 ,0.05819075 ,0.0256806 ,0.03385363 ,0.04814832 ,0.04902004 ,0.05894959 ,0.03568037 ,0.03195599 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
7 ,7.913727 ,7.645473 ,7.108964 ,6.572456 ,6.035948 ,5.499439 ,5.176065 ,5.08772 ,5.274478 ,5.590685 ,5.830373 ,5.694912 ,5.327748 ,4.912544 ,4.536714 ,4.161788 ,3.707715 ,3.481972 ,3.394083 ,3.556775 ,3.692151 ,3.514145 ,3.295983 ,3.134427 ,2.918906 ,2.684595 ,2.27422 ,2.325408 ,2.188203 ,1.930186 ,1.518645 ,1.3285 ,1.189544 ,1.154104 ,0.92925 ,0.952868 ,0.8355725 ,0.9587045 ,0.9040633 ,0.7884312 ,0.6363398 ,0.528374 ,0.511652 ,0.4395774 ,0.3615101 ,0.2649219 ,0.1780779 ,0.1602278 ,0.1319249 ,0.1453412 ,0.1275034 ,0.2045397 ,0.1413775 ,0.1681001 ,0.1512893 ,0.1512893 ,0.1424044 ,0.106565 ,0.08481731 ,0.05819075 ,0.02282796 ,8.974542e-3 ,0.02326923 ,0.0269936 ,0.0269936 ,3.724374e-3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
8 ,7.92704 ,7.695787 ,7.233279 ,6.770772 ,6.308265 ,5.845758 ,5.548537 ,5.433582 ,5.483643 ,5.504393 ,5.450734 ,5.300418 ,5.183998 ,5.110499 ,4.989751 ,4.628274 ,4.159832 ,3.778955 ,3.54321 ,3.381783 ,3.159234 ,2.951592 ,2.922052 ,2.752475 ,2.527639 ,2.458639 ,2.266737 ,2.339615 ,2.073574 ,2.034882 ,1.832692 ,1.550239 ,1.300755 ,1.088597 ,1.010894 ,0.9397685 ,0.9346327 ,0.8818136 ,0.7565041 ,0.6253677 ,0.5181712 ,0.5366775 ,0.4841694 ,0.4664475 ,0.4488942 ,0.3720219 ,0.2832397 ,0.1939897 ,0.1565492 ,0.1894867 ,0.1627673 ,0.2151792 ,0.1324958 ,0.1681001 ,0.1512893 ,0.1452931 ,0.143361 ,0.1075216 ,0.07791661 ,0.03536279 ,0 ,0 ,0 ,0 ,3.645117e-3 ,0.0295235 ,0.0295235 ,0.02587838 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
9 ,7.947011 ,7.771258 ,7.419752 ,7.068247 ,6.716742 ,6.365236 ,6.069027 ,5.833794 ,5.666916 ,5.525523 ,5.401223 ,5.282832 ,5.11715 ,4.921386 ,4.768527 ,4.399512 ,3.898876 ,3.36506 ,3.150931 ,3.176445 ,3.19556 ,3.138021 ,3.150328 ,2.970194 ,2.790331 ,2.629158 ,2.354918 ,2.350407 ,2.093219 ,2.110139 ,1.856675 ,1.706428 ,1.497971 ,1.191039 ,1.023607 ,0.9378468 ,1.103153 ,0.9562843 ,0.7517933 ,0.5061788 ,0.4525806 ,0.4190828 ,0.3635287 ,0.3012661 ,0.3974801 ,0.4255719 ,0.4201985 ,0.2774974 ,0.1953184 ,0.1589888 ,0.1857083 ,0.1610839 ,0.1335228 ,0.08008705 ,0.1056527 ,0.09965655 ,0.1120486 ,0.05088189 ,0.02127691 ,0.05325314 ,0.05325314 ,0.05325314 ,0.02326923 ,0.0269936 ,0.03063872 ,0.03324787 ,0.04405594 ,0.05799611 ,0.03211773 ,0.01758529 ,0 ,0 ,0.01369819 ,0.04105308 ,0.04105308 ,0.02735489 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
