conotool csv
//HEADER//
invert,0
maxtheta,90 
maxphi,359 
thetastep,1 
phistep,1 
source,Autronics
filename,@Detector_Ang20010.csv
commondata,yes
datatype,Luminance
spotsize,N/A
spotinpower,N/A
//BODY//
Phi\Theta,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,
0 ,9.98517e-3 ,0.0377356 ,0.09323646 ,0.1487373 ,0.2042382 ,0.259739 ,0.3748995 ,0.5558479 ,0.7813468 ,0.9559769 ,1.062261 ,1.105493 ,1.231271 ,1.50185 ,1.972018 ,2.342796 ,2.781781 ,3.192891 ,3.806687 ,4.520509 ,5.026325 ,5.10675 ,4.984022 ,4.985372 ,4.721107 ,4.723838 ,4.702198 ,4.978845 ,4.462917 ,4.444168 ,4.381281 ,4.605929 ,4.21899 ,4.216093 ,4.090693 ,3.624167 ,3.717013 ,3.549448 ,3.830241 ,3.273556 ,3.515645 ,3.294358 ,3.403994 ,2.949544 ,2.84914 ,2.127032 ,1.803108 ,1.546991 ,1.682542 ,1.778754 ,1.741273 ,1.6674 ,1.617574 ,1.417313 ,1.317321 ,1.106067 ,1.221123 ,1.054106 ,0.875913 ,0.8804591 ,0.8719012 ,0.7650978 ,0.4884631 ,0.3057606 ,0.2523589 ,0.1583178 ,0.2525792 ,0.3066267 ,0.2937408 ,0.2706341 ,0.32339 ,0.3611064 ,0.3210071 ,0.2018345 ,0.0963808 ,0.08483408 ,0.0972034 ,0.1409589 ,0.1126401 ,0.07503618 ,0.07240785 ,0.09919259 ,0.102664 ,0.05959005 ,0.01926915 ,0 ,0 ,0 ,0 ,0 ,0 ,
1 ,9.98517e-3 ,0.0377356 ,0.09323646 ,0.1487373 ,0.2042382 ,0.259739 ,0.4003783 ,0.6349016 ,0.9010962 ,1.00907 ,1.026304 ,1.12208 ,1.395333 ,1.786592 ,2.235419 ,2.680133 ,3.06218 ,3.357141 ,3.681864 ,4.177105 ,4.67422 ,4.933745 ,5.063024 ,5.109346 ,4.788879 ,4.871998 ,4.834421 ,5.105264 ,4.727732 ,4.683886 ,4.738791 ,5.002192 ,4.767609 ,4.396521 ,3.948993 ,3.454652 ,3.545089 ,3.353125 ,3.620575 ,3.328793 ,3.572466 ,3.239786 ,3.090158 ,2.650759 ,2.590886 ,2.256536 ,2.006446 ,1.705604 ,1.688161 ,1.637937 ,1.555974 ,1.477848 ,1.406646 ,1.43344 ,1.321782 ,1.197366 ,1.23992 ,1.093451 ,0.9765536 ,0.8445515 ,0.805621 ,0.7044981 ,0.5324068 ,0.4433536 ,0.4900458 ,0.4052971 ,0.4180045 ,0.3410134 ,0.3375151 ,0.3366431 ,0.333414 ,0.3095881 ,0.2965534 ,0.2726593 ,0.2546598 ,0.2409616 ,0.1964106 ,0.1556766 ,0.09349847 ,0.06055597 ,0.0875197 ,0.1322568 ,0.1368853 ,0.07945339 ,0.0256922 ,0 ,0 ,0 ,0 ,0 ,0 ,
2 ,0.01664195 ,0.06289267 ,0.1553941 ,0.2478955 ,0.340397 ,0.4328984 ,0.5611354 ,0.7287788 ,0.8960981 ,0.9604599 ,1.03146 ,1.307927 ,1.714895 ,2.125153 ,2.459106 ,2.734561 ,3.134432 ,3.463 ,3.720551 ,3.964927 ,4.376955 ,4.856627 ,5.136324 ,5.012989 ,4.467686 ,4.836508 ,5.077645 ,5.406156 ,4.880736 ,4.724369 ,4.938744 ,5.048756 ,5.052729 ,4.649576 ,4.537177 ,3.964969 ,3.731874 ,3.284468 ,3.56962 ,3.50382 ,3.68361 ,3.198876 ,3.066683 ,2.604656 ,2.589452 ,2.417938 ,2.279509 ,1.950525 ,1.772343 ,1.52899 ,1.324266 ,1.1785 ,1.230181 ,1.274735 ,1.211588 ,1.093169 ,1.145026 ,0.9928243 ,0.8402888 ,0.761418 ,0.7255786 ,0.6676723 ,0.5488341 ,0.5281305 ,0.5685383 ,0.5193907 ,0.5531667 ,0.4324232 ,0.3313825 ,0.2471078 ,0.2490453 ,0.2691611 ,0.3321586 ,0.39427 ,0.3586688 ,0.2956713 ,0.1792146 ,0.1131453 ,0.06852014 ,0.07784292 ,0.137027 ,0.1642112 ,0.1437704 ,0.07945339 ,0.0256922 ,0 ,0 ,0 ,0 ,0 ,0 ,
3 ,0.01331356 ,0.05031413 ,0.1243153 ,0.1983164 ,0.2723176 ,0.3463187 ,0.4616477 ,0.6225499 ,0.7825156 ,0.821904 ,0.9108313 ,1.340717 ,1.749298 ,2.003986 ,2.319772 ,2.651961 ,3.080453 ,3.156244 ,3.324768 ,3.568946 ,4.045532 ,4.740749 ,5.265732 ,5.283165 ,4.649174 ,4.871056 ,4.961065 ,5.371868 ,5.10653 ,5.189698 ,5.224116 ,5.015065 ,4.870983 ,4.523799 ,4.512712 ,4.034249 ,3.769221 ,3.423268 ,3.556758 ,3.671391 ,3.735083 ,3.210246 ,2.809236 ,2.449542 ,2.51128 ,2.646023 ,2.487462 ,2.174213 ,1.936638 ,1.650551 ,1.545406 ,1.340995 ,1.244347 ,1.235546 ,1.166264 ,1.193108 ,1.168385 ,0.961465 ,0.8644541 ,0.7466544 ,0.715567 ,0.6557255 ,0.6969439 ,0.7417372 ,0.6753416 ,0.5193907 ,0.4608959 ,0.3937693 ,0.4041623 ,0.3854257 ,0.3294407 ,0.2201231 ,0.2167484 ,0.3270125 ,0.3806132 ,0.3751198 ,0.2688219 ,0.1671516 ,0.08692523 ,0.08837477 ,0.1762748 ,0.2303396 ,0.2122131 ,0.1191801 ,0.03853831 ,0 ,0 ,0 ,0 ,0 ,0 ,
4 ,0.01331356 ,0.05031413 ,0.1243153 ,0.1983164 ,0.2723176 ,0.3463187 ,0.4234295 ,0.5039693 ,0.597807 ,0.7184504 ,0.9499369 ,1.400886 ,1.695228 ,1.816517 ,2.106165 ,2.438355 ,2.93226 ,3.150655 ,3.512734 ,3.993448 ,4.677712 ,5.306178 ,5.738911 ,5.478492 ,4.936961 ,4.604651 ,4.705664 ,4.916296 ,4.894549 ,4.983335 ,4.969315 ,4.719434 ,4.72828 ,4.654523 ,4.850577 ,4.299155 ,3.934878 ,3.53301 ,3.549703 ,3.67514 ,3.73428 ,3.486013 ,3.150484 ,2.829201 ,2.526444 ,2.470154 ,2.368687 ,2.247767 ,2.064958 ,1.769146 ,1.596412 ,1.483178 ,1.367008 ,1.171187 ,1.012612 ,1.080677 ,1.139611 ,0.9522847 ,0.7784511 ,0.7372032 ,0.7037398 ,0.6659248 ,0.727055 ,0.7109475 ,0.5303026 ,0.3536916 ,0.3022805 ,0.3269462 ,0.3160914 ,0.2976454 ,0.2819975 ,0.2216502 ,0.2253552 ,0.2874666 ,0.2531634 ,0.2180692 ,0.1372136 ,0.1157134 ,0.13194 ,0.1914013 ,0.2540899 ,0.2281201 ,0.1575408 ,0.07945339 ,0.0256922 ,0 ,0 ,0 ,0 ,0 ,0 ,
5 ,0.01331356 ,0.05031413 ,0.1243153 ,0.1983164 ,0.2723176 ,0.3463187 ,0.4616477 ,0.6225499 ,0.8096325 ,0.9489143 ,1.099954 ,1.371765 ,1.667202 ,1.933814 ,2.215091 ,2.600587 ,2.843799 ,3.193862 ,3.707402 ,4.450699 ,5.214021 ,5.527937 ,5.724047 ,5.492027 ,5.024785 ,4.455828 ,4.484281 ,4.858715 ,4.909611 ,5.042276 ,4.623576 ,4.827769 ,4.670687 ,4.725863 ,4.62441 ,3.980667 ,3.590779 ,3.185651 ,3.370293 ,3.742047 ,4.047628 ,3.789812 ,3.187195 ,2.537471 ,2.254183 ,2.161274 ,2.246621 ,2.14688 ,2.265316 ,2.021484 ,1.800729 ,1.644771 ,1.390796 ,1.301768 ,1.04163 ,1.299317 ,1.263777 ,1.127106 ,0.7992513 ,0.6212458 ,0.5968169 ,0.6962835 ,0.8619571 ,0.8298429 ,0.6433856 ,0.4485438 ,0.2912418 ,0.2024543 ,0.2207676 ,0.3008381 ,0.3383766 ,0.3136304 ,0.291064 ,0.2628645 ,0.1929601 ,0.1633594 ,0.1716056 ,0.2059089 ,0.2136067 ,0.2030748 ,0.1743589 ,0.1300372 ,0.08221297 ,0.0397267 ,0.0128461 ,0 ,0 ,0 ,0 ,0 ,0 ,
6 ,0.01997034 ,0.0754712 ,0.1864729 ,0.2974746 ,0.4084764 ,0.5194781 ,0.6224048 ,0.716427 ,0.8046344 ,0.9003045 ,1.033741 ,1.243253 ,1.64388 ,2.123314 ,2.335815 ,2.557773 ,2.840982 ,3.491945 ,4.014301 ,4.546268 ,5.188802 ,5.405498 ,5.455205 ,5.125629 ,4.931968 ,4.576767 ,4.799403 ,4.838356 ,4.745017 ,4.556109 ,4.286925 ,4.447483 ,4.544882 ,4.523255 ,4.401769 ,3.833379 ,3.552028 ,3.396143 ,3.571738 ,3.989659 ,4.088749 ,3.717378 ,3.183387 ,2.562979 ,2.205988 ,1.936867 ,2.047205 ,2.095213 ,2.247527 ,1.992264 ,1.570394 ,1.390011 ,1.142666 ,1.240647 ,0.9436263 ,1.181294 ,1.068571 ,1.058535 ,0.7902292 ,0.6449157 ,0.5609335 ,0.6849191 ,0.7737734 ,0.8258788 ,0.6765004 ,0.5664072 ,0.3846773 ,0.2283327 ,0.1604203 ,0.1752434 ,0.1771808 ,0.2123839 ,0.2632695 ,0.2433162 ,0.1712142 ,0.07760217 ,0.0763931 ,0.118425 ,0.2085064 ,0.259854 ,0.2328903 ,0.1619917 ,0.08909814 ,0.0397267 ,0.0128461 ,0 ,0 ,0 ,0 ,0 ,0 ,
7 ,0.02329873 ,0.08804973 ,0.2175517 ,0.3470538 ,0.4765558 ,0.6060578 ,0.6964136 ,0.7436021 ,0.7476233 ,0.7476233 ,0.8368365 ,1.140573 ,1.661338 ,2.218161 ,2.454014 ,2.412749 ,2.447574 ,2.887916 ,3.578748 ,4.181944 ,4.621229 ,4.735678 ,4.576226 ,4.554046 ,4.637079 ,4.802008 ,5.004828 ,4.987021 ,4.750574 ,4.610864 ,4.294731 ,4.45107 ,4.393365 ,4.690856 ,4.711738 ,4.218293 ,3.62383 ,3.316774 ,3.447113 ,3.76606 ,3.88018 ,3.598913 ,3.177348 ,2.675928 ,2.398526 ,2.211688 ,2.215627 ,2.178208 ,2.215531 ,1.916805 ,1.580288 ,1.202323 ,1.095168 ,1.148736 ,1.067499 ,1.134725 ,0.9813804 ,0.920452 ,0.7053598 ,0.5829263 ,0.4659574 ,0.5407672 ,0.5850458 ,0.7299288 ,0.594125 ,0.5488012 ,0.3847806 ,0.2640371 ,0.1824418 ,0.1610825 ,0.1986211 ,0.254338 ,0.291064 ,0.2711107 ,0.2355096 ,0.2136067 ,0.2651947 ,0.3514663 ,0.3519616 ,0.2647724 ,0.1428997 ,0.09808282 ,0.07532781 ,0.0397267 ,0.0128461 ,0 ,0 ,0 ,0 ,0 ,0 ,
8 ,0.01664195 ,0.06289267 ,0.1553941 ,0.2478955 ,0.340397 ,0.4328984 ,0.5101777 ,0.5706713 ,0.6023654 ,0.6002538 ,0.6716008 ,0.9768888 ,1.449404 ,1.943676 ,2.281808 ,2.393313 ,2.697593 ,3.003681 ,3.403397 ,3.681547 ,4.09346 ,4.492567 ,4.421365 ,4.573018 ,4.824684 ,5.298372 ,5.258471 ,4.832026 ,4.533393 ,4.393416 ,4.459246 ,4.322485 ,4.362908 ,4.645801 ,4.662981 ,4.258038 ,3.662573 ,3.497921 ,3.407076 ,3.527575 ,3.422153 ,3.575148 ,3.25285 ,2.970972 ,2.42769 ,2.238192 ,2.328434 ,2.26954 ,2.189973 ,1.72226 ,1.442721 ,1.13843 ,1.157952 ,1.21152 ,1.137058 ,1.148674 ,1.12341 ,1.143481 ,0.9696471 ,0.7101588 ,0.4752142 ,0.3915523 ,0.4078098 ,0.5322266 ,0.6174755 ,0.5832689 ,0.4365927 ,0.2240568 ,0.1637095 ,0.1836154 ,0.2320658 ,0.2392106 ,0.2190961 ,0.2234015 ,0.2753063 ,0.2912088 ,0.2728037 ,0.2638357 ,0.238585 ,0.1963197 ,0.1640993 ,0.1729317 ,0.175246 ,0.1460346 ,0.1128076 ,0.08776419 ,0.07021135 ,0.05265851 ,0.03510567 ,0.01755284 ,8.776419e-3 ,
9 ,9.98517e-3 ,0.0377356 ,0.09323646 ,0.1487373 ,0.2042382 ,0.259739 ,0.3239418 ,0.3977404 ,0.4977829 ,0.6433997 ,0.8569593 ,1.154489 ,1.575361 ,2.048253 ,2.36582 ,2.54039 ,2.758024 ,3.148444 ,3.583336 ,3.818972 ,3.998576 ,4.136273 ,4.08855 ,4.54711 ,4.815605 ,5.346263 ,4.943777 ,4.691832 ,4.668197 ,4.859632 ,4.992945 ,4.65961 ,4.559705 ,4.820295 ,4.85138 ,4.408518 ,3.655767 ,3.197824 ,3.099201 ,3.044276 ,3.062664 ,3.334114 ,3.149286 ,3.073541 ,2.500001 ,2.460463 ,2.422787 ,2.372872 ,2.183714 ,1.722834 ,1.550175 ,1.315997 ,1.354334 ,1.20311 ,1.092406 ,1.061598 ,1.111461 ,1.140853 ,0.8620768 ,0.5985448 ,0.3856531 ,0.32041 ,0.3436792 ,0.4430338 ,0.6028138 ,0.5892673 ,0.4673841 ,0.2368324 ,0.151277 ,0.2332263 ,0.3622838 ,0.3849138 ,0.2816873 ,0.2151553 ,0.2353525 ,0.2993639 ,0.3260152 ,0.3436217 ,0.2436852 ,0.1290087 ,0.0663201 ,0.07484891 ,0.09991817 ,0.1063079 ,0.09996151 ,0.08776419 ,0.07021135 ,0.05265851 ,0.03510567 ,0.01755284 ,8.776419e-3 ,
