conotool csv
//HEADER//
invert,0
maxtheta,90 
maxphi,359 
thetastep,1 
phistep,1 
source,Autronics
filename,@Detector_Ang10140.csv
commondata,yes
datatype,Luminance
spotsize,N/A
spotinpower,N/A
//BODY//
Phi\Theta,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,
0 ,2.838757 ,2.71388 ,2.464126 ,2.214372 ,1.964618 ,1.714864 ,1.67437 ,1.864632 ,2.149338 ,2.089706 ,1.969147 ,2.352252 ,2.804554 ,2.945036 ,2.690415 ,2.591195 ,2.35744 ,1.991098 ,1.737602 ,1.767738 ,1.87334 ,1.859828 ,1.85955 ,1.559396 ,1.615668 ,1.704795 ,1.772994 ,1.482605 ,1.242781 ,1.180952 ,1.104042 ,0.996734 ,1.119473 ,1.218344 ,1.035051 ,0.8587359 ,0.6027171 ,0.7580328 ,0.8793183 ,0.9202799 ,0.9858467 ,0.8915117 ,0.9336493 ,1.048048 ,0.994646 ,1.000392 ,0.7852572 ,0.7398718 ,0.5976434 ,0.4304666 ,0.5827668 ,0.9270578 ,1.104485 ,1.064391 ,0.737748 ,0.6489331 ,0.5182808 ,0.4888893 ,0.4827423 ,0.5461275 ,0.5454125 ,0.4801694 ,0.2506023 ,0.143799 ,0.09039732 ,0.1068033 ,0.1820037 ,0.2083816 ,0.1782079 ,0.1341746 ,0.1975865 ,0.3615629 ,0.4495063 ,0.3473472 ,0.1620896 ,0.08483408 ,0.07140938 ,0.08486142 ,0.1227375 ,0.217731 ,0.3522094 ,0.393441 ,0.3286474 ,0.1787701 ,0.05780746 ,0 ,0 ,0 ,0 ,0 ,0 ,
1 ,2.853734 ,2.770483 ,2.603981 ,2.437478 ,2.270975 ,2.104473 ,2.102956 ,2.283372 ,2.52404 ,2.455089 ,2.28554 ,2.454478 ,2.669211 ,2.686448 ,2.54673 ,2.407555 ,2.128327 ,1.729967 ,1.591119 ,1.633014 ,1.6649 ,1.628769 ,1.699786 ,1.452379 ,1.42932 ,1.623894 ,1.819216 ,1.682384 ,1.384396 ,1.225137 ,1.188095 ,1.083906 ,1.265561 ,1.30357 ,1.181375 ,1.052939 ,0.9202884 ,1.004844 ,0.9968651 ,0.8956185 ,0.9009609 ,0.7970268 ,0.8369328 ,0.9686168 ,1.02761 ,1.005188 ,0.7495881 ,0.6301801 ,0.5198742 ,0.3881734 ,0.5075446 ,0.7769255 ,1.031606 ,0.9514379 ,0.7330355 ,0.653806 ,0.5667044 ,0.5571456 ,0.4859804 ,0.5548637 ,0.4860375 ,0.4615184 ,0.3653812 ,0.3024995 ,0.2261743 ,0.1438548 ,0.1828153 ,0.1647994 ,0.1791526 ,0.2566004 ,0.3458185 ,0.3947887 ,0.3603125 ,0.2808641 ,0.1929601 ,0.1633594 ,0.1544096 ,0.1582447 ,0.1569184 ,0.1846463 ,0.2438304 ,0.262294 ,0.2190983 ,0.1191801 ,0.03853831 ,0 ,0 ,0 ,0 ,0 ,0 ,
2 ,2.853734 ,2.770483 ,2.603981 ,2.437478 ,2.270975 ,2.104473 ,2.064738 ,2.164791 ,2.325773 ,2.28813 ,2.19886 ,2.36159 ,2.567961 ,2.618502 ,2.464839 ,2.234135 ,2.032928 ,1.786707 ,1.705549 ,1.69268 ,1.646322 ,1.587473 ,1.692231 ,1.597213 ,1.72093 ,1.939337 ,2.112824 ,1.931228 ,1.557739 ,1.338548 ,1.172217 ,1.064067 ,1.193971 ,1.318898 ,1.227522 ,1.168712 ,1.119453 ,1.314229 ,1.189591 ,1.17887 ,1.044183 ,0.9997989 ,0.8854862 ,0.979631 ,1.122134 ,1.071317 ,0.959581 ,0.7512196 ,0.6618004 ,0.4398545 ,0.5324319 ,0.6875939 ,0.8549917 ,0.676983 ,0.6294255 ,0.5322076 ,0.533721 ,0.4672979 ,0.4279744 ,0.5062511 ,0.4732643 ,0.4925194 ,0.4230088 ,0.3564026 ,0.2580511 ,0.195177 ,0.2298656 ,0.1942645 ,0.209288 ,0.273954 ,0.3408508 ,0.298503 ,0.2053979 ,0.165856 ,0.1478564 ,0.1341582 ,0.1068033 ,0.1119363 ,0.1385133 ,0.1530507 ,0.126087 ,0.07262937 ,0.04524586 ,0.0665812 ,0.08711541 ,0.08776419 ,0.07021135 ,0.05265851 ,0.03510567 ,0.01755284 ,8.776419e-3 ,
3 ,2.870376 ,2.833376 ,2.759375 ,2.685374 ,2.611372 ,2.537371 ,2.447521 ,2.340194 ,2.237872 ,2.19426 ,2.221263 ,2.310832 ,2.319438 ,2.237989 ,2.140248 ,1.943122 ,1.779325 ,1.674315 ,1.755615 ,1.83446 ,1.777344 ,1.592268 ,1.581837 ,1.400394 ,1.332335 ,1.516051 ,1.72755 ,1.830234 ,1.493949 ,1.315877 ,1.242118 ,1.268193 ,1.337671 ,1.418333 ,1.326283 ,1.328116 ,1.309559 ,1.345318 ,1.220749 ,1.128414 ,1.048909 ,1.000318 ,0.9097924 ,0.9355816 ,1.028655 ,0.931048 ,0.8276427 ,0.6797952 ,0.6077022 ,0.5610982 ,0.6287629 ,0.7628616 ,0.8643611 ,0.6506895 ,0.6050529 ,0.5266512 ,0.7058131 ,0.6802474 ,0.5914695 ,0.4122797 ,0.3382248 ,0.3137057 ,0.3706132 ,0.3453135 ,0.3009444 ,0.2012546 ,0.2003421 ,0.186402 ,0.2427892 ,0.2866772 ,0.3199103 ,0.2620772 ,0.18975 ,0.165856 ,0.1478564 ,0.1341582 ,0.1068033 ,0.1068033 ,0.1068033 ,0.09627148 ,0.06755554 ,0.04067494 ,0.03836069 ,0.0665812 ,0.08711541 ,0.08776419 ,0.07021135 ,0.05265851 ,0.03510567 ,0.01755284 ,8.776419e-3 ,
4 ,2.853734 ,2.770483 ,2.603981 ,2.437478 ,2.270975 ,2.104473 ,1.975562 ,1.888103 ,1.881228 ,1.983233 ,2.161346 ,2.335829 ,2.333039 ,2.143732 ,1.799913 ,1.56269 ,1.523681 ,1.569617 ,1.584501 ,1.625891 ,1.592305 ,1.460218 ,1.345122 ,1.319669 ,1.310297 ,1.425392 ,1.500539 ,1.572509 ,1.495406 ,1.479949 ,1.487088 ,1.422124 ,1.297294 ,1.323596 ,1.153543 ,1.233805 ,1.196964 ,1.32633 ,1.228579 ,1.22677 ,1.127684 ,1.123477 ,0.9855362 ,0.9113662 ,0.808386 ,0.7069485 ,0.7347598 ,0.7064192 ,0.816666 ,0.7854135 ,0.9029052 ,0.8153844 ,0.7560158 ,0.5245777 ,0.463411 ,0.4430262 ,0.5954718 ,0.585913 ,0.5780927 ,0.3722763 ,0.3333459 ,0.2870791 ,0.3240748 ,0.3869565 ,0.3425874 ,0.2991588 ,0.245666 ,0.2493111 ,0.2959756 ,0.2419285 ,0.2505394 ,0.2287055 ,0.2324106 ,0.2346621 ,0.14636 ,0.1112658 ,0.06480227 ,0.09910552 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1155238 ,0.1382789 ,0.1733845 ,0.1939187 ,0.1945675 ,0.1770147 ,0.1594618 ,0.141909 ,0.1243562 ,0.1155798 ,
5 ,2.857063 ,2.783062 ,2.635059 ,2.487057 ,2.339055 ,2.191053 ,2.075049 ,1.994332 ,2.015148 ,2.217047 ,2.484037 ,2.591565 ,2.399373 ,2.014386 ,1.603602 ,1.294568 ,1.29338 ,1.46402 ,1.61363 ,1.646646 ,1.559558 ,1.453436 ,1.388387 ,1.301552 ,1.313438 ,1.25311 ,1.355133 ,1.274908 ,1.350182 ,1.40483 ,1.586834 ,1.678692 ,1.582236 ,1.507195 ,1.232322 ,1.319145 ,1.375951 ,1.382628 ,1.178739 ,0.9053533 ,0.8531389 ,0.8899763 ,0.9168092 ,0.8792699 ,0.7174945 ,0.6780627 ,0.6083204 ,0.5728181 ,0.6812848 ,0.8126863 ,0.9995735 ,0.8948439 ,0.7555281 ,0.6131268 ,0.5134842 ,0.5750905 ,0.6226649 ,0.6792909 ,0.6399304 ,0.4503383 ,0.3107865 ,0.2444285 ,0.2844844 ,0.4128631 ,0.3229633 ,0.2380347 ,0.1213358 ,0.1929685 ,0.2796561 ,0.2947699 ,0.282997 ,0.2679097 ,0.2875628 ,0.2741665 ,0.168263 ,0.1112658 ,0.06480227 ,0.09397258 ,0.07509338 ,0.05002412 ,0.0482719 ,0.08356943 ,0.1313937 ,0.1733845 ,0.1939187 ,0.1945675 ,0.1770147 ,0.1594618 ,0.141909 ,0.1243562 ,0.1155798 ,
6 ,2.843749 ,2.732748 ,2.510744 ,2.288741 ,2.066737 ,1.844734 ,1.791753 ,1.925158 ,2.216632 ,2.449473 ,2.56442 ,2.530943 ,2.317253 ,1.965217 ,1.597702 ,1.28806 ,1.293484 ,1.46711 ,1.644642 ,1.634977 ,1.522645 ,1.46123 ,1.551171 ,1.596184 ,1.696758 ,1.556042 ,1.632503 ,1.497584 ,1.664489 ,1.584545 ,1.629284 ,1.681581 ,1.666927 ,1.630216 ,1.24955 ,1.316573 ,1.401188 ,1.436347 ,1.179424 ,0.8263878 ,0.7921705 ,0.9337079 ,0.9739573 ,0.9216639 ,0.6995723 ,0.7435493 ,0.6776833 ,0.5567546 ,0.6534128 ,0.678011 ,0.914798 ,0.673896 ,0.6057825 ,0.4722534 ,0.51789 ,0.5854925 ,0.432628 ,0.3877064 ,0.3996987 ,0.4015988 ,0.3382395 ,0.2941867 ,0.3109734 ,0.4299224 ,0.402773 ,0.4284715 ,0.3510981 ,0.315497 ,0.3194571 ,0.3137929 ,0.2824973 ,0.2271784 ,0.2101055 ,0.2166625 ,0.14636 ,0.1112658 ,0.09919431 ,0.1995668 ,0.2518899 ,0.2530989 ,0.2226308 ,0.2223272 ,0.2450822 ,0.2796924 ,0.2938803 ,0.2823317 ,0.247226 ,0.2121204 ,0.1770147 ,0.141909 ,0.1243562 ,
7 ,2.853734 ,2.770483 ,2.603981 ,2.437478 ,2.270975 ,2.104473 ,2.026519 ,2.046211 ,2.202078 ,2.47045 ,2.728172 ,2.776505 ,2.538084 ,2.14161 ,1.794014 ,1.528925 ,1.56995 ,1.85078 ,2.163511 ,2.201753 ,1.997604 ,1.844306 ,1.999481 ,1.897752 ,2.028984 ,1.796228 ,1.945075 ,1.673324 ,1.584673 ,1.474645 ,1.346193 ,1.629577 ,1.661224 ,1.774293 ,1.36304 ,1.374662 ,1.390045 ,1.328621 ,1.098649 ,0.7751928 ,0.7617404 ,0.8538476 ,0.9917887 ,0.9521539 ,0.8152914 ,0.7853603 ,0.7244266 ,0.5071852 ,0.4844001 ,0.6046198 ,0.9553594 ,0.8375794 ,0.6864299 ,0.5082851 ,0.6451948 ,0.6499876 ,0.4952528 ,0.359058 ,0.4066514 ,0.3749722 ,0.3472141 ,0.2980383 ,0.2935186 ,0.3093886 ,0.2873622 ,0.3609936 ,0.3365657 ,0.3194109 ,0.3543417 ,0.3632099 ,0.2735613 ,0.1512727 ,0.1068033 ,0.09855712 ,0.06425386 ,0.05655605 ,0.08199829 ,0.1519027 ,0.1952016 ,0.2030748 ,0.1743589 ,0.1474783 ,0.145164 ,0.1728891 ,0.1870769 ,0.1755284 ,0.1404227 ,0.105317 ,0.07021135 ,0.03510567 ,0.01755284 ,
8 ,2.847078 ,2.745326 ,2.541823 ,2.33832 ,2.134817 ,1.931314 ,1.840283 ,1.87328 ,2.090716 ,2.481843 ,2.917547 ,3.172289 ,3.009958 ,2.543522 ,2.034996 ,1.746899 ,1.779504 ,1.969638 ,2.167031 ,2.218873 ,2.125142 ,2.060381 ,2.146771 ,1.936766 ,1.778789 ,1.687792 ,1.771357 ,1.785952 ,1.469394 ,1.431532 ,1.206231 ,1.504223 ,1.495196 ,1.669354 ,1.262582 ,1.262068 ,1.219634 ,1.135078 ,1.029411 ,0.7667459 ,0.8711746 ,0.9255774 ,1.06575 ,1.067688 ,0.8883596 ,0.7675104 ,0.7016815 ,0.6588199 ,0.694421 ,0.6595484 ,0.8803788 ,0.7023732 ,0.6335546 ,0.3752578 ,0.5377332 ,0.5333057 ,0.5388069 ,0.4126475 ,0.4362934 ,0.3064883 ,0.2844355 ,0.3344475 ,0.438991 ,0.4922056 ,0.4445076 ,0.4457222 ,0.3847806 ,0.2820529 ,0.2762903 ,0.2578443 ,0.2261182 ,0.1351982 ,0.08960396 ,0.07705227 ,0.0436488 ,0.08575721 ,0.1639966 ,0.2935394 ,0.3269832 ,0.3031231 ,0.2709027 ,0.2710145 ,0.2505738 ,0.1857613 ,0.1256537 ,0.08776419 ,0.07021135 ,0.05265851 ,0.03510567 ,0.01755284 ,8.776419e-3 ,
9 ,2.870376 ,2.833376 ,2.759375 ,2.685374 ,2.611372 ,2.537371 ,2.447521 ,2.340194 ,2.319223 ,2.575291 ,2.931373 ,3.032694 ,2.813833 ,2.434146 ,2.008024 ,1.843828 ,1.928211 ,2.164081 ,2.173371 ,2.069012 ,2.050498 ,2.154583 ,2.220003 ,1.90786 ,1.641195 ,1.499966 ,1.558848 ,1.54326 ,1.194052 ,1.181719 ,1.014504 ,1.240027 ,1.2116 ,1.356887 ,1.106564 ,1.036605 ,1.030739 ,1.053872 ,1.099191 ,0.9626525 ,1.11376 ,1.029965 ,1.086149 ,0.9950081 ,0.9718139 ,0.9156304 ,0.8864215 ,0.7724565 ,0.6902776 ,0.6761328 ,0.8880071 ,0.790201 ,0.6498277 ,0.4449728 ,0.4971297 ,0.5247036 ,0.5069957 ,0.4926577 ,0.4788413 ,0.4076391 ,0.3419039 ,0.3752911 ,0.4711571 ,0.4691761 ,0.3880444 ,0.3536579 ,0.3208686 ,0.2640371 ,0.2226734 ,0.1894043 ,0.1557406 ,0.1000237 ,0.07745732 ,0.05750403 ,0.02449864 ,0.05840232 ,0.1296045 ,0.1879452 ,0.1501868 ,0.1000482 ,0.0965438 ,0.1322568 ,0.1368853 ,0.07945339 ,0.0256922 ,0 ,0 ,0 ,0 ,0 ,0 ,
