conotool csv
//HEADER//
invert,0
maxtheta,90 
maxphi,359 
thetastep,1 
phistep,1 
source,Autronics
filename,@Detector_Ang10670.csv
commondata,yes
datatype,Luminance
spotsize,N/A
spotinpower,N/A
//BODY//
Phi\Theta,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,
0 ,1.251684 ,1.168433 ,1.001931 ,0.835428 ,0.6689254 ,0.5024229 ,0.386251 ,0.3255801 ,0.3305789 ,0.3680389 ,0.4482045 ,0.5825582 ,0.650385 ,0.64641 ,0.6579133 ,0.6310582 ,0.6409762 ,0.6186047 ,0.7003779 ,0.7303028 ,0.6038918 ,0.4165146 ,0.3633911 ,0.5016214 ,0.7845728 ,0.8873046 ,0.9003908 ,0.6651216 ,0.4505043 ,0.3854351 ,0.4183267 ,0.6264973 ,0.5437329 ,0.6582277 ,0.68283 ,0.8587599 ,0.7727866 ,0.6673107 ,0.7081409 ,0.7330212 ,0.7407346 ,0.8544019 ,0.7475985 ,0.8130469 ,0.6316533 ,0.7494924 ,0.7896812 ,0.7126757 ,0.615308 ,0.4890975 ,0.4730673 ,0.4948741 ,0.5488045 ,0.4420059 ,0.514773 ,0.3953809 ,0.6269475 ,0.6717497 ,0.8408934 ,0.79659 ,0.7349879 ,0.5862062 ,0.5622267 ,0.3851108 ,0.4715521 ,0.425978 ,0.5266471 ,0.419198 ,0.3485085 ,0.4736125 ,0.5681453 ,0.6140041 ,0.5944521 ,0.6236622 ,0.5728044 ,0.4873088 ,0.4434074 ,0.548264 ,0.6132124 ,0.6092244 ,0.5230766 ,0.429354 ,0.3882788 ,0.4195386 ,0.4408204 ,0.4234976 ,0.370839 ,0.3181805 ,0.265522 ,0.2128635 ,0.1865343 ,
1 ,1.255013 ,1.181012 ,1.033009 ,0.8850071 ,0.7370048 ,0.5890025 ,0.4602599 ,0.3527552 ,0.2972951 ,0.3264917 ,0.4335104 ,0.5807232 ,0.6655027 ,0.6908575 ,0.6999194 ,0.6909677 ,0.6833714 ,0.7028653 ,0.7546795 ,0.7546795 ,0.6548191 ,0.4878582 ,0.4229949 ,0.5108925 ,0.7844723 ,0.9241624 ,0.9280633 ,0.6681568 ,0.4538764 ,0.4349623 ,0.5064433 ,0.7160893 ,0.5897108 ,0.734513 ,0.6899854 ,0.8694907 ,0.7297506 ,0.7895268 ,0.8164774 ,0.8849429 ,0.8351031 ,0.9750075 ,0.8022797 ,0.8599148 ,0.6840137 ,0.881583 ,0.8161581 ,0.6883735 ,0.507521 ,0.4716697 ,0.5197659 ,0.5714864 ,0.5523178 ,0.4098484 ,0.4421893 ,0.3565985 ,0.5783142 ,0.634463 ,0.8540658 ,0.7573716 ,0.7540423 ,0.6608136 ,0.6762058 ,0.5441027 ,0.5551938 ,0.494929 ,0.5521462 ,0.473433 ,0.5384108 ,0.6101943 ,0.5844286 ,0.5362562 ,0.5148147 ,0.5342881 ,0.451472 ,0.412476 ,0.4556197 ,0.5572316 ,0.5524218 ,0.5234848 ,0.4947689 ,0.4504472 ,0.402623 ,0.3596413 ,0.3264143 ,0.3013709 ,0.283818 ,0.2662652 ,0.2487123 ,0.2311595 ,0.2223831 ,
2 ,1.26167 ,1.206169 ,1.095167 ,0.9841654 ,0.8731636 ,0.7621619 ,0.6210169 ,0.4466324 ,0.2990762 ,0.3096345 ,0.4257291 ,0.5090913 ,0.52764 ,0.53029 ,0.5226212 ,0.5405245 ,0.5339125 ,0.6204295 ,0.615027 ,0.5533224 ,0.4890631 ,0.4393217 ,0.5291698 ,0.6367095 ,0.8434585 ,0.8690961 ,0.7710169 ,0.5512229 ,0.4806944 ,0.5173925 ,0.5589702 ,0.6321134 ,0.5680619 ,0.6815949 ,0.5443448 ,0.688249 ,0.5443842 ,0.7609658 ,0.796699 ,0.9028838 ,0.75336 ,0.7529633 ,0.6136049 ,0.7780434 ,0.7159096 ,0.9313555 ,0.837641 ,0.7685529 ,0.5531069 ,0.5294652 ,0.501015 ,0.5910076 ,0.5335017 ,0.4533497 ,0.3989582 ,0.3617885 ,0.4716803 ,0.5784836 ,0.7111327 ,0.6373184 ,0.6971101 ,0.6120544 ,0.5952028 ,0.4530359 ,0.4493908 ,0.49332 ,0.5480905 ,0.5864756 ,0.657216 ,0.6165321 ,0.5504964 ,0.5408374 ,0.5406353 ,0.4486352 ,0.2445116 ,0.2591179 ,0.4192238 ,0.5830114 ,0.5391169 ,0.4772375 ,0.4754852 ,0.4759007 ,0.4327049 ,0.3322913 ,0.2453032 ,0.1945675 ,0.1770147 ,0.1594618 ,0.141909 ,0.1243562 ,0.1155798 ,
3 ,1.271655 ,1.243904 ,1.188404 ,1.132903 ,1.077402 ,1.021901 ,0.9067405 ,0.7257921 ,0.5240206 ,0.4367971 ,0.4551174 ,0.5127611 ,0.5340167 ,0.5264203 ,0.4922123 ,0.5656421 ,0.5492141 ,0.5482214 ,0.4481984 ,0.4537623 ,0.5342218 ,0.5077275 ,0.5178958 ,0.4824581 ,0.6629778 ,0.6676454 ,0.5977579 ,0.4073778 ,0.4407018 ,0.491793 ,0.5393473 ,0.5795036 ,0.5528778 ,0.6802023 ,0.5391443 ,0.6100135 ,0.5858716 ,0.7994783 ,0.8881084 ,0.8928919 ,0.7860885 ,0.7581076 ,0.6514892 ,0.7822647 ,0.7928541 ,0.8744235 ,0.6222217 ,0.5050266 ,0.3663008 ,0.5233282 ,0.55178 ,0.7278061 ,0.6566038 ,0.5764613 ,0.4150116 ,0.3674182 ,0.3868248 ,0.4790518 ,0.5622463 ,0.5343137 ,0.5998107 ,0.5998107 ,0.61324 ,0.5009689 ,0.4790982 ,0.3974593 ,0.4602259 ,0.534422 ,0.6936524 ,0.594548 ,0.4197715 ,0.3812581 ,0.3958791 ,0.3320785 ,0.1815556 ,0.231763 ,0.4708119 ,0.7208711 ,0.6774718 ,0.5284032 ,0.4047783 ,0.3690974 ,0.3259016 ,0.2259834 ,0.1453416 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1068033 ,
4 ,1.264998 ,1.218747 ,1.126246 ,1.033744 ,0.941243 ,0.8487416 ,0.7587229 ,0.6714419 ,0.5973674 ,0.551644 ,0.5250953 ,0.4947217 ,0.4957327 ,0.5098699 ,0.4390124 ,0.440229 ,0.3615912 ,0.3741198 ,0.3362911 ,0.4035596 ,0.4817047 ,0.516049 ,0.5514646 ,0.4846817 ,0.5702837 ,0.5337723 ,0.5276777 ,0.4023125 ,0.4095617 ,0.4484202 ,0.5250414 ,0.525378 ,0.5842558 ,0.5069589 ,0.4610848 ,0.4820514 ,0.5949495 ,0.6594748 ,0.6949385 ,0.7468172 ,0.7248615 ,0.6951739 ,0.6142306 ,0.6903388 ,0.6847969 ,0.6764211 ,0.5818244 ,0.6370929 ,0.5540823 ,0.6823419 ,0.5647774 ,0.7638463 ,0.7554538 ,0.7287532 ,0.583474 ,0.4078648 ,0.4183865 ,0.4138457 ,0.4910441 ,0.5073901 ,0.638384 ,0.6655333 ,0.6935544 ,0.5588362 ,0.4924406 ,0.4295666 ,0.4558196 ,0.5838533 ,0.6360719 ,0.5215631 ,0.3858321 ,0.395093 ,0.4459786 ,0.394365 ,0.3257585 ,0.3514574 ,0.5016026 ,0.6513477 ,0.6406616 ,0.5178713 ,0.3655305 ,0.302969 ,0.2574589 ,0.1857613 ,0.1256537 ,0.08776419 ,0.07021135 ,0.05265851 ,0.03510567 ,0.01755284 ,8.776419e-3 ,
5 ,1.26167 ,1.206169 ,1.095167 ,0.9841654 ,0.8731636 ,0.7621619 ,0.6592352 ,0.565213 ,0.4973433 ,0.4765932 ,0.4767244 ,0.444799 ,0.4757549 ,0.5624193 ,0.5589295 ,0.5219147 ,0.4094837 ,0.4204191 ,0.4636991 ,0.584664 ,0.6427944 ,0.6330591 ,0.5430255 ,0.3896542 ,0.3859392 ,0.4022417 ,0.5374546 ,0.4832916 ,0.3817162 ,0.4751233 ,0.6012978 ,0.6293928 ,0.5137904 ,0.3747508 ,0.4760632 ,0.5202386 ,0.6287392 ,0.6494969 ,0.6940129 ,0.7736632 ,0.7076032 ,0.6598798 ,0.6043257 ,0.5864465 ,0.5987545 ,0.6213284 ,0.6101406 ,0.6119579 ,0.4148459 ,0.5174796 ,0.5334379 ,0.7340883 ,0.7287844 ,0.6753644 ,0.585117 ,0.4714898 ,0.5319368 ,0.482951 ,0.6430052 ,0.6094259 ,0.6438354 ,0.5972899 ,0.7074506 ,0.6867469 ,0.6680494 ,0.594238 ,0.6425465 ,0.5893601 ,0.4836889 ,0.3492807 ,0.2999692 ,0.307114 ,0.3564133 ,0.4042013 ,0.4891115 ,0.4985067 ,0.4808052 ,0.4336989 ,0.4020766 ,0.3215516 ,0.2014312 ,0.1561988 ,0.1766396 ,0.2399657 ,0.2810342 ,0.2823317 ,0.247226 ,0.2121204 ,0.1770147 ,0.141909 ,0.1243562 ,
6 ,1.255013 ,1.181012 ,1.033009 ,0.8850071 ,0.7370048 ,0.5890025 ,0.4729993 ,0.3922821 ,0.3859815 ,0.4879865 ,0.6214932 ,0.644108 ,0.719597 ,0.8725173 ,0.8983529 ,0.7419417 ,0.4823022 ,0.4355567 ,0.4894076 ,0.558193 ,0.5533642 ,0.5967163 ,0.5801164 ,0.4977839 ,0.3491503 ,0.3361906 ,0.4700888 ,0.5351037 ,0.400878 ,0.4876703 ,0.6374927 ,0.7345123 ,0.6366605 ,0.5117338 ,0.7349046 ,0.8502822 ,0.8663676 ,0.7289926 ,0.6667052 ,0.7736632 ,0.6502466 ,0.6465103 ,0.6200207 ,0.623897 ,0.5741702 ,0.6744828 ,0.8056994 ,0.8665099 ,0.6584212 ,0.6932938 ,0.6505434 ,0.6861445 ,0.6773995 ,0.6595743 ,0.6029484 ,0.4773289 ,0.5694511 ,0.4855792 ,0.6299187 ,0.5911115 ,0.6931556 ,0.6302641 ,0.708478 ,0.7862573 ,0.7833017 ,0.7683607 ,0.7341115 ,0.6925117 ,0.6224416 ,0.5194303 ,0.5111018 ,0.4830435 ,0.5097764 ,0.4977045 ,0.5084187 ,0.4401044 ,0.3683967 ,0.2934179 ,0.3085782 ,0.2820594 ,0.1924071 ,0.1561988 ,0.1766396 ,0.2399657 ,0.2810342 ,0.2823317 ,0.247226 ,0.2121204 ,0.1770147 ,0.141909 ,0.1243562 ,
7 ,1.268326 ,1.231326 ,1.157325 ,1.083324 ,1.009322 ,0.9353213 ,0.7945134 ,0.5800364 ,0.3895439 ,0.4542721 ,0.66838 ,0.7759087 ,0.7850834 ,0.7917084 ,0.7725362 ,0.6537482 ,0.4999277 ,0.4750618 ,0.4978156 ,0.5030417 ,0.5112847 ,0.5345319 ,0.5075011 ,0.4815577 ,0.3634972 ,0.3707464 ,0.429716 ,0.4851777 ,0.4749776 ,0.5139362 ,0.5933928 ,0.5970168 ,0.5418406 ,0.6181704 ,0.8882252 ,1.014495 ,0.9357382 ,0.8430157 ,0.780797 ,0.7913632 ,0.6272032 ,0.6355893 ,0.6790431 ,0.6949842 ,0.6150003 ,0.7002943 ,0.712942 ,0.7329061 ,0.5630894 ,0.6113783 ,0.6185293 ,0.5802572 ,0.5167425 ,0.5255624 ,0.4990429 ,0.4778304 ,0.4848449 ,0.4764783 ,0.5416843 ,0.5347316 ,0.6650105 ,0.5989312 ,0.5989312 ,0.5428639 ,0.6198786 ,0.7169592 ,0.7183111 ,0.6014335 ,0.4285202 ,0.3522417 ,0.4311938 ,0.45462 ,0.4327171 ,0.3693964 ,0.3797124 ,0.3333011 ,0.2959854 ,0.2870759 ,0.3468613 ,0.3110198 ,0.1621834 ,0.1075114 ,0.171148 ,0.3334014 ,0.4424189 ,0.4578601 ,0.3876487 ,0.3174374 ,0.247226 ,0.1770147 ,0.141909 ,
8 ,1.278312 ,1.269061 ,1.250561 ,1.232061 ,1.213561 ,1.19506 ,1.092976 ,0.898723 ,0.6828369 ,0.6476718 ,0.7372178 ,0.7902063 ,0.79146 ,0.7726461 ,0.6585186 ,0.5513125 ,0.4326814 ,0.4599242 ,0.472107 ,0.4853412 ,0.4805124 ,0.4500437 ,0.4083819 ,0.4647709 ,0.4397704 ,0.4507769 ,0.3758483 ,0.422148 ,0.4613738 ,0.4936175 ,0.5722377 ,0.608512 ,0.6922148 ,0.6923755 ,0.8398987 ,0.9429601 ,0.9300406 ,0.8008321 ,0.7119958 ,0.7584724 ,0.7780535 ,0.8274836 ,0.7578837 ,0.7827643 ,0.6794875 ,0.6897026 ,0.6545426 ,0.6870125 ,0.6504037 ,0.5979941 ,0.5571248 ,0.563849 ,0.6423862 ,0.6066521 ,0.5506665 ,0.4130548 ,0.4181372 ,0.394002 ,0.4970091 ,0.6078561 ,0.7739744 ,0.7101089 ,0.5867511 ,0.5157863 ,0.4995723 ,0.5855357 ,0.5175104 ,0.5434677 ,0.5180512 ,0.5052694 ,0.5125887 ,0.4518416 ,0.4069109 ,0.3626988 ,0.3563131 ,0.3104087 ,0.2539844 ,0.284511 ,0.3785713 ,0.367799 ,0.2207148 ,0.1220248 ,0.1150821 ,0.1997436 ,0.2613462 ,0.2632926 ,0.210634 ,0.1579755 ,0.105317 ,0.05265851 ,0.02632926 ,
9 ,1.274983 ,1.256483 ,1.219482 ,1.182482 ,1.145481 ,1.108481 ,1.006228 ,0.832021 ,0.6376031 ,0.575353 ,0.6203531 ,0.6764451 ,0.6544212 ,0.5541587 ,0.3422898 ,0.2832779 ,0.2776503 ,0.4490909 ,0.5464614 ,0.6256718 ,0.6454864 ,0.5198874 ,0.4047919 ,0.400536 ,0.4742244 ,0.4788919 ,0.3928275 ,0.3890845 ,0.4639113 ,0.6230694 ,0.6586706 ,0.6942717 ,0.64082 ,0.64082 ,0.6250917 ,0.6074576 ,0.4982269 ,0.5139552 ,0.5047708 ,0.5865392 ,0.6468637 ,0.8299156 ,0.8292862 ,0.8997372 ,0.7257526 ,0.6206365 ,0.5040058 ,0.4808116 ,0.5181929 ,0.444327 ,0.4497456 ,0.5099711 ,0.534091 ,0.4983538 ,0.4417278 ,0.4001306 ,0.3858682 ,0.3722452 ,0.4850446 ,0.5795456 ,0.783641 ,0.7073159 ,0.6148073 ,0.4453597 ,0.4258168 ,0.5060611 ,0.4849924 ,0.4920729 ,0.4396458 ,0.4814925 ,0.4990778 ,0.4487875 ,0.3759989 ,0.3842451 ,0.4824652 ,0.4382582 ,0.3207905 ,0.2676413 ,0.4170129 ,0.4986443 ,0.387285 ,0.2091676 ,0.1042621 ,0.1331624 ,0.1742308 ,0.1755284 ,0.1404227 ,0.105317 ,0.07021135 ,0.03510567 ,0.01755284 ,
