conotool csv
//HEADER//
invert,0
maxtheta,90 
maxphi,359 
thetastep,1 
phistep,1 
source,Autronics
filename,@Detector_Ang10300.csv
commondata,yes
datatype,Luminance
spotsize,N/A
spotinpower,N/A
//BODY//
Phi\Theta,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,
0 ,1.587072 ,1.545447 ,1.462195 ,1.378944 ,1.295693 ,1.212441 ,1.249901 ,1.420472 ,1.756077 ,2.18976 ,2.522618 ,2.460764 ,2.337356 ,2.345432 ,2.451266 ,2.133051 ,1.754745 ,1.639583 ,1.749018 ,1.780629 ,1.787873 ,1.804439 ,1.791445 ,1.677398 ,1.719571 ,1.788117 ,1.753064 ,1.525923 ,1.319775 ,1.328202 ,1.417912 ,1.269084 ,1.29571 ,1.160528 ,1.348017 ,1.148386 ,0.9925739 ,0.7740779 ,0.6664738 ,0.9382831 ,0.8881431 ,1.125648 ,0.9618185 ,0.9452659 ,0.7746149 ,0.7297183 ,0.8036755 ,0.6862781 ,0.5782273 ,0.645948 ,0.7769094 ,0.823194 ,0.7484664 ,0.5747252 ,0.5858486 ,0.5252579 ,0.626893 ,0.5727764 ,0.4687648 ,0.3404752 ,0.3283532 ,0.2745334 ,0.2909394 ,0.3037763 ,0.3477514 ,0.3409947 ,0.2025884 ,0.2727242 ,0.2793572 ,0.3421272 ,0.2845277 ,0.1884414 ,0.1655146 ,0.2117383 ,0.1847389 ,0.123097 ,0.02579403 ,0.07149628 ,0.08503243 ,0.07503618 ,0.07240785 ,0.09919259 ,0.102664 ,0.05959005 ,0.01926915 ,0 ,0 ,0 ,0 ,0 ,0 ,
1 ,1.598722 ,1.589471 ,1.570971 ,1.552471 ,1.533971 ,1.51547 ,1.528041 ,1.574875 ,1.699737 ,1.945247 ,2.211998 ,2.321078 ,2.391838 ,2.481153 ,2.469994 ,2.12379 ,1.773775 ,1.710722 ,1.877634 ,1.960413 ,1.91174 ,1.890431 ,1.919693 ,1.821565 ,1.931539 ,1.831074 ,1.864307 ,1.503547 ,1.31964 ,1.255052 ,1.378643 ,1.315026 ,1.318651 ,1.298604 ,1.423597 ,1.251499 ,0.9727853 ,0.7393058 ,0.6939864 ,0.9381015 ,0.9816125 ,1.101009 ,0.8915219 ,0.8221005 ,0.7029891 ,0.6738787 ,0.7636797 ,0.655059 ,0.5620203 ,0.6003341 ,0.7267803 ,0.7880951 ,0.658682 ,0.5429195 ,0.5234888 ,0.4914875 ,0.5785273 ,0.552485 ,0.4831439 ,0.3071602 ,0.2663304 ,0.2168759 ,0.2188387 ,0.224544 ,0.2318342 ,0.2273298 ,0.1350589 ,0.2178478 ,0.2733562 ,0.350804 ,0.2920205 ,0.1768766 ,0.1259909 ,0.1411588 ,0.1231593 ,0.08206468 ,0.01719602 ,0.04766419 ,0.05668829 ,0.05002412 ,0.0482719 ,0.06612839 ,0.06844264 ,0.0397267 ,0.0128461 ,0 ,0 ,0 ,0 ,0 ,0 ,
2 ,1.62202 ,1.677521 ,1.788523 ,1.899525 ,2.010526 ,2.121528 ,2.237194 ,2.358004 ,2.441137 ,2.409829 ,2.302787 ,2.217873 ,2.247575 ,2.299879 ,2.17106 ,2.019301 ,1.843265 ,1.906709 ,2.057457 ,2.155128 ,1.986179 ,1.787545 ,1.756407 ,1.750432 ,1.72423 ,1.594504 ,1.66312 ,1.570129 ,1.359474 ,1.29615 ,1.279614 ,1.313274 ,1.261623 ,1.410918 ,1.485255 ,1.377209 ,1.009245 ,0.8104817 ,0.7027427 ,0.8478839 ,1.023715 ,0.9479368 ,0.7927453 ,0.5008138 ,0.5500462 ,0.5171051 ,0.6493405 ,0.7047079 ,0.5723894 ,0.6945933 ,0.630542 ,0.7684952 ,0.5419974 ,0.5775953 ,0.5472339 ,0.6044128 ,0.570325 ,0.5146529 ,0.4198418 ,0.2937834 ,0.2254339 ,0.1762581 ,0.1782209 ,0.2146937 ,0.3314266 ,0.3528006 ,0.3069388 ,0.2217965 ,0.2250863 ,0.3028247 ,0.2605501 ,0.1889498 ,0.1670469 ,0.2021681 ,0.1669651 ,0.08206468 ,0.01719602 ,0.05279713 ,0.08839824 ,0.1068033 ,0.1068033 ,0.09808282 ,0.07532781 ,0.0397267 ,0.0128461 ,0 ,0 ,0 ,0 ,0 ,0 ,
3 ,1.618692 ,1.664943 ,1.757444 ,1.849946 ,1.942447 ,2.034948 ,2.163185 ,2.330829 ,2.457473 ,2.371994 ,2.229388 ,2.332923 ,2.511371 ,2.487274 ,1.987696 ,1.709767 ,1.671331 ,1.8724 ,2.000203 ,2.104589 ,1.996886 ,1.844799 ,1.847216 ,1.932822 ,2.031538 ,1.892758 ,1.951554 ,1.858563 ,1.647233 ,1.468131 ,1.2861 ,1.279525 ,1.187024 ,1.323808 ,1.273151 ,1.178997 ,0.9095435 ,0.775748 ,0.7936516 ,0.7304335 ,1.003574 ,0.8188154 ,0.8156109 ,0.5217413 ,0.6616457 ,0.6970489 ,0.7809983 ,0.7649657 ,0.691865 ,0.8091708 ,0.7094441 ,0.7488997 ,0.5335305 ,0.5869725 ,0.6689091 ,0.6516616 ,0.600223 ,0.5027401 ,0.4195457 ,0.319695 ,0.219312 ,0.2497902 ,0.2374583 ,0.3273832 ,0.3964181 ,0.4249056 ,0.3082067 ,0.2267095 ,0.2662707 ,0.3585416 ,0.3518681 ,0.2781516 ,0.2069494 ,0.1791146 ,0.125912 ,0.05470979 ,0.01719602 ,0.05279713 ,0.08839824 ,0.1068033 ,0.1068033 ,0.09808282 ,0.07532781 ,0.0397267 ,0.0128461 ,0 ,0 ,0 ,0 ,0 ,0 ,
4 ,1.632006 ,1.715257 ,1.881759 ,2.048262 ,2.214765 ,2.381267 ,2.548397 ,2.716217 ,2.816337 ,2.732971 ,2.581467 ,2.592329 ,2.54747 ,2.253841 ,1.623763 ,1.303304 ,1.416103 ,1.726362 ,1.932572 ,1.99821 ,1.88125 ,1.768587 ,1.735495 ,1.836897 ,1.732579 ,1.736337 ,1.75449 ,1.982147 ,1.791217 ,1.718021 ,1.313851 ,1.334956 ,1.163901 ,1.398029 ,1.206988 ,1.111001 ,0.9029874 ,0.8119123 ,0.8841241 ,0.6953978 ,0.9831745 ,0.7639772 ,0.9054088 ,0.5917218 ,0.7204435 ,0.7232556 ,0.7130866 ,0.843291 ,0.7592727 ,0.9411977 ,0.6688112 ,0.7059938 ,0.5517557 ,0.6318554 ,0.8092206 ,0.7880081 ,0.7153544 ,0.5115449 ,0.4560942 ,0.386495 ,0.3183838 ,0.3186625 ,0.3452891 ,0.4061899 ,0.4836766 ,0.4901095 ,0.3987511 ,0.3168233 ,0.3103904 ,0.3379953 ,0.32041 ,0.3908161 ,0.4921259 ,0.4947422 ,0.3201285 ,0.1678219 ,0.1811926 ,0.3360707 ,0.3519616 ,0.2753043 ,0.1821475 ,0.1642112 ,0.1437704 ,0.07945339 ,0.0256922 ,0 ,0 ,0 ,0 ,0 ,0 ,
5 ,1.615364 ,1.652364 ,1.726365 ,1.800366 ,1.874368 ,1.948369 ,2.101916 ,2.343181 ,2.623508 ,2.781428 ,2.807415 ,2.748219 ,2.51893 ,2.11345 ,1.649587 ,1.397091 ,1.544919 ,1.717745 ,1.783779 ,1.6772 ,1.515581 ,1.51035 ,1.548461 ,1.73686 ,1.766833 ,1.973323 ,1.923077 ,1.867993 ,1.566379 ,1.43069 ,1.202247 ,1.343227 ,1.190046 ,1.431871 ,1.17131 ,1.226788 ,1.09827 ,1.016689 ,0.9911495 ,0.7259735 ,0.8064695 ,0.6814828 ,0.9060893 ,0.7526498 ,0.8937785 ,0.7766079 ,0.7113196 ,0.7631601 ,0.7238804 ,0.8445783 ,0.5703851 ,0.6079657 ,0.4883551 ,0.5062023 ,0.6576166 ,0.595645 ,0.6545169 ,0.4299209 ,0.4771386 ,0.4005868 ,0.4361879 ,0.471789 ,0.464209 ,0.4530359 ,0.3462325 ,0.2995141 ,0.1973477 ,0.2509646 ,0.291658 ,0.3189723 ,0.340863 ,0.4166957 ,0.4753246 ,0.4106794 ,0.2352696 ,0.140467 ,0.1639966 ,0.2832735 ,0.2635633 ,0.1895646 ,0.1538398 ,0.1983852 ,0.2053279 ,0.1191801 ,0.03853831 ,0 ,0 ,0 ,0 ,0 ,0 ,
6 ,1.625349 ,1.6901 ,1.819602 ,1.949104 ,2.078606 ,2.208108 ,2.323942 ,2.424706 ,2.486371 ,2.482148 ,2.437494 ,2.410224 ,2.278121 ,2.012395 ,1.698606 ,1.524645 ,1.627467 ,1.714376 ,1.694324 ,1.489877 ,1.362045 ,1.524502 ,1.614705 ,1.583033 ,1.30571 ,1.541313 ,1.552449 ,1.580564 ,1.384825 ,1.542919 ,1.505877 ,1.623732 ,1.326322 ,1.587227 ,1.393051 ,1.494613 ,1.270751 ,1.053284 ,1.036459 ,0.7872511 ,0.9039415 ,0.796594 ,0.9896182 ,0.8610593 ,0.886702 ,0.7630407 ,0.6274695 ,0.7152078 ,0.6568216 ,0.795834 ,0.5484345 ,0.6294299 ,0.5235156 ,0.5680634 ,0.5171871 ,0.4416546 ,0.3897354 ,0.3844791 ,0.5268835 ,0.5255775 ,0.5196339 ,0.4264052 ,0.365275 ,0.3242061 ,0.2750303 ,0.2541903 ,0.1520239 ,0.1880555 ,0.1982401 ,0.2107312 ,0.2345594 ,0.3506237 ,0.4459786 ,0.3696263 ,0.1942165 ,0.1131121 ,0.1639966 ,0.2832735 ,0.2635633 ,0.2000965 ,0.1930876 ,0.2645136 ,0.2737706 ,0.1589068 ,0.05138441 ,0 ,0 ,0 ,0 ,0 ,0 ,
7 ,1.615364 ,1.652364 ,1.726365 ,1.800366 ,1.874368 ,1.948369 ,2.063698 ,2.2246 ,2.350669 ,2.265191 ,2.0869 ,2.06894 ,2.086677 ,2.011416 ,1.865824 ,1.834266 ,1.874672 ,1.807649 ,1.643155 ,1.387231 ,1.245727 ,1.356504 ,1.515586 ,1.540466 ,1.448035 ,1.722996 ,1.63715 ,1.506743 ,1.351576 ,1.518446 ,1.601602 ,1.69043 ,1.384246 ,1.481096 ,1.282103 ,1.4369 ,1.311548 ,1.088732 ,0.9821296 ,0.7025681 ,0.8069969 ,0.8321086 ,0.9925777 ,0.8145722 ,0.9046509 ,0.8859536 ,0.8215846 ,0.8308603 ,0.7743134 ,0.8421235 ,0.5484345 ,0.5132314 ,0.4261333 ,0.4796276 ,0.3925099 ,0.3693635 ,0.3371461 ,0.3775263 ,0.4487286 ,0.4720273 ,0.5315806 ,0.4247773 ,0.3678697 ,0.399984 ,0.3789633 ,0.4333292 ,0.2411563 ,0.2270064 ,0.1292554 ,0.2266092 ,0.3443243 ,0.3472367 ,0.2488401 ,0.1854042 ,0.1657087 ,0.132312 ,0.04200106 ,7.697811e-3 ,0 ,0.04212741 ,0.1569912 ,0.2645136 ,0.2737706 ,0.1594022 ,0.05822623 ,0.01903915 ,0.03659198 ,0.05414482 ,0.07169766 ,0.0892505 ,0.09802691 ,
8 ,1.62202 ,1.677521 ,1.788523 ,1.899525 ,2.010526 ,2.121528 ,2.186237 ,2.199896 ,2.133846 ,1.986117 ,1.915275 ,2.166023 ,2.33772 ,2.259724 ,2.035907 ,1.880046 ,1.812252 ,1.749016 ,1.793816 ,1.643206 ,1.358296 ,1.26138 ,1.492034 ,1.550061 ,1.418913 ,1.354183 ,1.269694 ,1.282851 ,1.398251 ,1.690872 ,1.719361 ,1.722906 ,1.398947 ,1.446245 ,1.262307 ,1.292257 ,1.232241 ,1.036417 ,1.063368 ,0.8334122 ,0.9277538 ,0.9084818 ,0.9099256 ,0.7743652 ,0.8112895 ,0.8741159 ,0.8843844 ,0.8257868 ,0.8030018 ,0.7452159 ,0.5458351 ,0.4226189 ,0.3826031 ,0.4272157 ,0.3925099 ,0.4345696 ,0.4379533 ,0.513458 ,0.483853 ,0.409323 ,0.403856 ,0.3546802 ,0.3600004 ,0.3582569 ,0.3827669 ,0.472734 ,0.3944481 ,0.3479116 ,0.2547911 ,0.3108796 ,0.357823 ,0.3025042 ,0.1952394 ,0.1838971 ,0.2508077 ,0.2328065 ,0.1603952 ,0.1184218 ,0.1133766 ,0.1000482 ,0.0965438 ,0.1322568 ,0.1368853 ,0.07994883 ,0.03253402 ,0.01903915 ,0.03659198 ,0.05414482 ,0.07169766 ,0.0892505 ,0.09802691 ,
9 ,1.615364 ,1.652364 ,1.726365 ,1.800366 ,1.874368 ,1.948369 ,1.961782 ,1.908385 ,1.817438 ,1.798799 ,1.897089 ,2.136974 ,2.152164 ,1.960992 ,1.907224 ,1.946664 ,2.040698 ,1.948426 ,1.948617 ,1.782356 ,1.436302 ,1.29342 ,1.475981 ,1.559951 ,1.480034 ,1.269009 ,1.242393 ,1.231946 ,1.336728 ,1.366745 ,1.317218 ,1.41315 ,1.215569 ,1.238013 ,0.9709525 ,1.035004 ,1.105203 ,1.037261 ,1.03679 ,0.8342969 ,0.9933147 ,0.9853991 ,0.9228066 ,0.7862166 ,0.7947015 ,0.8529828 ,0.7476765 ,0.8027472 ,0.7252546 ,0.6823419 ,0.431329 ,0.3327373 ,0.3390986 ,0.3302201 ,0.4379187 ,0.4907673 ,0.5956385 ,0.4228888 ,0.3498254 ,0.298297 ,0.4043854 ,0.4046641 ,0.424576 ,0.4283004 ,0.4172093 ,0.4580287 ,0.4397719 ,0.3928049 ,0.2945922 ,0.3714586 ,0.4501282 ,0.3901789 ,0.2265351 ,0.1838971 ,0.2534034 ,0.2912088 ,0.2728037 ,0.2587028 ,0.206875 ,0.1290087 ,0.0663201 ,0.07484891 ,0.09991817 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1068033 ,
