conotool csv
//HEADER//
invert,0
maxtheta,90 
maxphi,359 
thetastep,1 
phistep,1 
source,Autronics
filename,@Detector_Ang20390.csv
commondata,yes
datatype,Luminance
spotsize,N/A
spotinpower,N/A
//BODY//
Phi\Theta,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,
0 ,0.01997034 ,0.0754712 ,0.1864729 ,0.2974746 ,0.4084764 ,0.5194781 ,0.6351442 ,0.7559539 ,0.8255285 ,0.7442736 ,0.5437259 ,0.3252342 ,0.2904432 ,0.4106285 ,0.5629923 ,0.5590468 ,0.5830711 ,0.5556196 ,0.5471564 ,0.5673036 ,0.6092415 ,0.6713631 ,0.7435033 ,0.6572012 ,0.6206852 ,0.5740859 ,0.8411593 ,0.9673202 ,0.9465832 ,1.018484 ,1.161177 ,1.37921 ,1.229467 ,1.327369 ,1.113763 ,1.089676 ,0.8979942 ,0.947834 ,1.015417 ,0.9873591 ,1.023554 ,0.8500646 ,0.8744809 ,0.9933309 ,1.193187 ,1.148062 ,1.103382 ,1.159065 ,1.278063 ,1.302183 ,1.339554 ,1.17297 ,1.151897 ,0.9249678 ,0.8875798 ,0.626519 ,0.5092866 ,0.6935018 ,0.9633573 ,1.147453 ,1.191582 ,1.093299 ,1.237951 ,1.066421 ,1.035124 ,0.8431278 ,1.033019 ,1.151404 ,1.285144 ,1.190771 ,1.023462 ,0.869606 ,0.8268241 ,0.8332823 ,0.8299858 ,0.7134215 ,0.6066182 ,0.5345061 ,0.6708747 ,0.8528858 ,0.949547 ,0.8968883 ,0.8216805 ,0.7995387 ,0.7804995 ,0.7439076 ,0.691249 ,0.6385905 ,0.585932 ,0.5332735 ,0.5069443 ,
1 ,0.01331356 ,0.05031413 ,0.1243153 ,0.1983164 ,0.2723176 ,0.3463187 ,0.4361689 ,0.5434961 ,0.6525973 ,0.7211824 ,0.7297807 ,0.6690334 ,0.6710555 ,0.7449077 ,0.8084411 ,0.7519035 ,0.6901056 ,0.651318 ,0.6145787 ,0.6080602 ,0.6691054 ,0.7422454 ,0.7964924 ,0.7653106 ,0.7159662 ,0.7561022 ,0.9035478 ,0.9325704 ,0.8416418 ,0.8961904 ,1.141978 ,1.364774 ,1.240044 ,1.240205 ,1.138857 ,1.183184 ,1.021994 ,0.9782268 ,0.961264 ,0.961728 ,0.9967359 ,0.8953017 ,0.8700711 ,0.9345503 ,1.026743 ,1.046307 ,0.9774842 ,1.050207 ,1.129539 ,1.191973 ,1.163523 ,1.026261 ,0.9543537 ,0.8119461 ,0.7675901 ,0.7543944 ,0.6495232 ,0.7470061 ,0.8125878 ,0.9888686 ,1.116295 ,0.9874651 ,1.076888 ,0.9036147 ,1.021509 ,0.9343312 ,1.086266 ,1.205296 ,1.395959 ,1.348448 ,1.113597 ,0.8933677 ,0.8696764 ,0.9004922 ,0.8270923 ,0.6644824 ,0.5628035 ,0.6266651 ,0.8509578 ,1.010456 ,0.9617849 ,0.7576976 ,0.5822128 ,0.5330258 ,0.520333 ,0.4959384 ,0.4608327 ,0.425727 ,0.3906213 ,0.3555157 ,0.3379628 ,
2 ,0.01331356 ,0.05031413 ,0.1243153 ,0.1983164 ,0.2723176 ,0.3463187 ,0.3724718 ,0.3458618 ,0.3108535 ,0.3899969 ,0.5414538 ,0.6551895 ,0.7093394 ,0.7690545 ,0.9034453 ,0.9002067 ,0.8356164 ,0.7674005 ,0.8097332 ,0.8382535 ,0.807281 ,0.7140885 ,0.7330126 ,0.7576469 ,0.7470182 ,0.9553288 ,1.054941 ,1.022691 ,0.7659786 ,0.9129373 ,1.151307 ,1.273201 ,1.039843 ,1.004242 ,1.065171 ,1.111665 ,1.092651 ,1.066986 ,0.950528 ,0.9146176 ,0.9314309 ,0.9340047 ,0.9739107 ,0.9590355 ,1.019747 ,1.070367 ,1.00406 ,1.176326 ,1.138054 ,1.119739 ,1.053881 ,0.9947451 ,0.815766 ,0.6644767 ,0.6605762 ,0.9042503 ,0.8636286 ,0.7518073 ,0.6550981 ,0.8290599 ,1.033632 ,1.041526 ,1.02248 ,0.9672842 ,0.9316831 ,0.8262743 ,0.7476233 ,0.9277816 ,1.163098 ,1.243168 ,1.038751 ,0.8202404 ,0.8195769 ,0.8464519 ,0.7241411 ,0.5658341 ,0.5264076 ,0.642179 ,0.7742331 ,0.8190543 ,0.707695 ,0.5121365 ,0.361721 ,0.32041 ,0.32041 ,0.32041 ,0.32041 ,0.32041 ,0.32041 ,0.32041 ,0.32041 ,
3 ,3.32839e-3 ,0.01257853 ,0.03107882 ,0.04957911 ,0.06807939 ,0.08657968 ,0.1122271 ,0.1457558 ,0.2090483 ,0.3318033 ,0.5008641 ,0.6768988 ,0.7906121 ,0.851568 ,0.896231 ,0.9045744 ,0.8533689 ,0.8553625 ,0.8961321 ,0.868539 ,0.7765213 ,0.7267799 ,0.7706732 ,0.9099676 ,0.7981358 ,1.056529 ,1.032021 ,1.00466 ,0.8508702 ,0.9609309 ,1.176768 ,1.169666 ,0.9578835 ,0.9113736 ,1.076308 ,1.119393 ,1.043565 ,0.8962532 ,0.8866671 ,0.9767289 ,0.9166046 ,0.9149717 ,0.8281213 ,0.8004302 ,0.8113162 ,0.9575514 ,0.9502399 ,1.062387 ,0.9539208 ,0.93023 ,0.8180081 ,0.8327452 ,0.6816796 ,0.6728692 ,0.7301354 ,0.9538005 ,0.9062261 ,0.8388497 ,0.718156 ,0.8721469 ,0.8814198 ,0.9994463 ,0.8772508 ,0.9005696 ,0.8689299 ,0.9259049 ,0.8373584 ,0.902562 ,1.008025 ,1.171498 ,1.125994 ,0.9526191 ,0.8102146 ,0.7063922 ,0.534876 ,0.4963869 ,0.554814 ,0.7567985 ,0.8043116 ,0.75552 ,0.638904 ,0.5143561 ,0.4163933 ,0.3596413 ,0.3264143 ,0.3013709 ,0.283818 ,0.2662652 ,0.2487123 ,0.2311595 ,0.2223831 ,
4 ,3.32839e-3 ,0.01257853 ,0.03107882 ,0.04957911 ,0.06807939 ,0.08657968 ,0.1504453 ,0.2643364 ,0.3937568 ,0.4352569 ,0.4260732 ,0.4595504 ,0.508486 ,0.5553048 ,0.6708253 ,0.7597253 ,0.7849378 ,0.7390019 ,0.7980213 ,0.8183363 ,0.7393905 ,0.6811706 ,0.6981259 ,0.8005099 ,0.6630773 ,0.8721491 ,0.9616786 ,1.018425 ,1.026539 ,1.091027 ,1.251891 ,1.076309 ,0.8093508 ,0.8175219 ,0.9759912 ,1.05651 ,0.9779814 ,0.8625691 ,0.8883833 ,0.9485553 ,0.8623238 ,0.8410222 ,0.832254 ,0.8757651 ,0.933336 ,1.089118 ,1.082285 ,1.178202 ,0.9273897 ,0.8997795 ,0.7679148 ,0.8554356 ,0.7350198 ,0.8509185 ,0.9276154 ,0.9704265 ,0.8980679 ,0.8199411 ,0.7816905 ,0.924388 ,0.8062347 ,1.066666 ,0.8340383 ,0.8786949 ,0.6726947 ,0.7386787 ,0.7620117 ,0.7334911 ,0.6877054 ,0.7808549 ,0.9122804 ,0.9026215 ,0.7843698 ,0.6705296 ,0.603619 ,0.6216201 ,0.7112275 ,0.7580043 ,0.6391886 ,0.5099746 ,0.4742498 ,0.5362362 ,0.588689 ,0.5727525 ,0.5331791 ,0.4959384 ,0.4608327 ,0.425727 ,0.3906213 ,0.3555157 ,0.3379628 ,
5 ,0 ,0 ,0 ,0 ,0 ,0 ,0.08917592 ,0.2766881 ,0.5055582 ,0.59067 ,0.5455623 ,0.4590966 ,0.4272133 ,0.4575986 ,0.5944308 ,0.7095775 ,0.8078002 ,0.8133724 ,0.809533 ,0.7079558 ,0.5914949 ,0.6394499 ,0.7211757 ,0.8597338 ,0.6592135 ,0.7037352 ,0.8373721 ,1.09482 ,1.211597 ,1.162566 ,1.215791 ,1.018285 ,0.8332288 ,0.8181489 ,1.032057 ,1.128044 ,1.04342 ,1.029904 ,1.093196 ,1.068934 ,0.8810418 ,0.8139451 ,0.8690282 ,1.05716 ,1.114534 ,1.123928 ,1.036065 ,0.9897756 ,0.8127777 ,0.8605884 ,0.7376797 ,0.8639648 ,0.6832231 ,0.861368 ,0.9212541 ,0.916837 ,0.872708 ,0.8660218 ,0.8536538 ,0.9770963 ,0.7604593 ,0.9586972 ,0.6691623 ,0.6733843 ,0.4933719 ,0.7238149 ,0.9424978 ,0.9058259 ,0.7682604 ,0.7631841 ,0.9396827 ,1.047682 ,1.014792 ,0.8840948 ,0.7116787 ,0.6781762 ,0.8104218 ,0.9575712 ,0.8910785 ,0.7420099 ,0.618385 ,0.582704 ,0.5395083 ,0.4390947 ,0.3521065 ,0.3013709 ,0.283818 ,0.2662652 ,0.2487123 ,0.2311595 ,0.2223831 ,
6 ,3.32839e-3 ,0.01257853 ,0.03107882 ,0.04957911 ,0.06807939 ,0.08657968 ,0.1886636 ,0.382917 ,0.62592 ,0.7609785 ,0.7692303 ,0.6796612 ,0.5795252 ,0.5057571 ,0.5281171 ,0.6637975 ,0.7830012 ,0.8213884 ,0.7752163 ,0.7034519 ,0.6581931 ,0.6588216 ,0.6464219 ,0.6462585 ,0.610029 ,0.6207702 ,0.8441979 ,0.9700935 ,1.051525 ,0.9803223 ,1.083427 ,0.9443885 ,0.8375852 ,0.7917181 ,0.926612 ,0.9884977 ,0.9667832 ,1.006529 ,1.132372 ,1.116404 ,1.069925 ,0.8520379 ,0.8068543 ,1.017772 ,1.06578 ,1.169923 ,0.9342824 ,0.9306566 ,0.6550443 ,0.7733288 ,0.634389 ,0.7936043 ,0.6481112 ,0.8529755 ,0.9283917 ,0.9143788 ,0.9410332 ,0.9195318 ,1.010208 ,1.081113 ,0.8879516 ,0.9266028 ,0.7256251 ,0.6493518 ,0.4370672 ,0.5348284 ,0.7887474 ,0.895341 ,0.8610805 ,0.7583598 ,0.7646028 ,0.8127769 ,0.884902 ,0.8332883 ,0.7079837 ,0.5842639 ,0.6791938 ,0.8276996 ,0.8741464 ,0.7709703 ,0.5881613 ,0.5078551 ,0.4395901 ,0.3322913 ,0.2453032 ,0.1945675 ,0.1770147 ,0.1594618 ,0.141909 ,0.1243562 ,0.1155798 ,
7 ,9.98517e-3 ,0.0377356 ,0.09323646 ,0.1487373 ,0.2042382 ,0.259739 ,0.3112024 ,0.3582135 ,0.4226549 ,0.54541 ,0.6698641 ,0.6940308 ,0.6114324 ,0.5033883 ,0.4863128 ,0.5591343 ,0.7237551 ,0.8852531 ,0.8953992 ,0.723182 ,0.527476 ,0.462186 ,0.5124182 ,0.5737994 ,0.6737451 ,0.641636 ,0.7460277 ,0.7973692 ,0.7969512 ,0.8092839 ,0.759173 ,0.884209 ,0.8698838 ,0.9056456 ,0.9069564 ,0.893898 ,0.8975653 ,1.012215 ,1.13846 ,1.108333 ,1.038514 ,0.9148376 ,0.8977457 ,0.9839805 ,0.9372955 ,0.9267761 ,0.8647865 ,0.9361865 ,0.8978553 ,0.9844581 ,0.8865364 ,0.9474533 ,0.7105319 ,0.6659873 ,0.7702293 ,0.8082268 ,0.9502743 ,0.9545768 ,1.067376 ,1.130023 ,0.8953165 ,0.8461407 ,0.7017735 ,0.6630822 ,0.4849209 ,0.547615 ,0.6788464 ,0.8173959 ,0.7811245 ,0.8642365 ,0.9287652 ,0.9312795 ,0.8070729 ,0.6342175 ,0.5793189 ,0.5569091 ,0.6619978 ,0.7800354 ,0.8174581 ,0.7209462 ,0.5398894 ,0.4678883 ,0.465574 ,0.4918128 ,0.4869615 ,0.4388209 ,0.3510567 ,0.2632926 ,0.1755284 ,0.08776419 ,0.04388209 ,
8 ,9.98517e-3 ,0.0377356 ,0.09323646 ,0.1487373 ,0.2042382 ,0.259739 ,0.298463 ,0.3186866 ,0.3610854 ,0.5109255 ,0.6977682 ,0.7795785 ,0.773154 ,0.7263352 ,0.6108147 ,0.5491724 ,0.4941472 ,0.5941854 ,0.6081709 ,0.5734971 ,0.5069236 ,0.4636239 ,0.4991322 ,0.5814647 ,0.7351263 ,0.6957679 ,0.678712 ,0.5739758 ,0.637255 ,0.7007788 ,0.6782935 ,0.8164006 ,0.7825003 ,0.8633228 ,0.6924556 ,0.7168311 ,0.7268217 ,0.7661249 ,0.9272998 ,0.9711944 ,1.034877 ,0.9602613 ,0.853458 ,0.7802814 ,0.7118244 ,0.8241457 ,0.9948397 ,1.101841 ,1.044403 ,0.9644325 ,0.8487475 ,0.943684 ,0.842537 ,0.833649 ,0.7860914 ,0.897698 ,1.050919 ,1.161787 ,1.230715 ,1.264295 ,1.146557 ,1.022293 ,0.8437191 ,0.6208194 ,0.4507936 ,0.4052898 ,0.5117281 ,0.6719386 ,0.6264063 ,0.6861176 ,0.7725371 ,0.8559126 ,0.7761754 ,0.5716595 ,0.515065 ,0.500353 ,0.5799995 ,0.6281328 ,0.6222565 ,0.5178713 ,0.3655305 ,0.3465715 ,0.4148366 ,0.5186673 ,0.5612308 ,0.5265851 ,0.4212681 ,0.3159511 ,0.210634 ,0.105317 ,0.05265851 ,
9 ,6.65678e-3 ,0.02515707 ,0.06215764 ,0.09915822 ,0.1361588 ,0.1731594 ,0.2117147 ,0.2519846 ,0.3294101 ,0.5021118 ,0.6888469 ,0.7402836 ,0.73487 ,0.7173811 ,0.5994192 ,0.4739071 ,0.3708803 ,0.5395349 ,0.6564843 ,0.6641273 ,0.6281259 ,0.6340381 ,0.7469949 ,0.792417 ,0.7293293 ,0.5941741 ,0.512054 ,0.5430044 ,0.6455094 ,0.7178085 ,0.7072763 ,0.9152393 ,0.9579911 ,0.9422761 ,0.7114895 ,0.7306234 ,0.8798527 ,0.9614338 ,0.9883157 ,0.9306543 ,0.9450904 ,0.9848982 ,0.9523431 ,0.8088728 ,0.7692508 ,0.7446855 ,0.9685606 ,0.997099 ,1.125797 ,1.107053 ,1.06972 ,1.061016 ,0.9964436 ,0.9875493 ,0.8820852 ,0.9040386 ,1.046381 ,1.127619 ,1.172902 ,1.208503 ,1.12589 ,0.9380388 ,0.6327497 ,0.5973861 ,0.4813428 ,0.4726547 ,0.4206218 ,0.5484458 ,0.5373824 ,0.6540542 ,0.7765054 ,0.9235403 ,0.8946887 ,0.7066653 ,0.6697663 ,0.688451 ,0.8068204 ,0.7773206 ,0.6457619 ,0.4400284 ,0.2285035 ,0.1998014 ,0.3340172 ,0.5738626 ,0.7302949 ,0.7592309 ,0.6714667 ,0.5837026 ,0.4959384 ,0.4081742 ,0.3642921 ,
