conotool csv
//HEADER//
invert,0
maxtheta,90 
maxphi,359 
thetastep,1 
phistep,1 
source,Autronics
filename,@Detector_Ang20570.csv
commondata,yes
datatype,Luminance
spotsize,N/A
spotinpower,N/A
//BODY//
Phi\Theta,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,
0 ,0.9662226 ,0.9800978 ,1.007848 ,1.035599 ,1.063349 ,1.0911 ,1.091352 ,1.061283 ,1.008743 ,0.9744505 ,0.987994 ,1.079115 ,1.131 ,1.11563 ,1.075822 ,1.118225 ,1.115513 ,1.118203 ,1.044183 ,0.8973807 ,0.713496 ,0.5592527 ,0.6534787 ,0.8220314 ,0.9616214 ,1.000078 ,0.944704 ,0.8938162 ,0.939376 ,0.8091876 ,0.8450777 ,0.5938727 ,0.7835548 ,0.651017 ,0.8471945 ,0.8707819 ,0.873737 ,0.8388018 ,0.7848927 ,1.178659 ,1.142464 ,1.195976 ,0.9088429 ,0.8433946 ,0.7241605 ,0.6469311 ,0.7025783 ,0.7184626 ,0.7336802 ,0.6400296 ,0.5705953 ,0.768774 ,0.8640461 ,0.8105517 ,0.6300208 ,0.6792644 ,0.6044692 ,0.522391 ,0.5376431 ,0.652471 ,0.5656326 ,0.5546274 ,0.602993 ,0.7473897 ,0.7237767 ,0.606303 ,0.5495047 ,0.586818 ,0.6020949 ,0.5242686 ,0.3975455 ,0.4648385 ,0.6349711 ,0.7392406 ,0.644118 ,0.7473498 ,0.8004543 ,0.8955769 ,0.7512505 ,0.5934267 ,0.4642049 ,0.3039999 ,0.1911882 ,0.1594618 ,0.1499423 ,0.1316463 ,0.105317 ,0.07898777 ,0.05265851 ,0.02632926 ,0.01316463 ,
1 ,0.9579016 ,0.9486515 ,0.9301512 ,0.9116509 ,0.8931506 ,0.8746503 ,0.8999606 ,0.9735817 ,1.079811 ,1.148396 ,1.165915 ,1.135542 ,1.136553 ,1.158286 ,1.121637 ,1.103939 ,1.069322 ,1.118645 ,1.057589 ,0.9161116 ,0.7760214 ,0.7107315 ,0.7881799 ,0.9263284 ,0.9737871 ,0.9811689 ,0.9195699 ,0.897251 ,0.9579974 ,0.8523576 ,0.9298356 ,0.7013624 ,0.8526421 ,0.7394305 ,0.8630772 ,0.8807112 ,0.9524149 ,0.9705178 ,0.8812111 ,1.018059 ,1.068099 ,1.238632 ,1.033793 ,0.8803899 ,0.6924773 ,0.6269452 ,0.6713548 ,0.6803248 ,0.7590011 ,0.7604581 ,0.6891799 ,0.7957844 ,0.7985206 ,0.7718137 ,0.6184786 ,0.5936663 ,0.5724512 ,0.543298 ,0.6145372 ,0.6714153 ,0.6405662 ,0.6160471 ,0.7228504 ,0.8951507 ,0.8863827 ,0.7795793 ,0.7454382 ,0.8014086 ,0.7209455 ,0.5474349 ,0.4082595 ,0.470723 ,0.5715715 ,0.6310666 ,0.6885609 ,0.8078719 ,0.85605 ,0.7809542 ,0.6260421 ,0.5024211 ,0.4162733 ,0.3094699 ,0.2342622 ,0.2126158 ,0.199923 ,0.1755284 ,0.1404227 ,0.105317 ,0.07021135 ,0.03510567 ,0.01755284 ,
2 ,0.9479164 ,0.9109159 ,0.8369147 ,0.7629136 ,0.6889124 ,0.6149113 ,0.6651947 ,0.8525295 ,1.101144 ,1.159171 ,1.069518 ,0.9861554 ,1.040831 ,1.142604 ,1.121637 ,1.049424 ,1.052628 ,1.10135 ,1.065749 ,0.9282052 ,0.834874 ,0.8704751 ,1.00468 ,1.135954 ,0.9841501 ,0.8966453 ,0.7824326 ,0.8684537 ,0.7979252 ,0.6432881 ,0.7042574 ,0.6030977 ,0.8308533 ,0.807128 ,0.8797819 ,0.7501791 ,0.7431173 ,0.8884966 ,0.861546 ,0.8452685 ,0.8055158 ,1.082382 ,1.041503 ,0.9673329 ,0.7259692 ,0.7045661 ,0.6552985 ,0.6020361 ,0.6725827 ,0.7103692 ,0.7547744 ,0.7776185 ,0.845548 ,0.7833018 ,0.6361016 ,0.4908383 ,0.5194867 ,0.6162546 ,0.6635093 ,0.705766 ,0.5989627 ,0.6287423 ,0.7249053 ,0.9347876 ,0.9182574 ,0.8385471 ,0.7870616 ,0.9393306 ,0.913914 ,0.7703403 ,0.5395789 ,0.459638 ,0.480416 ,0.5407557 ,0.6655587 ,0.772362 ,0.8028386 ,0.7011682 ,0.6209419 ,0.5697322 ,0.5140525 ,0.4162733 ,0.3410655 ,0.3189237 ,0.2998845 ,0.2632926 ,0.210634 ,0.1579755 ,0.105317 ,0.05265851 ,0.02632926 ,
3 ,0.96123 ,0.96123 ,0.96123 ,0.96123 ,0.96123 ,0.96123 ,0.9994483 ,1.079811 ,1.152718 ,1.096436 ,0.9537929 ,0.8400571 ,0.8774376 ,1.003324 ,1.081147 ,1.015658 ,1.011677 ,0.9738826 ,0.9709418 ,0.9383471 ,0.9035467 ,1.021977 ,1.131011 ,1.170295 ,0.9698032 ,0.8446115 ,0.8621031 ,0.8728018 ,0.8857257 ,0.8023241 ,0.9535879 ,0.8958721 ,1.022151 ,1.009648 ,0.8995137 ,0.7379754 ,0.6840902 ,0.8969698 ,0.8608348 ,0.7621702 ,0.6854326 ,0.9836739 ,1.018646 ,1.086129 ,0.814706 ,0.7697562 ,0.6609153 ,0.6378109 ,0.7520884 ,0.6830716 ,0.7506587 ,0.8048514 ,0.925167 ,0.8361365 ,0.6895766 ,0.4803106 ,0.6103847 ,0.5915054 ,0.7927811 ,0.7162292 ,0.7178903 ,0.6577701 ,0.8486758 ,1.003125 ,1.005292 ,0.8927701 ,0.8212028 ,0.8495136 ,0.7730106 ,0.74961 ,0.6498435 ,0.5497868 ,0.4381535 ,0.3928993 ,0.5215958 ,0.7258072 ,0.8732461 ,0.8337514 ,0.7144404 ,0.6197563 ,0.5623244 ,0.4736811 ,0.3780326 ,0.2920692 ,0.2256152 ,0.1755284 ,0.1404227 ,0.105317 ,0.07021135 ,0.03510567 ,0.01755284 ,
4 ,0.9745436 ,1.011544 ,1.085545 ,1.159546 ,1.233548 ,1.307549 ,1.320962 ,1.267565 ,1.149501 ,1.030969 ,0.9422473 ,0.9149772 ,0.9293227 ,0.9787915 ,1.086643 ,1.002642 ,1.011886 ,1.069567 ,1.300476 ,1.316352 ,1.151218 ,1.144828 ,1.262248 ,1.24498 ,1.033258 ,0.9463821 ,1.013022 ,0.9856756 ,0.9339727 ,0.7559005 ,0.790944 ,0.8343878 ,0.9679169 ,1.031422 ,0.8585711 ,0.7254833 ,0.6957482 ,0.9052103 ,0.9134591 ,0.8445297 ,0.7406941 ,0.9149634 ,0.9930455 ,0.9842633 ,0.8280298 ,0.8130111 ,0.8261371 ,0.7870001 ,0.8335779 ,0.6172586 ,0.7187161 ,0.7413609 ,0.9063752 ,0.8083917 ,0.6880378 ,0.5720142 ,0.7496628 ,0.6954207 ,0.8435196 ,0.7191859 ,0.6280685 ,0.5636617 ,0.6267547 ,0.7669407 ,0.7684185 ,0.668228 ,0.6257256 ,0.6834182 ,0.7849208 ,0.8273488 ,0.7377002 ,0.6028386 ,0.5223067 ,0.5058142 ,0.4952037 ,0.6571301 ,0.7816349 ,0.9059863 ,0.8278169 ,0.688209 ,0.5411248 ,0.3988322 ,0.2781144 ,0.1857613 ,0.1256537 ,0.08776419 ,0.07021135 ,0.05265851 ,0.03510567 ,0.01755284 ,8.776419e-3 ,
5 ,0.9745436 ,1.011544 ,1.085545 ,1.159546 ,1.233548 ,1.307549 ,1.320962 ,1.267565 ,1.176618 ,1.157979 ,1.193819 ,1.22109 ,1.188438 ,1.133753 ,1.127133 ,0.9546347 ,0.8860639 ,0.9411589 ,1.161024 ,1.245292 ,1.247406 ,1.306406 ,1.377237 ,1.321421 ,1.233361 ,1.214062 ,1.224101 ,1.09537 ,1.011691 ,1.028478 ,1.072054 ,1.151099 ,0.9890198 ,0.9256751 ,0.7627602 ,0.7116909 ,0.912378 ,1.069183 ,1.086284 ,0.8916911 ,0.8414538 ,0.8791583 ,0.9653792 ,0.8783932 ,0.7962061 ,0.7511042 ,0.8383894 ,0.890122 ,0.8709564 ,0.6478038 ,0.676254 ,0.7067124 ,0.7817083 ,0.7193323 ,0.7481581 ,0.7753667 ,0.9139687 ,0.7985598 ,0.9211517 ,0.818392 ,0.6945262 ,0.6024125 ,0.7240788 ,0.9644911 ,0.9413032 ,0.8696002 ,0.7305551 ,0.6696479 ,0.5862502 ,0.6696528 ,0.7545654 ,0.7176443 ,0.5676986 ,0.5172943 ,0.6422008 ,0.828918 ,0.9192289 ,0.9176016 ,0.7392603 ,0.5111163 ,0.355271 ,0.3284224 ,0.2875409 ,0.1594022 ,0.05822623 ,0.01903915 ,0.03659198 ,0.05414482 ,0.07169766 ,0.0892505 ,0.09802691 ,
6 ,0.96123 ,0.96123 ,0.96123 ,0.96123 ,0.96123 ,0.96123 ,0.9739694 ,1.000757 ,1.063475 ,1.18623 ,1.310684 ,1.334851 ,1.307171 ,1.290737 ,1.312049 ,1.147491 ,0.9494892 ,0.9309962 ,1.076957 ,1.201464 ,1.31481 ,1.367996 ,1.344238 ,1.182928 ,1.2073 ,1.333253 ,1.302649 ,1.122199 ,0.8933919 ,0.9981347 ,0.9189569 ,0.9479831 ,0.7466008 ,0.7804392 ,0.7239911 ,0.7386255 ,1.019538 ,1.230933 ,1.203781 ,0.9106789 ,0.9838582 ,1.013177 ,1.077842 ,0.7138002 ,0.6398012 ,0.7138614 ,0.8216835 ,0.8629255 ,0.7488241 ,0.6512675 ,0.6192038 ,0.540188 ,0.524108 ,0.5597123 ,0.665235 ,0.7364372 ,0.7488293 ,0.6979363 ,0.8106988 ,0.8609212 ,0.6698974 ,0.6775129 ,0.6786104 ,0.9012726 ,0.7206277 ,0.6641866 ,0.604705 ,0.7001424 ,0.7242183 ,0.7458684 ,0.790511 ,0.7342702 ,0.5951093 ,0.5565273 ,0.7427549 ,0.8628552 ,0.8548071 ,0.7554614 ,0.66564 ,0.5005844 ,0.3160232 ,0.2797351 ,0.2820493 ,0.2528379 ,0.2196109 ,0.1945675 ,0.1770147 ,0.1594618 ,0.141909 ,0.1243562 ,0.1155798 ,
7 ,0.9545732 ,0.9360729 ,0.8990724 ,0.8620718 ,0.8250712 ,0.7880706 ,0.8514306 ,1.02546 ,1.26674 ,1.401799 ,1.392208 ,1.241891 ,1.125471 ,1.097551 ,1.182051 ,1.252242 ,1.10581 ,0.9655994 ,0.8412108 ,0.9664199 ,1.238971 ,1.309644 ,1.3023 ,1.048591 ,1.055476 ,1.165127 ,1.168853 ,1.073279 ,0.8777951 ,1.103934 ,1.054381 ,0.8777221 ,0.6851913 ,0.6818265 ,0.730162 ,0.5933322 ,0.7613471 ,1.032075 ,1.058761 ,0.891786 ,0.8947538 ,0.9889644 ,1.034307 ,0.8850579 ,0.7725149 ,0.8109739 ,0.8007055 ,0.8312591 ,0.7527587 ,0.6164591 ,0.4793988 ,0.4715852 ,0.5152263 ,0.728833 ,0.7932599 ,0.9356644 ,0.7654491 ,0.7195742 ,0.6820379 ,0.8968288 ,0.8016744 ,0.8171842 ,0.7493394 ,0.8484565 ,0.6823921 ,0.682926 ,0.6159957 ,0.7148685 ,0.6911477 ,0.804778 ,0.8184883 ,0.7053364 ,0.5673005 ,0.6045909 ,0.8263159 ,0.861009 ,0.875985 ,0.8946769 ,0.8422781 ,0.6123061 ,0.3328359 ,0.3226295 ,0.3750823 ,0.3596413 ,0.3264143 ,0.3013709 ,0.283818 ,0.2662652 ,0.2487123 ,0.2311595 ,0.2223831 ,
8 ,0.96123 ,0.96123 ,0.96123 ,0.96123 ,0.96123 ,0.96123 ,0.9994483 ,1.079811 ,1.206952 ,1.350457 ,1.412331 ,1.255807 ,1.0578 ,0.958761 ,1.057953 ,1.145439 ,1.064421 ,1.031013 ,0.9978793 ,1.011086 ,1.024772 ,1.072878 ,1.17894 ,1.067471 ,0.9100942 ,0.8744765 ,0.7823175 ,0.8563551 ,0.947028 ,1.234397 ,1.061253 ,0.782346 ,0.7126445 ,0.7944341 ,0.7373127 ,0.6286003 ,0.6815185 ,0.9498719 ,0.9149421 ,0.8467859 ,0.9401439 ,1.10469 ,1.180355 ,1.014293 ,0.893463 ,0.8503526 ,0.804483 ,0.7334785 ,0.7717506 ,0.6549721 ,0.4858482 ,0.4099955 ,0.3901219 ,0.6749957 ,0.6870107 ,0.8557961 ,0.7052825 ,0.6242832 ,0.5826119 ,0.8486342 ,0.9167454 ,0.8607743 ,0.6418475 ,0.5809466 ,0.5218413 ,0.4641856 ,0.529399 ,0.6677278 ,0.7888843 ,0.8318937 ,0.7212154 ,0.5741805 ,0.4859054 ,0.5423044 ,0.6808152 ,0.7121134 ,0.763196 ,0.8328293 ,0.8107265 ,0.6363481 ,0.3926028 ,0.32041 ,0.32041 ,0.3194191 ,0.3067264 ,0.2823317 ,0.247226 ,0.2121204 ,0.1770147 ,0.141909 ,0.1243562 ,
9 ,0.96123 ,0.96123 ,0.96123 ,0.96123 ,0.96123 ,0.96123 ,1.024927 ,1.158864 ,1.330091 ,1.419426 ,1.41005 ,1.320481 ,1.238651 ,1.154906 ,1.007619 ,1.028761 ,0.999521 ,1.119253 ,1.080526 ,1.006317 ,0.9368289 ,0.9350425 ,1.035229 ,1.040794 ,0.8296729 ,0.7064179 ,0.5515629 ,0.6396511 ,0.8500512 ,1.014927 ,0.9591185 ,0.7632169 ,0.8129957 ,0.7680957 ,0.6753733 ,0.6164109 ,0.679091 ,0.9213373 ,0.9492975 ,0.9191698 ,0.9288638 ,1.025077 ,1.156926 ,1.037185 ,0.8862958 ,0.7661152 ,0.8544192 ,0.884775 ,1.026113 ,0.8788101 ,0.6347978 ,0.5593431 ,0.5872567 ,0.8722143 ,0.86736 ,0.9245492 ,0.8185835 ,0.637467 ,0.6213398 ,0.8514639 ,0.9810278 ,0.7535677 ,0.4376774 ,0.3534578 ,0.4639063 ,0.5035111 ,0.5780726 ,0.6100286 ,0.6197513 ,0.661598 ,0.5774794 ,0.4698799 ,0.427199 ,0.52781 ,0.704016 ,0.7413146 ,0.8279982 ,0.921669 ,0.8541099 ,0.6085294 ,0.3038477 ,0.2048862 ,0.1821311 ,0.1470255 ,0.1264913 ,0.1258425 ,0.1433953 ,0.1609482 ,0.178501 ,0.1960538 ,0.2048302 ,
10 ,0.9712152 ,0.9989656 ,1.054466 ,1.109967 ,1.165468 ,1.220969 ,1.234214 ,1.200863 ,1.144942 ,1.149166 ,1.220583 ,1.338974 ,1.358208 ,1.238778 ,0.969996 ,0.9219578 ,0.9363269 ,1.001957 ,0.8785155 ,0.7374035 ,0.6613724 ,0.7792728 ,0.8900753 ,1.013984 ,0.8746933 ,0.792468 ,0.532081 ,0.5298747 ,0.6851743 ,0.8800335 ,0.886615 ,0.8242653 ,0.863368 ,0.7751702 ,0.6882397 ,0.6667875 ,0.7211742 ,0.824718 ,0.950498 ,0.9174789 ,0.999759 ,0.9698964 ,1.134485 ,0.9702043 ,0.838587 ,0.7698926 ,0.8270124 ,0.9695157 ,0.9722445 ,0.9575502 ,0.7081193 ,0.6740056 ,0.7137528 ,0.9542371 ,1.105978 ,0.9531605 ,0.8982764 ,0.5496665 ,0.713406 ,0.7239836 ,0.9299784 ,0.7327178 ,0.5477005 ,0.5140803 ,0.5375845 ,0.5460926 ,0.5352846 ,0.5209139 ,0.4612368 ,0.4580328 ,0.4631322 ,0.4849661 ,0.4534033 ,0.4554572 ,0.5845518 ,0.7531621 ,0.8732461 ,0.8183525 ,0.6193105 ,0.428355 ,0.3082345 ,0.2368406 ,0.1890163 ,0.14653 ,0.1196494 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1068033 ,
11 ,0.9878571 ,1.061858 ,1.209861 ,1.357863 ,1.505865 ,1.653867 ,1.680695 ,1.5739 ,1.35811 ,1.195966 ,1.15209 ,1.275136 ,1.350983 ,1.275991 ,0.9872911 ,1.003731 ,1.037685 ,1.049813 ,0.788945 ,0.6220946 ,0.589008 ,0.6039281 ,0.6394365 ,0.7321629 ,0.7440204 ,0.9212483 ,0.8316754 ,0.7629174 ,0.5651568 ,0.5685142 ,0.6770377 ,0.7897427 ,0.9054213 ,0.8432044 ,0.9557996 ,0.9381656 ,0.9089319 ,0.8153245 ,0.8246463 ,0.9118882 ,0.868177 ,0.9971216 ,1.04963 ,0.9753023 ,0.7832699 ,0.8318983 ,0.9017029 ,1.14042 ,1.033734 ,1.040017 ,0.7479105 ,0.7368396 ,0.7849793 ,0.9541933 ,1.183272 ,1.04567 ,0.9942934 ,0.6292001 ,0.6981285 ,0.5719484 ,0.689209 ,0.6597082 ,0.5901717 ,0.6031891 ,0.4662238 ,0.510333 ,0.5149699 ,0.5812354 ,0.4905877 ,0.4853424 ,0.5249665 ,0.5781691 ,0.4968456 ,0.4502668 ,0.4760536 ,0.6297752 ,0.7300469 ,0.7578608 ,0.6260421 ,0.5024211 ,0.4162733 ,0.3007494 ,0.2027866 ,0.14653 ,0.1196494 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1068033 ,
