conotool csv
//HEADER//
invert,0
maxtheta,90 
maxphi,359 
thetastep,1 
phistep,1 
source,Autronics
filename,@Detector_Ang10340.csv
commondata,yes
datatype,Luminance
spotsize,N/A
spotinpower,N/A
//BODY//
Phi\Theta,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,
0 ,1.291625 ,1.319376 ,1.374876 ,1.430377 ,1.485878 ,1.541379 ,1.675649 ,1.896778 ,2.104497 ,2.051199 ,1.837038 ,1.714322 ,1.751418 ,1.82947 ,1.850904 ,1.960136 ,1.847292 ,1.663226 ,1.458083 ,1.377242 ,1.411785 ,1.482696 ,1.45431 ,1.348121 ,1.091399 ,0.9871031 ,0.9795414 ,0.9640592 ,0.8562452 ,0.8679127 ,0.8490755 ,1.003844 ,0.905066 ,1.105195 ,1.044115 ,0.9698751 ,0.8301571 ,0.7783261 ,0.8839243 ,0.7596478 ,0.7712167 ,0.64879 ,0.7034132 ,0.7047759 ,0.8280566 ,0.9137911 ,1.035997 ,1.019816 ,0.7857381 ,0.7111192 ,0.633671 ,0.7720693 ,0.665266 ,0.6519434 ,0.5490699 ,0.4602549 ,0.5345147 ,0.520534 ,0.6656533 ,0.5110682 ,0.6082412 ,0.5315748 ,0.5050967 ,0.3056346 ,0.3259966 ,0.3648141 ,0.4780252 ,0.6118523 ,0.6961204 ,0.808794 ,0.7987838 ,0.729697 ,0.5721746 ,0.4359884 ,0.3819896 ,0.3614423 ,0.3719981 ,0.471102 ,0.5380398 ,0.5872467 ,0.6707662 ,0.7912735 ,0.8358202 ,0.7577706 ,0.6485701 ,0.5551438 ,0.4761561 ,0.3971683 ,0.3181805 ,0.2391928 ,0.1996989 ,
1 ,1.294954 ,1.331954 ,1.405955 ,1.479956 ,1.553958 ,1.627959 ,1.705069 ,1.785609 ,1.818434 ,1.714317 ,1.562944 ,1.541881 ,1.637814 ,1.735612 ,1.726148 ,1.790627 ,1.701188 ,1.577085 ,1.428613 ,1.425972 ,1.57119 ,1.675375 ,1.570432 ,1.444969 ,1.148875 ,1.135915 ,1.074491 ,1.168766 ,1.135442 ,1.069658 ,1.011245 ,0.9694058 ,0.9374538 ,0.9821931 ,0.9709458 ,0.87911 ,0.750865 ,0.7482101 ,0.8002401 ,0.7718498 ,0.7673008 ,0.6434026 ,0.7579002 ,0.6420361 ,0.7489383 ,0.7554749 ,0.8969599 ,0.9217737 ,0.7301205 ,0.7037661 ,0.6698974 ,0.7171666 ,0.5858908 ,0.6126783 ,0.537961 ,0.5167485 ,0.5410521 ,0.5828628 ,0.6856052 ,0.5276922 ,0.5924742 ,0.5413633 ,0.5503378 ,0.4492398 ,0.4272133 ,0.4466588 ,0.517861 ,0.6250949 ,0.7078223 ,0.7286003 ,0.6882632 ,0.5688869 ,0.4194026 ,0.3333972 ,0.383606 ,0.4209046 ,0.4388042 ,0.4362669 ,0.4654965 ,0.4877693 ,0.514733 ,0.5594701 ,0.5640986 ,0.5056759 ,0.4392219 ,0.389135 ,0.3540294 ,0.3189237 ,0.283818 ,0.2487123 ,0.2311595 ,
2 ,1.30161 ,1.357111 ,1.468113 ,1.579115 ,1.690116 ,1.801118 ,1.891305 ,1.95854 ,1.956913 ,1.829934 ,1.651905 ,1.570095 ,1.558213 ,1.523853 ,1.398524 ,1.420069 ,1.490859 ,1.632271 ,1.690201 ,1.742381 ,1.797796 ,1.738896 ,1.560612 ,1.316969 ,1.014017 ,0.9664995 ,0.917351 ,1.106824 ,1.119301 ,1.02669 ,1.030668 ,0.9865511 ,0.9956501 ,0.8668764 ,0.763881 ,0.7286891 ,0.7140723 ,0.7573974 ,0.8102309 ,0.8207971 ,0.8474975 ,0.794331 ,0.751564 ,0.6398547 ,0.6754558 ,0.7119234 ,0.8133533 ,0.7973207 ,0.7269501 ,0.6596183 ,0.613256 ,0.5730044 ,0.515667 ,0.6315562 ,0.5979347 ,0.5459138 ,0.5059061 ,0.4356571 ,0.5346032 ,0.4499143 ,0.6896109 ,0.7170389 ,0.7417027 ,0.6078562 ,0.4947685 ,0.4798274 ,0.5444934 ,0.6971929 ,0.7184408 ,0.6745528 ,0.5814599 ,0.479685 ,0.3931983 ,0.40575 ,0.5082617 ,0.5258616 ,0.4464132 ,0.3537693 ,0.3838299 ,0.4234366 ,0.3982251 ,0.3181905 ,0.2657377 ,0.2801879 ,0.3007221 ,0.3013709 ,0.283818 ,0.2662652 ,0.2487123 ,0.2311595 ,0.2223831 ,
3 ,1.298282 ,1.344533 ,1.437034 ,1.529536 ,1.622037 ,1.714538 ,1.804557 ,1.891838 ,1.932016 ,1.852873 ,1.737101 ,1.74486 ,1.723278 ,1.602254 ,1.480415 ,1.511716 ,1.572118 ,1.578291 ,1.611191 ,1.70698 ,1.736252 ,1.569919 ,1.404313 ,1.267637 ,1.203293 ,1.175074 ,1.080503 ,1.116872 ,1.257673 ,1.200764 ,1.220414 ,0.9105399 ,0.8554874 ,0.6912733 ,0.8104745 ,0.9727551 ,0.9344979 ,1.062821 ,0.965139 ,0.9535617 ,0.7755561 ,0.8354019 ,0.8941604 ,0.7873571 ,0.6734909 ,0.6603115 ,0.7242022 ,0.6602605 ,0.6637631 ,0.6159523 ,0.6444041 ,0.5154481 ,0.4177423 ,0.4890744 ,0.4447184 ,0.4491459 ,0.4234624 ,0.5199919 ,0.5754426 ,0.4587775 ,0.5216601 ,0.534956 ,0.6005411 ,0.5378968 ,0.5783045 ,0.5854181 ,0.6420879 ,0.6097014 ,0.5747706 ,0.4557668 ,0.4292072 ,0.3746845 ,0.3275039 ,0.3709865 ,0.509601 ,0.6345112 ,0.5664307 ,0.4064197 ,0.3639518 ,0.3628806 ,0.3107054 ,0.1772132 ,0.09737688 ,0.1336578 ,0.1810726 ,0.1945675 ,0.1770147 ,0.1594618 ,0.141909 ,0.1243562 ,0.1155798 ,
4 ,1.291625 ,1.319376 ,1.374876 ,1.430377 ,1.485878 ,1.541379 ,1.6438 ,1.797961 ,1.930235 ,1.86973 ,1.718119 ,1.698607 ,1.727983 ,1.689648 ,1.575822 ,1.515997 ,1.492796 ,1.460381 ,1.538789 ,1.615582 ,1.513207 ,1.353997 ,1.278873 ,1.232305 ,1.158617 ,1.072006 ,0.9857669 ,0.9949289 ,1.010775 ,1.129878 ,1.189405 ,1.019658 ,0.8504513 ,0.7203969 ,0.7635782 ,0.8614742 ,0.8066302 ,0.9485921 ,0.9048797 ,0.8580105 ,0.7061121 ,0.8383964 ,0.8412575 ,0.7719934 ,0.6567051 ,0.6444986 ,0.7639868 ,0.7017635 ,0.7408672 ,0.6665231 ,0.6131602 ,0.5029946 ,0.3826789 ,0.4895409 ,0.5231625 ,0.4895925 ,0.4337473 ,0.3981462 ,0.4337473 ,0.2937834 ,0.4660837 ,0.5457377 ,0.5846961 ,0.4442726 ,0.4321757 ,0.4457222 ,0.4574428 ,0.4426416 ,0.3966474 ,0.400561 ,0.4346551 ,0.4379656 ,0.3658405 ,0.3775476 ,0.466853 ,0.5905727 ,0.5128388 ,0.3845354 ,0.2939587 ,0.277141 ,0.2823976 ,0.2201076 ,0.1904099 ,0.2404612 ,0.287876 ,0.3013709 ,0.283818 ,0.2662652 ,0.2487123 ,0.2311595 ,0.2223831 ,
5 ,1.298282 ,1.344533 ,1.437034 ,1.529536 ,1.622037 ,1.714538 ,1.791818 ,1.852311 ,1.863668 ,1.786636 ,1.688731 ,1.694938 ,1.721607 ,1.731499 ,1.815253 ,1.796133 ,1.77236 ,1.549011 ,1.489943 ,1.480445 ,1.427343 ,1.382635 ,1.355697 ,1.272219 ,1.239761 ,1.186169 ,1.033769 ,0.9063369 ,0.9242042 ,1.177933 ,1.306385 ,1.003422 ,0.80749 ,0.7502399 ,0.8783677 ,1.003214 ,0.9593198 ,1.075332 ,1.085125 ,0.9428748 ,0.7533983 ,0.6791518 ,0.7650294 ,0.6500376 ,0.6430736 ,0.5671742 ,0.7174678 ,0.7085968 ,0.7450296 ,0.7786955 ,0.7253326 ,0.6440438 ,0.5072957 ,0.5428937 ,0.5804158 ,0.5256333 ,0.3990664 ,0.3687216 ,0.3706198 ,0.3101169 ,0.3844101 ,0.5137973 ,0.5440783 ,0.5300525 ,0.4849939 ,0.4306279 ,0.341534 ,0.2493111 ,0.255744 ,0.3174967 ,0.4555956 ,0.4919929 ,0.3798982 ,0.2691541 ,0.2379483 ,0.3577662 ,0.4212277 ,0.4465044 ,0.3439153 ,0.2425671 ,0.183383 ,0.1561988 ,0.1766396 ,0.2404612 ,0.287876 ,0.3013709 ,0.283818 ,0.2662652 ,0.2487123 ,0.2311595 ,0.2223831 ,
6 ,1.294954 ,1.331954 ,1.405955 ,1.479956 ,1.553958 ,1.627959 ,1.705069 ,1.785609 ,1.825213 ,1.74607 ,1.594613 ,1.480877 ,1.463339 ,1.490019 ,1.495247 ,1.358958 ,1.333585 ,1.261582 ,1.277555 ,1.214586 ,1.196071 ,1.370102 ,1.431136 ,1.476231 ,1.227624 ,1.254288 ,1.028231 ,1.176683 ,1.114979 ,1.279655 ,1.284237 ,1.135 ,1.02812 ,0.9631734 ,0.8071655 ,0.8604769 ,0.8819186 ,1.026413 ,1.009249 ,0.8647267 ,0.742694 ,0.5998191 ,0.6085873 ,0.5737374 ,0.6805407 ,0.4854792 ,0.6303995 ,0.649968 ,0.805961 ,0.720614 ,0.647681 ,0.5518544 ,0.5162533 ,0.52507 ,0.6263787 ,0.5967737 ,0.5414708 ,0.4752866 ,0.4554371 ,0.4215608 ,0.4305953 ,0.5817303 ,0.5621155 ,0.6098623 ,0.4689356 ,0.4183934 ,0.2618216 ,0.2302962 ,0.215943 ,0.3192516 ,0.412708 ,0.43494 ,0.3606962 ,0.2941642 ,0.2804562 ,0.328565 ,0.3564254 ,0.342266 ,0.205402 ,0.1211119 ,0.1750394 ,0.3081162 ,0.4311482 ,0.4928037 ,0.5006451 ,0.4768992 ,0.4242407 ,0.3715822 ,0.3189237 ,0.2662652 ,0.2399359 ,
7 ,1.298282 ,1.344533 ,1.437034 ,1.529536 ,1.622037 ,1.714538 ,1.817297 ,1.931365 ,2.034261 ,2.077873 ,2.059792 ,2.000596 ,1.826225 ,1.595915 ,1.546728 ,1.448465 ,1.454505 ,1.284457 ,1.257151 ,1.241135 ,1.287693 ,1.34717 ,1.464698 ,1.538847 ,1.399529 ,1.359808 ,1.061495 ,1.15693 ,1.085025 ,1.165102 ,1.118411 ,1.076572 ,1.03917 ,1.127689 ,0.9326446 ,1.041357 ,0.965986 ,1.052189 ,1.016858 ,0.9325074 ,0.778632 ,0.6818476 ,0.6322006 ,0.6835854 ,0.6997167 ,0.5860726 ,0.6475469 ,0.6121436 ,0.7890823 ,0.6349465 ,0.5815821 ,0.4685467 ,0.5696937 ,0.5696256 ,0.6078465 ,0.5678179 ,0.5074945 ,0.5321068 ,0.5320698 ,0.6634779 ,0.4949835 ,0.5517749 ,0.4643152 ,0.5588362 ,0.4887955 ,0.4292113 ,0.4169432 ,0.3894934 ,0.3873358 ,0.3588588 ,0.3892934 ,0.4136416 ,0.4444127 ,0.440472 ,0.4052689 ,0.3477649 ,0.337606 ,0.3578083 ,0.3136784 ,0.2568757 ,0.251619 ,0.3313501 ,0.4065578 ,0.425727 ,0.4066879 ,0.3700959 ,0.3174374 ,0.2647789 ,0.2121204 ,0.1594618 ,0.1331326 ,
8 ,1.271655 ,1.243904 ,1.188404 ,1.132903 ,1.077402 ,1.021901 ,1.059614 ,1.200115 ,1.418777 ,1.580921 ,1.669404 ,1.698226 ,1.708853 ,1.693661 ,1.625245 ,1.472269 ,1.287652 ,1.10666 ,1.052569 ,1.116128 ,1.233689 ,1.352067 ,1.549275 ,1.730227 ,1.595909 ,1.402776 ,1.046591 ,1.25334 ,1.231117 ,1.262264 ,1.029313 ,1.005033 ,1.074435 ,1.269757 ,1.116442 ,1.065116 ,0.8366197 ,0.8553229 ,0.7835181 ,0.7892295 ,0.746509 ,0.720161 ,0.6267741 ,0.6584989 ,0.6581033 ,0.5444592 ,0.5049446 ,0.4394822 ,0.5808199 ,0.4542452 ,0.4400193 ,0.3813754 ,0.6349979 ,0.6883655 ,0.7333618 ,0.5785026 ,0.527064 ,0.6678001 ,0.665865 ,0.761969 ,0.5884844 ,0.6260206 ,0.6313408 ,0.6359369 ,0.6998488 ,0.6571342 ,0.570487 ,0.3826169 ,0.2906286 ,0.2838017 ,0.2810031 ,0.2852355 ,0.3356597 ,0.3829679 ,0.3859617 ,0.4061672 ,0.4156225 ,0.4027609 ,0.2938003 ,0.2279153 ,0.2818427 ,0.3974785 ,0.4750005 ,0.4654537 ,0.419534 ,0.3700959 ,0.3174374 ,0.2647789 ,0.2121204 ,0.1594618 ,0.1331326 ,
9 ,1.278312 ,1.269061 ,1.250561 ,1.232061 ,1.213561 ,1.19506 ,1.220371 ,1.293992 ,1.413779 ,1.532311 ,1.665639 ,1.844778 ,1.916907 ,1.838025 ,1.646721 ,1.470129 ,1.349117 ,1.22302 ,1.228423 ,1.407356 ,1.546546 ,1.453883 ,1.378682 ,1.403479 ,1.385965 ,1.250314 ,0.962919 ,0.9880593 ,0.9735321 ,1.025787 ,0.9309367 ,0.820846 ,0.8884466 ,1.028928 ,1.049137 ,0.8929166 ,0.6800401 ,0.6838999 ,0.8879204 ,0.9970798 ,0.984225 ,0.7605993 ,0.6258892 ,0.6409217 ,0.7133482 ,0.6259566 ,0.6068795 ,0.4522659 ,0.5352174 ,0.433062 ,0.4455555 ,0.4209311 ,0.5727017 ,0.6706139 ,0.7473108 ,0.6196602 ,0.5325586 ,0.632199 ,0.5946628 ,0.6551657 ,0.5856317 ,0.7079449 ,0.7502607 ,0.6509061 ,0.6300412 ,0.5600536 ,0.5380724 ,0.4570056 ,0.4419821 ,0.4209135 ,0.3469127 ,0.2824571 ,0.3098535 ,0.3845166 ,0.403814 ,0.4043209 ,0.3852123 ,0.4092496 ,0.3637934 ,0.2925912 ,0.2316549 ,0.2048862 ,0.1821311 ,0.14653 ,0.1196494 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1068033 ,
