conotool csv
//HEADER//
invert,0
maxtheta,90 
maxphi,359 
thetastep,1 
phistep,1 
source,Autronics
filename,@Detector_Ang20210.csv
commondata,yes
datatype,Luminance
spotsize,N/A
spotinpower,N/A
//BODY//
Phi\Theta,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,
0 ,0.02995551 ,0.1132068 ,0.2797094 ,0.446212 ,0.6127146 ,0.7792171 ,0.8380616 ,0.778189 ,0.6536606 ,0.663163 ,0.7837066 ,0.913405 ,0.96123 ,1.018202 ,1.274763 ,1.500885 ,1.788346 ,2.093254 ,2.654646 ,3.151782 ,3.384096 ,3.555928 ,3.65657 ,3.910565 ,4.16823 ,4.107628 ,4.162937 ,4.145527 ,4.790433 ,4.634964 ,5.150704 ,4.754205 ,4.949704 ,4.194144 ,4.063852 ,4.321156 ,4.708859 ,4.86261 ,4.302737 ,4.122453 ,4.212058 ,4.205859 ,4.068525 ,3.524406 ,3.410907 ,3.275077 ,3.34567 ,2.841141 ,2.481124 ,2.044036 ,2.241607 ,2.137773 ,2.188657 ,1.761346 ,1.476316 ,1.314999 ,1.456081 ,1.41523 ,1.009305 ,0.9081211 ,0.513363 ,0.7506525 ,0.5681531 ,0.7828624 ,0.5965941 ,0.8010824 ,0.7482284 ,0.7749374 ,0.5523741 ,0.5074688 ,0.4469631 ,0.4338551 ,0.4266101 ,0.3672973 ,0.2874934 ,0.2012373 ,0.2117931 ,0.3031976 ,0.3302699 ,0.2786818 ,0.1872773 ,0.160205 ,0.160205 ,0.1594618 ,0.1499423 ,0.1316463 ,0.105317 ,0.07898777 ,0.05265851 ,0.02632926 ,0.01316463 ,
1 ,0.01997034 ,0.0754712 ,0.1864729 ,0.2974746 ,0.4084764 ,0.5194781 ,0.5714471 ,0.5583195 ,0.5583564 ,0.7623664 ,1.056144 ,1.192494 ,1.139072 ,1.07166 ,1.217956 ,1.486686 ,1.784719 ,2.111302 ,2.47613 ,2.883028 ,3.284597 ,3.576476 ,3.689248 ,3.92667 ,4.292681 ,4.4879 ,4.549194 ,4.573189 ,4.882725 ,4.671179 ,4.858649 ,4.615163 ,4.831 ,4.453176 ,4.53024 ,4.660857 ,4.744485 ,4.699675 ,4.192604 ,4.036658 ,4.107473 ,4.187135 ,4.007756 ,3.413403 ,3.254226 ,3.140233 ,3.313175 ,2.939404 ,2.616499 ,2.137855 ,2.111132 ,1.97872 ,1.840293 ,1.484156 ,1.339772 ,1.278628 ,1.444365 ,1.336608 ,1.089299 ,0.9499248 ,0.6262462 ,0.7776599 ,0.6548961 ,0.8296749 ,0.6566365 ,0.7943566 ,0.758208 ,0.7908153 ,0.6378093 ,0.6013362 ,0.562506 ,0.5231947 ,0.4964619 ,0.4369667 ,0.3820681 ,0.3185637 ,0.2728037 ,0.2638357 ,0.238585 ,0.1963197 ,0.1640993 ,0.1816522 ,0.2067215 ,0.2131112 ,0.2067648 ,0.1945675 ,0.1770147 ,0.1594618 ,0.141909 ,0.1243562 ,0.1155798 ,
2 ,0.01997034 ,0.0754712 ,0.1864729 ,0.2974746 ,0.4084764 ,0.5194781 ,0.5841865 ,0.5978464 ,0.6063674 ,0.7333458 ,0.9024535 ,0.9538903 ,0.9484767 ,1.014547 ,1.272874 ,1.757036 ,2.137848 ,2.392828 ,2.40506 ,2.641933 ,3.119034 ,3.561848 ,3.847698 ,4.023494 ,4.384533 ,4.611595 ,4.919729 ,5.151143 ,5.390407 ,5.230352 ,5.211633 ,5.13233 ,4.801196 ,4.689091 ,4.610042 ,4.967476 ,4.493685 ,4.459853 ,4.068373 ,4.01001 ,3.62374 ,3.754862 ,3.607307 ,3.277401 ,2.852885 ,2.834401 ,3.01258 ,2.918076 ,2.651894 ,2.282716 ,2.172298 ,1.808976 ,1.585651 ,1.309607 ,1.498229 ,1.50386 ,1.593017 ,1.365549 ,1.270437 ,1.038881 ,0.9157301 ,0.8631039 ,0.737254 ,0.6854087 ,0.550927 ,0.6655578 ,0.6829021 ,0.7403849 ,0.6488584 ,0.6812555 ,0.6717835 ,0.6324722 ,0.5297071 ,0.3959136 ,0.3410151 ,0.2912088 ,0.2899998 ,0.306367 ,0.2635633 ,0.1790328 ,0.114592 ,0.1671389 ,0.2627874 ,0.3472645 ,0.3946793 ,0.4081742 ,0.3906213 ,0.3730685 ,0.3555157 ,0.3379628 ,0.3291864 ,
3 ,3.32839e-3 ,0.01257853 ,0.03107882 ,0.04957911 ,0.06807939 ,0.08657968 ,0.1504453 ,0.2643364 ,0.4547699 ,0.7210301 ,0.9430433 ,0.932181 ,0.8305919 ,0.816623 ,1.059267 ,1.625203 ,2.200036 ,2.632622 ,2.732077 ,2.994689 ,3.502963 ,3.86861 ,4.136109 ,4.185377 ,4.705707 ,4.934094 ,5.340176 ,5.465457 ,5.243736 ,4.903482 ,4.479987 ,4.76069 ,4.80702 ,4.997365 ,4.753648 ,4.929259 ,4.440112 ,4.443087 ,3.981277 ,3.942392 ,3.740453 ,3.680063 ,3.514788 ,3.193033 ,2.79902 ,2.524335 ,2.628317 ,2.715453 ,2.690055 ,2.338942 ,2.082583 ,1.853455 ,1.647535 ,1.371491 ,1.437839 ,1.440611 ,1.551883 ,1.47614 ,1.355144 ,1.243878 ,1.104327 ,0.9714889 ,0.8333071 ,0.6673464 ,0.5853693 ,0.6314071 ,0.6375782 ,0.6594599 ,0.5621708 ,0.588613 ,0.6233531 ,0.6179248 ,0.5348128 ,0.3924084 ,0.3217079 ,0.3496112 ,0.3508202 ,0.3087883 ,0.2187069 ,0.1568275 ,0.1550752 ,0.1990933 ,0.2696726 ,0.3477599 ,0.4015211 ,0.4272133 ,0.4272133 ,0.4272133 ,0.4272133 ,0.4272133 ,0.4272133 ,
4 ,3.32839e-3 ,0.01257853 ,0.03107882 ,0.04957911 ,0.06807939 ,0.08657968 ,0.1504453 ,0.2643364 ,0.427653 ,0.5940198 ,0.7003925 ,0.6653636 ,0.6097606 ,0.6934043 ,1.155586 ,1.708115 ,2.223986 ,2.524318 ,2.797892 ,3.185402 ,3.760548 ,4.269229 ,4.660486 ,4.646164 ,4.725509 ,4.615098 ,4.910694 ,5.375198 ,5.605418 ,5.416643 ,4.738271 ,4.627361 ,4.614865 ,4.775704 ,4.664455 ,4.818614 ,4.241449 ,4.076355 ,3.685747 ,3.969854 ,3.893507 ,3.808402 ,3.574499 ,3.43012 ,3.007173 ,2.916057 ,2.858521 ,2.855093 ,2.676021 ,2.440708 ,2.346325 ,2.012267 ,1.756346 ,1.480307 ,1.580662 ,1.524214 ,1.46794 ,1.366632 ,1.158984 ,1.117615 ,1.047366 ,1.104157 ,1.0035 ,0.8573715 ,0.6595068 ,0.6152177 ,0.5622723 ,0.554982 ,0.4928322 ,0.5406338 ,0.5719294 ,0.5392406 ,0.4194026 ,0.3086585 ,0.2559576 ,0.2701627 ,0.2784089 ,0.3024463 ,0.2569901 ,0.1963197 ,0.1640993 ,0.1903728 ,0.238197 ,0.2811787 ,0.3144057 ,0.3394491 ,0.357002 ,0.3745548 ,0.3921077 ,0.4096605 ,0.4184369 ,
5 ,0 ,0 ,0 ,0 ,0 ,0 ,0.05095767 ,0.1581075 ,0.3276289 ,0.518969 ,0.6877068 ,0.7726206 ,0.7612245 ,0.7825031 ,1.117963 ,1.49228 ,1.843942 ,2.163176 ,2.634999 ,3.159688 ,3.828464 ,4.28667 ,4.562553 ,4.370635 ,4.248204 ,4.446684 ,4.582601 ,5.141772 ,5.042254 ,5.131373 ,4.58199 ,4.77438 ,4.737183 ,4.643044 ,4.251839 ,4.599805 ,4.471058 ,4.272615 ,3.561259 ,3.92899 ,4.28401 ,4.332998 ,3.746389 ,3.51609 ,3.092846 ,3.050511 ,2.799328 ,2.986618 ,2.716229 ,2.546013 ,2.32353 ,2.223053 ,1.885858 ,1.645479 ,1.620939 ,1.566522 ,1.341066 ,1.223274 ,1.013691 ,1.079125 ,0.9742285 ,1.136429 ,1.02623 ,1.071361 ,0.8804707 ,0.8716027 ,0.6840667 ,0.6735618 ,0.5809032 ,0.6284141 ,0.6393259 ,0.5756665 ,0.4213522 ,0.2758517 ,0.257454 ,0.2930551 ,0.303214 ,0.2727458 ,0.2637217 ,0.259854 ,0.2328903 ,0.1794327 ,0.1520492 ,0.17388 ,0.2007606 ,0.2136067 ,0.2136067 ,0.2136067 ,0.2136067 ,0.2136067 ,0.2136067 ,
6 ,6.65678e-3 ,0.02515707 ,0.06215764 ,0.09915822 ,0.1361588 ,0.1731594 ,0.2117147 ,0.2519846 ,0.3294101 ,0.5021118 ,0.7066895 ,0.8188735 ,0.7748258 ,0.7642087 ,1.195672 ,1.776872 ,2.151115 ,2.226514 ,2.316205 ,2.63937 ,3.354505 ,4.058095 ,4.450842 ,4.347804 ,4.212886 ,4.339882 ,4.351897 ,4.693718 ,4.685575 ,4.861287 ,4.480771 ,4.578498 ,4.421968 ,4.36744 ,4.390679 ,4.494406 ,4.324466 ,4.081492 ,3.733529 ,4.257432 ,4.450867 ,4.618853 ,3.7875 ,3.281211 ,2.997725 ,3.125886 ,3.198548 ,3.262706 ,3.019612 ,2.795003 ,2.517275 ,2.211497 ,1.734986 ,1.548115 ,1.691545 ,1.734335 ,1.518858 ,1.163324 ,0.902463 ,0.806359 ,0.7826451 ,0.9733891 ,0.8777811 ,1.205842 ,1.136962 ,1.108115 ,0.7831764 ,0.6729377 ,0.6729377 ,0.7207393 ,0.7700507 ,0.7000427 ,0.5007978 ,0.3626988 ,0.357611 ,0.3396099 ,0.2843946 ,0.2882882 ,0.3719981 ,0.4061496 ,0.3487177 ,0.2775155 ,0.227377 ,0.2131112 ,0.2067648 ,0.1945675 ,0.1770147 ,0.1594618 ,0.141909 ,0.1243562 ,0.1155798 ,
7 ,9.98517e-3 ,0.0377356 ,0.09323646 ,0.1487373 ,0.2042382 ,0.259739 ,0.3112024 ,0.3582135 ,0.4226549 ,0.54541 ,0.7055494 ,0.8512105 ,0.8377924 ,0.7776224 ,1.015341 ,1.683172 ,2.272006 ,2.52063 ,2.48285 ,2.714863 ,3.209464 ,3.577829 ,3.930882 ,3.846422 ,4.105057 ,4.334603 ,4.415713 ,4.329315 ,3.763102 ,4.161529 ,3.989759 ,4.691952 ,4.424565 ,4.58718 ,4.181116 ,4.092842 ,4.140668 ,4.114723 ,3.818986 ,3.879074 ,3.98489 ,4.270713 ,3.839481 ,3.466535 ,3.173242 ,3.093816 ,3.0319 ,3.153027 ,3.099327 ,3.004983 ,2.527796 ,2.152104 ,1.716146 ,1.707348 ,1.7689 ,1.81529 ,1.710062 ,1.375552 ,1.161983 ,0.9021973 ,0.841929 ,0.8156159 ,0.6446221 ,0.8770523 ,0.9020343 ,1.00033 ,0.7354201 ,0.635907 ,0.5795198 ,0.6332762 ,0.700173 ,0.7408026 ,0.6314191 ,0.4386104 ,0.3631165 ,0.2849001 ,0.2671986 ,0.2457569 ,0.3470197 ,0.4339684 ,0.4374729 ,0.3755983 ,0.3027048 ,0.2523425 ,0.2127691 ,0.1755284 ,0.1404227 ,0.105317 ,0.07021135 ,0.03510567 ,0.01755284 ,
8 ,0.01664195 ,0.06289267 ,0.1553941 ,0.2478955 ,0.340397 ,0.4328984 ,0.4974383 ,0.5311444 ,0.5543544 ,0.6292744 ,0.7449991 ,0.8618383 ,0.9110167 ,0.9628659 ,1.206157 ,1.800763 ,2.321187 ,2.545939 ,2.46355 ,2.628659 ,3.06553 ,3.495361 ,3.838061 ,3.851729 ,4.260283 ,4.484251 ,4.484294 ,4.063952 ,3.777511 ,4.101579 ,3.928108 ,4.071702 ,4.023071 ,4.431851 ,4.422482 ,3.990922 ,3.871235 ,3.992119 ,4.052731 ,3.810425 ,3.567153 ,3.754485 ,3.87426 ,3.421016 ,3.359178 ,3.256404 ,3.441317 ,3.09962 ,3.031324 ,2.798745 ,2.508516 ,2.014353 ,1.78052 ,1.700443 ,1.643177 ,1.618364 ,1.621872 ,1.334667 ,1.180381 ,0.8919473 ,0.8058203 ,0.6523499 ,0.5839757 ,0.8666671 ,0.8207631 ,0.7808375 ,0.5189223 ,0.4324883 ,0.3899924 ,0.3968194 ,0.4556028 ,0.5179422 ,0.5031191 ,0.4632125 ,0.4233198 ,0.3396099 ,0.2500025 ,0.1878268 ,0.2269115 ,0.2809177 ,0.3113859 ,0.302969 ,0.2574589 ,0.1857613 ,0.1256537 ,0.08776419 ,0.07021135 ,0.05265851 ,0.03510567 ,0.01755284 ,8.776419e-3 ,
9 ,0.01331356 ,0.05031413 ,0.1243153 ,0.1983164 ,0.2723176 ,0.3463187 ,0.4106901 ,0.4644424 ,0.5023413 ,0.525203 ,0.5964659 ,0.8090813 ,1.058289 ,1.222259 ,1.156227 ,1.540063 ,1.987845 ,2.518083 ,2.632663 ,2.779704 ,2.905422 ,2.955996 ,3.095983 ,3.280454 ,3.733952 ,4.025366 ,4.218677 ,4.125057 ,3.928644 ,4.466851 ,4.133856 ,4.495612 ,4.207897 ,4.803667 ,4.447923 ,4.10311 ,3.805918 ,4.0894 ,3.944712 ,3.448689 ,3.138366 ,3.278916 ,3.74935 ,3.572253 ,3.504973 ,3.274858 ,3.05102 ,2.787678 ,2.799066 ,2.804263 ,2.311038 ,1.815891 ,1.584626 ,1.575818 ,1.440829 ,1.400436 ,1.51461 ,1.338988 ,1.259664 ,0.9941101 ,1.033033 ,0.8409116 ,0.8238279 ,0.8218469 ,0.6613774 ,0.5611869 ,0.3939894 ,0.4042845 ,0.3927593 ,0.3870951 ,0.3738153 ,0.3691848 ,0.3959177 ,0.4189671 ,0.3807703 ,0.2893626 ,0.1908055 ,0.1324648 ,0.1702232 ,0.2414255 ,0.3023618 ,0.2942485 ,0.2259834 ,0.1191801 ,0.03853831 ,0 ,0 ,0 ,0 ,0 ,0 ,
