conotool csv
//HEADER//
invert,0
maxtheta,90 
maxphi,359 
thetastep,1 
phistep,1 
source,Autronics
filename,@Detector_Ang10070.csv
commondata,yes
datatype,Luminance
spotsize,N/A
spotinpower,N/A
//BODY//
Phi\Theta,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,
0 ,8.831688 ,8.443182 ,7.66617 ,6.889157 ,6.112145 ,5.335133 ,4.831216 ,4.628448 ,4.680617 ,4.636822 ,4.543204 ,4.550187 ,4.333058 ,3.857875 ,3.445827 ,3.593443 ,3.623985 ,3.393086 ,2.954428 ,3.027303 ,3.478817 ,3.43609 ,3.114452 ,2.543114 ,2.596517 ,2.741975 ,2.583742 ,1.981638 ,1.559478 ,1.128723 ,1.165868 ,0.9754027 ,1.058431 ,0.7563056 ,0.6932062 ,0.5575877 ,0.6621882 ,0.5889927 ,0.6422991 ,0.5606081 ,0.5520048 ,0.4476509 ,0.4177214 ,0.3450958 ,0.3018434 ,0.186535 ,0.2647785 ,0.2463165 ,0.2764877 ,0.09434814 ,0.1130884 ,0.1587761 ,0.1995891 ,0.132758 ,0.1458903 ,0.1140715 ,0.1222306 ,0.0304805 ,0.04226642 ,0.07418179 ,0.07418179 ,0.05340167 ,0 ,0 ,0 ,0 ,0.02179866 ,0.04817659 ,0.04817659 ,0.02637793 ,0 ,0 ,0 ,0.01236933 ,0.0638242 ,0.07537092 ,0.0630016 ,0.01154672 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
1 ,8.818374 ,8.392867 ,7.541854 ,6.690841 ,5.839828 ,4.988815 ,4.509702 ,4.440693 ,4.680445 ,4.686413 ,4.489848 ,4.289647 ,3.929023 ,3.403658 ,3.043123 ,3.189119 ,3.39451 ,3.333459 ,3.173752 ,3.412283 ,3.766095 ,3.665052 ,3.21185 ,2.602292 ,2.507375 ,2.409757 ,2.273491 ,1.843973 ,1.568434 ,1.212323 ,1.094682 ,0.9258655 ,0.9544921 ,0.8120877 ,0.7662136 ,0.6312166 ,0.6882594 ,0.6507262 ,0.7040301 ,0.575785 ,0.4561269 ,0.40249 ,0.3819076 ,0.3334905 ,0.2443394 ,0.1599578 ,0.2262649 ,0.2139569 ,0.2230943 ,0.09556314 ,0.1169384 ,0.1227724 ,0.1419411 ,0.09739017 ,0.1161805 ,0.1305691 ,0.1627248 ,0.09152255 ,0.06377873 ,0.04945453 ,0.1149515 ,0.101098 ,0.06549693 ,0 ,3.645117e-3 ,0.0295235 ,0.04405594 ,0.05799611 ,0.03211773 ,0.01758529 ,0 ,0 ,0 ,8.246217e-3 ,0.04254947 ,0.05024728 ,0.04200106 ,7.697811e-3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
2 ,8.808389 ,8.355132 ,7.448618 ,6.542104 ,5.63559 ,4.729076 ,4.147542 ,3.924372 ,4.072525 ,4.288838 ,4.475334 ,4.528323 ,4.163455 ,3.55416 ,3.27534 ,3.528139 ,3.882958 ,3.789685 ,3.467521 ,3.380443 ,3.420373 ,3.372471 ,3.047304 ,2.590382 ,2.267486 ,1.932163 ,1.852236 ,1.688812 ,1.679285 ,1.420105 ,1.282257 ,1.111163 ,1.098662 ,1.018161 ,0.9873418 ,0.7954441 ,0.7122812 ,0.6756329 ,0.710901 ,0.6181024 ,0.4215065 ,0.3859054 ,0.3431383 ,0.2838435 ,0.1592891 ,0.09079268 ,0.1424767 ,0.1246267 ,0.1099714 ,0.03266438 ,0.06826549 ,0.06984705 ,0.06180706 ,0.03509078 ,0.04448594 ,0.109692 ,0.1364083 ,0.1008072 ,0.06330794 ,0.07228248 ,0.1377794 ,0.1100726 ,0.06549693 ,0 ,3.645117e-3 ,0.0295235 ,0.04405594 ,0.05799611 ,0.03211773 ,0.01758529 ,0 ,0 ,0 ,8.246217e-3 ,0.04254947 ,0.05024728 ,0.04200106 ,7.697811e-3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
3 ,8.831688 ,8.443182 ,7.66617 ,6.889157 ,6.112145 ,5.335133 ,4.792998 ,4.509867 ,4.492519 ,4.517493 ,4.535251 ,4.503326 ,4.131548 ,3.541336 ,3.233535 ,3.314445 ,3.550472 ,3.420204 ,3.276471 ,3.29007 ,3.249141 ,3.175954 ,2.87016 ,2.632819 ,2.276179 ,1.712485 ,1.507167 ,1.519542 ,1.694179 ,1.475121 ,1.164406 ,1.149316 ,1.175941 ,1.233513 ,1.057491 ,0.8615187 ,0.6898366 ,0.7190411 ,0.6833713 ,0.5081857 ,0.2637271 ,0.2708768 ,0.3526344 ,0.3209096 ,0.2250912 ,0.1218144 ,0.1813505 ,0.19194 ,0.2028576 ,0.1118841 ,0.07447623 ,0.02631684 ,0.05387796 ,0.0538811 ,0.05452142 ,0.0841264 ,0.1108427 ,0.1008072 ,0.06330794 ,0.04565591 ,0.1111528 ,0.08344601 ,0.06549693 ,0 ,3.645117e-3 ,0.0295235 ,0.0295235 ,0.02587838 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
4 ,8.838344 ,8.468339 ,7.728327 ,6.988316 ,6.248304 ,5.508293 ,4.941016 ,4.564217 ,4.419172 ,4.402646 ,4.527722 ,4.79643 ,4.858859 ,4.632541 ,4.171063 ,3.855708 ,3.678275 ,3.512198 ,3.189751 ,2.807074 ,2.601911 ,2.657035 ,2.625247 ,2.633677 ,2.269495 ,1.774289 ,1.4217 ,1.373948 ,1.732009 ,1.676564 ,1.538436 ,1.407835 ,1.35436 ,1.393647 ,1.170104 ,1.01864 ,0.7394242 ,0.7279982 ,0.5585058 ,0.418612 ,0.2619689 ,0.2624393 ,0.3344559 ,0.336394 ,0.2652907 ,0.1591559 ,0.1635728 ,0.1795065 ,0.208699 ,0.1587029 ,0.1159508 ,0.08143908 ,0.08108658 ,0.09892117 ,0.08952601 ,0.06231739 ,0.04992531 ,0.04992531 ,0.04203103 ,0.04565591 ,0.04565591 ,0.01794908 ,0 ,0 ,0 ,0 ,0 ,0.01801582 ,0.03350115 ,0.03350115 ,0.01548533 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.720517e-3 ,0.03147553 ,0.0665812 ,0.08711541 ,0.08776419 ,0.07021135 ,0.05265851 ,0.03510567 ,0.01755284 ,8.776419e-3 ,
5 ,8.845001 ,8.493496 ,7.790485 ,7.087474 ,6.384463 ,5.681452 ,5.216428 ,5.013836 ,5.05643 ,5.07718 ,4.961072 ,4.59814 ,4.415573 ,4.427767 ,4.250149 ,3.724526 ,3.215475 ,3.139284 ,3.051586 ,2.853462 ,2.836162 ,2.981232 ,3.035015 ,2.93435 ,2.611397 ,2.019634 ,1.622981 ,1.465981 ,1.65489 ,1.484762 ,1.31701 ,1.248422 ,1.253748 ,1.277321 ,1.083923 ,0.9718022 ,0.7515994 ,0.7198581 ,0.5411812 ,0.4918133 ,0.3968784 ,0.3638511 ,0.3734337 ,0.343647 ,0.2971599 ,0.161094 ,0.1474898 ,0.1991235 ,0.2657564 ,0.2299051 ,0.1515519 ,0.08143908 ,0.08108658 ,0.09892117 ,0.08952601 ,0.03271241 ,0.02032033 ,0.02032033 ,0.02817762 ,0.02282796 ,0.02282796 ,8.974542e-3 ,0 ,0 ,0 ,9.722728e-3 ,0.04532384 ,0.08092495 ,0.08668755 ,0.05108644 ,0.01548533 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.720517e-3 ,0.03147553 ,0.0665812 ,0.08711541 ,0.08776419 ,0.07021135 ,0.05265851 ,0.03510567 ,0.01755284 ,8.776419e-3 ,
6 ,8.825031 ,8.418025 ,7.604012 ,6.789999 ,5.975987 ,5.161974 ,4.695938 ,4.613624 ,4.866378 ,5.024298 ,4.916465 ,4.401665 ,4.169235 ,4.33522 ,4.551713 ,4.025325 ,3.351904 ,3.069272 ,2.994563 ,2.67362 ,2.442513 ,2.552133 ,2.777583 ,2.896662 ,2.590568 ,2.193378 ,1.731617 ,1.674703 ,1.583327 ,1.454319 ,1.292265 ,1.210269 ,1.233446 ,1.12504 ,1.072701 ,0.9605799 ,0.8037874 ,0.7198317 ,0.5143364 ,0.5470461 ,0.5072935 ,0.4901986 ,0.39458 ,0.354073 ,0.2827718 ,0.2226054 ,0.1811527 ,0.2471096 ,0.2716749 ,0.2714247 ,0.2144484 ,0.1694521 ,0.09789736 ,0.08013085 ,0.0539249 ,0.03271241 ,0.02032033 ,0.02032033 ,0.0143242 ,0 ,0 ,0 ,0 ,0 ,0 ,9.722728e-3 ,0.04532384 ,0.08092495 ,0.08668755 ,0.05108644 ,0.01548533 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.720517e-3 ,0.03147553 ,0.0665812 ,0.08711541 ,0.08776419 ,0.07021135 ,0.05265851 ,0.03510567 ,0.01755284 ,8.776419e-3 ,
7 ,8.838344 ,8.468339 ,7.728327 ,6.988316 ,6.248304 ,5.508293 ,5.030192 ,4.840905 ,4.917951 ,4.961563 ,4.800741 ,4.255567 ,3.932617 ,4.010697 ,4.320407 ,4.010256 ,3.488848 ,3.197074 ,3.103451 ,2.819402 ,2.54425 ,2.458378 ,2.652706 ,2.811232 ,2.625684 ,2.334669 ,1.895005 ,1.877436 ,1.428929 ,1.13069 ,0.9113857 ,0.9135964 ,1.056025 ,0.9112224 ,1.020151 ,0.9137565 ,0.7959954 ,0.7016608 ,0.5140691 ,0.5769779 ,0.5633325 ,0.5725856 ,0.4798281 ,0.4056581 ,0.352207 ,0.279834 ,0.2720442 ,0.2898942 ,0.323597 ,0.2601845 ,0.2245834 ,0.1780056 ,0.1151958 ,0.0439936 ,8.392494e-3 ,0 ,0 ,2.383228e-4 ,0.02198602 ,0.02198602 ,0.0217477 ,0 ,0 ,0 ,0 ,9.722728e-3 ,0.04532384 ,0.06290913 ,0.0531864 ,0.01758529 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.132944e-3 ,0.03170995 ,0.05677921 ,0.05853143 ,0.03195442 ,6.885167e-3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
8 ,8.84833 ,8.506074 ,7.821564 ,7.137053 ,6.452542 ,5.768032 ,5.226739 ,4.843377 ,4.657675 ,4.593313 ,4.584762 ,4.520911 ,4.509599 ,4.586101 ,4.641966 ,4.13995 ,3.50993 ,3.095245 ,3.000484 ,2.743831 ,2.440921 ,2.217096 ,2.305084 ,2.499048 ,2.46402 ,2.416916 ,1.98488 ,1.870828 ,1.290117 ,1.047424 ,0.9460393 ,0.8401788 ,0.9863086 ,0.8031754 ,1.084282 ,0.9118508 ,0.7745739 ,0.6131816 ,0.470645 ,0.4899686 ,0.4624776 ,0.4712602 ,0.3732251 ,0.3802266 ,0.3446255 ,0.3294088 ,0.3328069 ,0.30255 ,0.3116283 ,0.2213832 ,0.2605218 ,0.2385683 ,0.1596786 ,0.0439936 ,8.392494e-3 ,5.99613e-3 ,0.02032033 ,0.02055865 ,0.03631022 ,0.02198602 ,0.0217477 ,0 ,0.02326923 ,0.0269936 ,0.0269936 ,3.724374e-3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5.132944e-3 ,0.03170995 ,0.05677921 ,0.05853143 ,0.03195442 ,6.885167e-3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
9 ,8.851658 ,8.518653 ,7.852642 ,7.186632 ,6.520622 ,5.854611 ,5.364445 ,5.068187 ,4.949187 ,4.80357 ,4.670303 ,4.646136 ,4.637204 ,4.567243 ,4.406312 ,4.083469 ,3.683437 ,3.290632 ,3.059391 ,2.861801 ,2.637437 ,2.375346 ,2.34413 ,2.384151 ,2.299177 ,2.173489 ,1.858121 ,1.693258 ,1.327948 ,1.03516 ,0.9562613 ,0.839001 ,1.097284 ,1.034746 ,1.201468 ,0.9525937 ,0.7711937 ,0.6126184 ,0.4610983 ,0.4747105 ,0.3940143 ,0.4685562 ,0.4498621 ,0.4854632 ,0.437554 ,0.3757004 ,0.3044982 ,0.1958775 ,0.1557661 ,0.1006439 ,0.1914146 ,0.1772747 ,0.1695873 ,0.06278393 ,0.06955923 ,0.03156176 ,0.04588596 ,0.02055865 ,0.03631022 ,0.02198602 ,0.05449616 ,0.03274846 ,0.05601769 ,0.0269936 ,0.0269936 ,3.724374e-3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8.246217e-3 ,0.04254947 ,0.05024728 ,0.04200106 ,0.01283076 ,0.03170995 ,0.05677921 ,0.05853143 ,0.03195442 ,6.885167e-3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
