conotool csv
//HEADER//
invert,0
maxtheta,90 
maxphi,359 
thetastep,1 
phistep,1 
source,Autronics
filename,@Detector_Ang10480.csv
commondata,yes
datatype,Luminance
spotsize,N/A
spotinpower,N/A
//BODY//
Phi\Theta,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,
0 ,0.9562374 ,0.9423622 ,0.9146118 ,0.8868613 ,0.8591109 ,0.8313605 ,0.7737803 ,0.6833061 ,0.5654722 ,0.4594271 ,0.3929664 ,0.3952941 ,0.4327541 ,0.4613793 ,0.4179084 ,0.7733728 ,0.9710201 ,1.076034 ,0.8040502 ,0.7153705 ,0.9372697 ,1.097396 ,0.9903145 ,0.6226416 ,0.5589542 ,0.7766323 ,1.065607 ,0.988238 ,0.8290436 ,0.7123181 ,0.6747147 ,0.6267492 ,0.5893616 ,0.603792 ,0.6561838 ,0.6667955 ,0.5464568 ,0.4538944 ,0.3332114 ,0.4275746 ,0.5854036 ,0.829219 ,0.7434845 ,0.6248162 ,0.5283105 ,0.6085271 ,0.6194944 ,0.6836384 ,0.54141 ,0.6958094 ,0.7520328 ,0.7143579 ,0.4139637 ,0.3068587 ,0.5442507 ,0.6972667 ,0.6469486 ,0.5949777 ,0.6511711 ,0.5552424 ,0.7111684 ,0.6953816 ,0.7811497 ,0.6786253 ,0.673632 ,0.6796376 ,0.5946329 ,0.6216566 ,0.5689477 ,0.5338467 ,0.506823 ,0.5477137 ,0.5610161 ,0.5447224 ,0.668194 ,0.6191243 ,0.5525951 ,0.4632251 ,0.605562 ,0.7417866 ,0.7874888 ,0.7487019 ,0.6121718 ,0.3993083 ,0.2475443 ,0.1887637 ,0.215093 ,0.2414222 ,0.2677515 ,0.2940807 ,0.3072454 ,
1 ,0.9645584 ,0.9738085 ,0.9923088 ,1.010809 ,1.029309 ,1.04781 ,1.00976 ,0.9093514 ,0.7471837 ,0.5808169 ,0.4744442 ,0.5094731 ,0.54677 ,0.5110847 ,0.3895902 ,0.6202451 ,0.7938113 ,0.9189156 ,0.80159 ,0.7851521 ,0.9303702 ,0.9995823 ,0.9073173 ,0.6468159 ,0.5862428 ,0.7916899 ,0.973204 ,0.9352979 ,0.8341405 ,0.7228829 ,0.7197417 ,0.6228008 ,0.6780532 ,0.6581671 ,0.6314925 ,0.5939824 ,0.4993684 ,0.5155392 ,0.4977043 ,0.5963689 ,0.7205761 ,0.7746096 ,0.7190555 ,0.636067 ,0.590903 ,0.6472387 ,0.6301369 ,0.6890311 ,0.5842431 ,0.6959446 ,0.7974781 ,0.7316177 ,0.4712813 ,0.3732266 ,0.5146772 ,0.5894792 ,0.4881771 ,0.418167 ,0.5050838 ,0.4644301 ,0.7404427 ,0.7601176 ,0.8548603 ,0.6253836 ,0.5889372 ,0.6337603 ,0.651652 ,0.6758873 ,0.5580206 ,0.5616435 ,0.6532295 ,0.7654594 ,0.7464699 ,0.6635606 ,0.6562751 ,0.5742626 ,0.4752 ,0.420753 ,0.5422213 ,0.6686388 ,0.7295751 ,0.6953002 ,0.5587702 ,0.345659 ,0.1907218 ,0.1258425 ,0.1433953 ,0.1609482 ,0.178501 ,0.1960538 ,0.2048302 ,
2 ,0.9579016 ,0.9486515 ,0.9301512 ,0.9116509 ,0.8931506 ,0.8746503 ,0.8235241 ,0.7364205 ,0.6426012 ,0.6239628 ,0.6508814 ,0.6477779 ,0.5612191 ,0.4518499 ,0.4386088 ,0.5842519 ,0.6954475 ,0.7340349 ,0.6340119 ,0.5223475 ,0.5586481 ,0.6408425 ,0.6617198 ,0.631357 ,0.6113569 ,0.838817 ,0.8337759 ,0.781666 ,0.7174572 ,0.7341109 ,0.8218219 ,0.7657105 ,0.9331162 ,1.004318 ,0.9584443 ,0.8441572 ,0.685166 ,0.6761145 ,0.6320637 ,0.6761129 ,0.7415797 ,0.7256472 ,0.7122308 ,0.701353 ,0.6901703 ,0.7006897 ,0.6158209 ,0.6072376 ,0.6019548 ,0.7695069 ,0.8674269 ,0.7749627 ,0.5058813 ,0.4524424 ,0.510094 ,0.5776965 ,0.4635217 ,0.3727251 ,0.4480253 ,0.4290673 ,0.7432954 ,0.7849967 ,0.8797394 ,0.6792868 ,0.4893448 ,0.4985668 ,0.492578 ,0.6834529 ,0.6816505 ,0.6742356 ,0.7036609 ,0.7534273 ,0.7374793 ,0.6898064 ,0.7001224 ,0.6537111 ,0.5304153 ,0.3742979 ,0.4155399 ,0.5012795 ,0.5352521 ,0.4562401 ,0.3150816 ,0.1594022 ,0.05822623 ,0.01903915 ,0.03659198 ,0.05414482 ,0.07169766 ,0.0892505 ,0.09802691 ,
3 ,0.9645584 ,0.9738085 ,0.9923088 ,1.010809 ,1.029309 ,1.04781 ,0.9842812 ,0.8302976 ,0.6511616 ,0.6388581 ,0.7461391 ,0.8295013 ,0.7199076 ,0.5037351 ,0.3836907 ,0.4229331 ,0.5501449 ,0.6420339 ,0.647676 ,0.56175 ,0.5293629 ,0.5597792 ,0.616443 ,0.7340498 ,0.7615084 ,0.8118732 ,0.6753456 ,0.6037522 ,0.6390975 ,0.645679 ,0.7339476 ,0.7483652 ,0.9389714 ,1.01787 ,0.927132 ,0.7453846 ,0.567379 ,0.5777579 ,0.8010194 ,0.9352851 ,1.005103 ,0.6846197 ,0.6215562 ,0.6304958 ,0.7454874 ,0.6798031 ,0.6602849 ,0.6516026 ,0.7502171 ,0.7441123 ,0.7974752 ,0.7363595 ,0.6487248 ,0.604242 ,0.622392 ,0.577195 ,0.505574 ,0.3387956 ,0.4497339 ,0.4681017 ,0.7787622 ,0.7467687 ,0.820502 ,0.5665973 ,0.5165762 ,0.502529 ,0.6029785 ,0.679539 ,0.6467659 ,0.6455966 ,0.6692095 ,0.7491504 ,0.7699284 ,0.7408843 ,0.6134856 ,0.4508757 ,0.3148048 ,0.2817994 ,0.3020049 ,0.32041 ,0.32041 ,0.3116895 ,0.2889345 ,0.2523425 ,0.2127691 ,0.1755284 ,0.1404227 ,0.105317 ,0.07021135 ,0.03510567 ,0.01755284 ,
4 ,0.9579016 ,0.9486515 ,0.9301512 ,0.9116509 ,0.8931506 ,0.8746503 ,0.7853058 ,0.6178399 ,0.4443342 ,0.4570041 ,0.6177288 ,0.79066 ,0.7995085 ,0.7003015 ,0.6277062 ,0.5841644 ,0.6419819 ,0.7145772 ,0.7508428 ,0.6351041 ,0.5340293 ,0.4913056 ,0.4767672 ,0.5901181 ,0.638806 ,0.6469656 ,0.5868557 ,0.4841726 ,0.5320238 ,0.5442565 ,0.6459196 ,0.7609023 ,0.8249538 ,1.041925 ,1.062471 ,0.9721353 ,0.7875335 ,0.6869646 ,0.8024871 ,0.8548297 ,0.9246481 ,0.6846197 ,0.649648 ,0.6288009 ,0.8329436 ,0.6415607 ,0.6801188 ,0.637455 ,0.8719484 ,0.829514 ,0.7921061 ,0.6759076 ,0.631914 ,0.640802 ,0.6958338 ,0.6566329 ,0.5958906 ,0.4092795 ,0.5003683 ,0.5433409 ,0.7142112 ,0.5943907 ,0.6148708 ,0.5323947 ,0.5658284 ,0.438545 ,0.4860491 ,0.5452341 ,0.6256972 ,0.6040406 ,0.5764046 ,0.6207444 ,0.6474772 ,0.6670658 ,0.6807738 ,0.632665 ,0.5360205 ,0.3923767 ,0.3071051 ,0.2425671 ,0.183383 ,0.1474783 ,0.145164 ,0.1728891 ,0.1870769 ,0.1755284 ,0.1404227 ,0.105317 ,0.07021135 ,0.03510567 ,0.01755284 ,
5 ,0.9579016 ,0.9486515 ,0.9301512 ,0.9116509 ,0.8931506 ,0.8746503 ,0.7980453 ,0.6573667 ,0.4923452 ,0.4279834 ,0.4908026 ,0.6699409 ,0.7786827 ,0.7785985 ,0.6927051 ,0.64082 ,0.64082 ,0.6766213 ,0.7478235 ,0.7454066 ,0.6643466 ,0.5413138 ,0.4432663 ,0.468883 ,0.5844297 ,0.5962138 ,0.6748255 ,0.5589994 ,0.5735266 ,0.5324076 ,0.5922143 ,0.807762 ,0.8753388 ,0.9744454 ,0.9853916 ,0.9448818 ,0.9034147 ,0.732086 ,0.8300432 ,0.8552328 ,0.8850984 ,0.6270342 ,0.664867 ,0.7271296 ,0.931569 ,0.7111215 ,0.7301614 ,0.6053103 ,0.7356712 ,0.6078898 ,0.6346093 ,0.5701313 ,0.7145668 ,0.7233867 ,0.8308304 ,0.8224274 ,0.7795166 ,0.5575428 ,0.4946475 ,0.5462976 ,0.7140769 ,0.5917638 ,0.5926291 ,0.4455277 ,0.5796361 ,0.4860252 ,0.6482208 ,0.5448418 ,0.5019908 ,0.359005 ,0.3817568 ,0.543879 ,0.6748351 ,0.6952682 ,0.7273738 ,0.6847585 ,0.6084318 ,0.3987187 ,0.2688219 ,0.2241385 ,0.2528545 ,0.2797351 ,0.2820493 ,0.2523425 ,0.2127691 ,0.1755284 ,0.1404227 ,0.105317 ,0.07021135 ,0.03510567 ,0.01755284 ,
6 ,0.9512448 ,0.9234944 ,0.8679935 ,0.8124927 ,0.7569918 ,0.701491 ,0.6755064 ,0.6820702 ,0.688831 ,0.6117994 ,0.5406578 ,0.6379857 ,0.8263763 ,0.9623411 ,0.8949163 ,0.7519035 ,0.6246917 ,0.6044053 ,0.6945219 ,0.7571538 ,0.7496103 ,0.6971513 ,0.5925794 ,0.552559 ,0.4700996 ,0.5229135 ,0.5746481 ,0.5890898 ,0.5455657 ,0.5589953 ,0.6020143 ,0.7411313 ,0.819308 ,0.8855433 ,0.9098972 ,0.991992 ,1.024656 ,0.9626631 ,0.7574373 ,0.7909203 ,0.7824171 ,0.7313541 ,0.7701596 ,0.7473744 ,0.9500951 ,0.7514008 ,0.8138316 ,0.6607387 ,0.7217959 ,0.5586636 ,0.4981498 ,0.4372329 ,0.634407 ,0.7233789 ,0.7515058 ,0.7179254 ,0.642859 ,0.472493 ,0.4946533 ,0.5519501 ,0.6865044 ,0.5470089 ,0.5360716 ,0.4461467 ,0.5233171 ,0.5213886 ,0.7804919 ,0.7725504 ,0.714214 ,0.5151398 ,0.5070265 ,0.6318294 ,0.68384 ,0.6096568 ,0.6246626 ,0.6592499 ,0.6732341 ,0.4978242 ,0.3756253 ,0.3309419 ,0.3596578 ,0.3603768 ,0.2944261 ,0.1594022 ,0.05822623 ,0.01903915 ,0.03659198 ,0.05414482 ,0.07169766 ,0.0892505 ,0.09802691 ,
7 ,0.9479164 ,0.9109159 ,0.8369147 ,0.7629136 ,0.6889124 ,0.6149113 ,0.6014976 ,0.6548951 ,0.7322837 ,0.7009754 ,0.6117759 ,0.5876092 ,0.6885136 ,0.8473516 ,0.9684443 ,0.98412 ,0.8318995 ,0.6198861 ,0.5585903 ,0.6443192 ,0.7258786 ,0.7530013 ,0.6777843 ,0.6218048 ,0.5324878 ,0.6237497 ,0.6569392 ,0.7227225 ,0.6646712 ,0.7393308 ,0.7461911 ,0.8118283 ,0.8704298 ,0.7692469 ,0.7432456 ,0.7998896 ,0.8474432 ,0.7829178 ,0.6940129 ,0.8255418 ,0.8662852 ,0.878878 ,0.8361109 ,0.8797431 ,0.8673361 ,0.75956 ,0.6800274 ,0.5145277 ,0.5664474 ,0.4737888 ,0.4435319 ,0.4816048 ,0.6680028 ,0.7747444 ,0.776025 ,0.773253 ,0.8084971 ,0.576726 ,0.5651464 ,0.5033375 ,0.6765839 ,0.602889 ,0.595309 ,0.463206 ,0.5319246 ,0.5888664 ,0.8727628 ,0.8292202 ,0.7151669 ,0.5009789 ,0.4686068 ,0.5775264 ,0.6235821 ,0.5571652 ,0.5382658 ,0.5295542 ,0.5588217 ,0.4940503 ,0.4773284 ,0.4839925 ,0.4857448 ,0.4330062 ,0.3396719 ,0.2269743 ,0.1590253 ,0.1448816 ,0.1799873 ,0.215093 ,0.2501987 ,0.2853043 ,0.3028572 ,
8 ,0.9545732 ,0.9360729 ,0.8990724 ,0.8620718 ,0.8250712 ,0.7880706 ,0.7622547 ,0.7487722 ,0.7272856 ,0.6523656 ,0.5812475 ,0.6162764 ,0.7634097 ,0.9413311 ,1.033443 ,0.9590024 ,0.8165979 ,0.6562928 ,0.6028668 ,0.6175906 ,0.6710924 ,0.7617187 ,0.7908882 ,0.7810671 ,0.5868041 ,0.7064179 ,0.6550756 ,0.7679269 ,0.7409226 ,0.8288118 ,0.8968998 ,0.7610702 ,0.7484933 ,0.662704 ,0.5693083 ,0.6882472 ,0.7358008 ,0.8712437 ,0.7732865 ,0.8498908 ,0.8892503 ,0.9253219 ,0.8091209 ,0.6875635 ,0.6877613 ,0.6408201 ,0.6802975 ,0.5786406 ,0.7310141 ,0.6678519 ,0.5734677 ,0.5974007 ,0.7653351 ,0.827597 ,0.8000518 ,0.7072719 ,0.8052522 ,0.5832783 ,0.6226757 ,0.5691255 ,0.7340522 ,0.6030086 ,0.5730246 ,0.3894504 ,0.4974153 ,0.4838688 ,0.6723174 ,0.6611612 ,0.6313227 ,0.5726116 ,0.5754102 ,0.6491267 ,0.6513765 ,0.560221 ,0.4736149 ,0.4856157 ,0.5740139 ,0.6679556 ,0.6657983 ,0.5919375 ,0.4735693 ,0.3755983 ,0.3027048 ,0.2538288 ,0.2332946 ,0.2326458 ,0.2501987 ,0.2677515 ,0.2853043 ,0.3028572 ,0.3116336 ,
9 ,0.9545732 ,0.9360729 ,0.8990724 ,0.8620718 ,0.8250712 ,0.7880706 ,0.7495153 ,0.7092454 ,0.6521576 ,0.5543759 ,0.4833655 ,0.548768 ,0.6948903 ,0.8358856 ,0.896231 ,0.9863476 ,0.954727 ,0.8137156 ,0.6634414 ,0.6580181 ,0.6936192 ,0.7000609 ,0.6939074 ,0.7037285 ,0.5906679 ,0.6654947 ,0.7124495 ,0.8327869 ,0.8291622 ,0.852564 ,0.8278008 ,0.7209975 ,0.5979919 ,0.5572632 ,0.5258066 ,0.6398369 ,0.735181 ,0.7927448 ,0.837599 ,0.7636601 ,0.7345851 ,0.7198889 ,0.696102 ,0.6990699 ,0.6868607 ,0.6606082 ,0.6035508 ,0.4592301 ,0.6134429 ,0.6509792 ,0.6615916 ,0.6573391 ,0.7292463 ,0.7292557 ,0.7609564 ,0.7325548 ,0.8982301 ,0.6796054 ,0.5784595 ,0.5013135 ,0.6460939 ,0.7130095 ,0.573162 ,0.4316293 ,0.505787 ,0.6210985 ,0.7517824 ,0.6702851 ,0.6106081 ,0.5533569 ,0.5709422 ,0.6111738 ,0.64082 ,0.6243276 ,0.5557211 ,0.5403254 ,0.6084059 ,0.763284 ,0.7791749 ,0.6814539 ,0.5308653 ,0.4591678 ,0.4340985 ,0.4272133 ,0.4272133 ,0.4272133 ,0.4272133 ,0.4272133 ,0.4272133 ,0.4272133 ,0.4272133 ,
