conotool csv
//HEADER//
invert,0
maxtheta,90 
maxphi,359 
thetastep,1 
phistep,1 
source,Autronics
filename,@Detector_Ang20040.csv
commondata,yes
datatype,Luminance
spotsize,N/A
spotinpower,N/A
//BODY//
Phi\Theta,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,
0 ,0.6807607 ,0.7917624 ,1.013766 ,1.235769 ,1.457773 ,1.679776 ,1.758235 ,1.678405 ,1.49203 ,1.42978 ,1.617521 ,2.159591 ,2.862786 ,3.712303 ,4.878717 ,5.494877 ,5.261187 ,4.361443 ,4.011878 ,4.192145 ,4.292626 ,4.074227 ,3.662243 ,4.049311 ,3.683773 ,3.86647 ,3.866536 ,4.292703 ,4.517896 ,3.73522 ,3.51219 ,3.385881 ,3.5462 ,3.460566 ,2.987682 ,2.60128 ,2.081563 ,2.192829 ,2.377979 ,2.89006 ,2.682091 ,2.381871 ,2.0361 ,1.657601 ,1.598316 ,1.288714 ,1.45779 ,1.497737 ,1.529067 ,1.389703 ,1.082618 ,0.9253827 ,0.7616022 ,0.7215373 ,0.8404245 ,1.069103 ,1.092952 ,0.9703806 ,0.6179126 ,0.4208004 ,0.4172364 ,0.449858 ,0.45993 ,0.4474493 ,0.3351783 ,0.244781 ,0.0915313 ,0.09635318 ,0.09635318 ,0.1462569 ,0.1639162 ,0.2167207 ,0.1889285 ,0.1308826 ,0.129533 ,0.07537092 ,0.0630016 ,0.01924613 ,0.04756493 ,0.1009666 ,0.1466688 ,0.1471242 ,0.1129917 ,0.05959005 ,0.01926915 ,0 ,0 ,0 ,0 ,0 ,0 ,
1 ,0.6874175 ,0.8169195 ,1.075923 ,1.334928 ,1.593932 ,1.852936 ,2.033647 ,2.128024 ,2.142846 ,2.167819 ,2.328319 ,2.782371 ,3.291415 ,3.801666 ,4.490595 ,5.049642 ,5.098051 ,4.625712 ,4.309332 ,4.281317 ,4.238987 ,4.171183 ,4.139396 ,4.415201 ,3.882328 ,3.697304 ,3.664202 ,4.035633 ,4.309114 ,3.76948 ,3.765196 ,3.728731 ,3.803559 ,3.652016 ,3.067343 ,2.646038 ,2.186662 ,2.290205 ,2.395603 ,2.638326 ,2.380415 ,2.173589 ,1.820624 ,1.501994 ,1.415984 ,1.423341 ,1.519497 ,1.546129 ,1.347118 ,1.296394 ,1.02935 ,0.9455891 ,0.792056 ,0.7831189 ,0.7983355 ,0.9615767 ,0.9720985 ,0.9109323 ,0.5889998 ,0.4007137 ,0.3304648 ,0.3875349 ,0.3833122 ,0.4358926 ,0.3474706 ,0.2884203 ,0.1225004 ,0.09011384 ,0.06423545 ,0.1182826 ,0.1457033 ,0.1985078 ,0.1948028 ,0.1678126 ,0.1493113 ,0.07760217 ,0.04200106 ,0.01283076 ,0.03170995 ,0.06731106 ,0.09777923 ,0.09808282 ,0.07532781 ,0.0397267 ,0.0128461 ,0 ,0 ,0 ,0 ,0 ,0 ,
2 ,0.6807607 ,0.7917624 ,1.013766 ,1.235769 ,1.457773 ,1.679776 ,1.88563 ,2.073674 ,2.23653 ,2.377924 ,2.582515 ,2.974269 ,3.332218 ,3.534085 ,3.553201 ,3.926868 ,4.29306 ,4.598956 ,4.620669 ,4.548707 ,4.286027 ,4.137286 ,4.25703 ,4.346728 ,4.031318 ,3.439289 ,3.535 ,3.653019 ,4.041482 ,3.788817 ,3.800743 ,3.575815 ,3.609868 ,3.455113 ,3.125741 ,2.539913 ,2.305093 ,2.384584 ,2.579886 ,2.431235 ,2.086101 ,1.828581 ,1.742259 ,1.493803 ,1.404849 ,1.312958 ,1.414488 ,1.410862 ,1.157144 ,1.233472 ,1.121326 ,1.176409 ,0.9597139 ,0.8796299 ,0.7760868 ,0.755702 ,0.6914525 ,0.7762783 ,0.6162241 ,0.5380692 ,0.290768 ,0.3119582 ,0.2654198 ,0.3291732 ,0.3732261 ,0.3808737 ,0.2749829 ,0.1857648 ,0.09773661 ,0.1102277 ,0.08833696 ,0.1080547 ,0.1240027 ,0.1283082 ,0.1274084 ,0.07760217 ,0.04200106 ,7.697811e-3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
3 ,0.6707755 ,0.7540268 ,0.9205294 ,1.087032 ,1.253535 ,1.420037 ,1.689082 ,2.071202 ,2.483248 ,2.682668 ,2.744078 ,2.870228 ,3.05094 ,3.196882 ,3.299104 ,3.679496 ,4.169331 ,4.548615 ,4.647597 ,4.573051 ,4.331186 ,4.328096 ,4.575428 ,4.648595 ,4.450644 ,4.064195 ,4.166262 ,4.09971 ,4.06911 ,3.788456 ,3.831706 ,4.051136 ,4.081611 ,3.929265 ,3.146573 ,2.617208 ,2.411156 ,2.468242 ,2.647585 ,2.376626 ,2.207324 ,1.9501 ,1.820482 ,1.584999 ,1.405373 ,1.399035 ,1.364931 ,1.295645 ,0.9990867 ,1.035416 ,1.113769 ,1.338646 ,1.160993 ,0.9918694 ,0.6637888 ,0.6909974 ,0.6979501 ,0.8238717 ,0.6023707 ,0.5149442 ,0.3089494 ,0.4100724 ,0.3358099 ,0.36943 ,0.3830047 ,0.3661684 ,0.2912418 ,0.1844385 ,0.08668755 ,0.09264244 ,0.1082903 ,0.128406 ,0.1224512 ,0.09855712 ,0.06295601 ,0.02735489 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
4 ,0.6674471 ,0.7414483 ,0.8894506 ,1.037453 ,1.185455 ,1.333457 ,1.551376 ,1.846393 ,2.164619 ,2.345401 ,2.460494 ,2.674661 ,2.875618 ,2.984633 ,3.055089 ,3.545522 ,3.987721 ,4.226393 ,4.160691 ,4.199804 ,4.226962 ,4.281411 ,4.425862 ,4.516869 ,4.594356 ,4.244419 ,4.24946 ,4.196065 ,4.098626 ,3.974969 ,3.669049 ,3.770736 ,3.852814 ,3.570899 ,3.189082 ,2.430566 ,2.511285 ,2.37331 ,2.650208 ,2.461791 ,2.37081 ,2.059949 ,1.920749 ,1.75453 ,1.610308 ,1.295614 ,1.235636 ,1.14698 ,1.140689 ,1.075064 ,1.190749 ,1.316637 ,1.124314 ,0.9464347 ,0.6461543 ,0.6697736 ,0.703319 ,0.7836034 ,0.7041682 ,0.5987926 ,0.4929426 ,0.5559718 ,0.4763891 ,0.4482367 ,0.399061 ,0.3084133 ,0.2297623 ,0.1585601 ,0.08668755 ,0.07186444 ,0.111771 ,0.1502845 ,0.1432047 ,0.1032981 ,0.08360255 ,0.07760217 ,0.05919708 ,0.055362 ,0.05668829 ,0.03949227 ,9.024102e-3 ,0 ,0 ,4.954368e-4 ,6.841819e-3 ,0.01903915 ,0.03659198 ,0.05414482 ,0.07169766 ,0.0892505 ,0.09802691 ,
5 ,0.6674471 ,0.7414483 ,0.8894506 ,1.037453 ,1.185455 ,1.333457 ,1.551376 ,1.846393 ,2.178178 ,2.408906 ,2.568437 ,2.749127 ,2.974372 ,3.224552 ,3.52714 ,4.047914 ,4.353907 ,4.541272 ,4.329283 ,4.194832 ,4.27862 ,4.235518 ,4.351485 ,4.369817 ,4.545308 ,4.646683 ,4.564737 ,4.516999 ,4.019996 ,3.900793 ,3.731022 ,4.322867 ,4.363918 ,3.940726 ,3.10674 ,2.416093 ,2.548262 ,2.401998 ,2.635052 ,2.375896 ,2.536098 ,2.245228 ,2.107916 ,1.765593 ,1.698459 ,1.575102 ,1.454191 ,1.203562 ,1.135265 ,1.066977 ,1.193423 ,1.167511 ,1.064149 ,0.8861305 ,0.712084 ,0.6472536 ,0.6684687 ,0.562142 ,0.5715588 ,0.451859 ,0.5581857 ,0.6356258 ,0.5451058 ,0.4064257 ,0.3095519 ,0.2395643 ,0.2002388 ,0.1326817 ,0.08668755 ,0.07186444 ,0.111771 ,0.1502845 ,0.1432047 ,0.1032981 ,0.08360255 ,0.07760217 ,0.05919708 ,0.055362 ,0.05668829 ,0.03949227 ,9.024102e-3 ,0 ,0 ,4.954368e-4 ,6.841819e-3 ,0.01903915 ,0.03659198 ,0.05414482 ,0.07169766 ,0.0892505 ,0.09802691 ,
6 ,0.6774323 ,0.7791839 ,0.982687 ,1.18619 ,1.389693 ,1.593196 ,1.786142 ,1.967445 ,2.136506 ,2.302873 ,2.560908 ,3.042231 ,3.39048 ,3.49049 ,3.444679 ,3.647871 ,3.827064 ,3.923933 ,3.869657 ,3.965419 ,4.225798 ,4.120926 ,4.051338 ,4.063204 ,4.386701 ,4.772654 ,4.384943 ,4.155847 ,3.627257 ,3.795124 ,3.707392 ,3.818605 ,3.711902 ,3.382357 ,3.114959 ,2.661461 ,2.752171 ,2.463502 ,2.410272 ,2.279981 ,2.195916 ,2.080653 ,1.903722 ,1.880743 ,1.932918 ,1.842457 ,1.560642 ,1.236894 ,1.136675 ,1.118611 ,1.157748 ,0.9202082 ,0.8356621 ,0.7556369 ,0.7119798 ,0.5927322 ,0.5234003 ,0.4624719 ,0.5351966 ,0.4263714 ,0.4588815 ,0.4781366 ,0.4652365 ,0.3612858 ,0.2948902 ,0.2261172 ,0.1694474 ,0.1018903 ,0.06561888 ,0.05108644 ,0.05539191 ,0.07590577 ,0.08960396 ,0.08529849 ,0.08360255 ,0.07760217 ,0.05919708 ,0.06049494 ,0.08839824 ,0.09627148 ,0.06755554 ,0.03195442 ,6.885167e-3 ,4.954368e-4 ,6.841819e-3 ,0.01903915 ,0.03659198 ,0.05414482 ,0.07169766 ,0.0892505 ,0.09802691 ,
7 ,0.6807607 ,0.7917624 ,1.013766 ,1.235769 ,1.457773 ,1.679776 ,1.834672 ,1.915567 ,1.976694 ,2.176481 ,2.630795 ,3.438468 ,3.980239 ,4.113116 ,4.024681 ,3.793771 ,3.764621 ,3.810974 ,4.126124 ,4.349988 ,4.531821 ,4.422446 ,4.208206 ,4.053607 ,4.294672 ,5.003733 ,4.651797 ,4.26418 ,3.604477 ,3.776798 ,3.673115 ,3.764076 ,3.481092 ,3.412611 ,2.985293 ,2.85869 ,2.750646 ,2.541184 ,2.373034 ,2.176942 ,2.058268 ,1.916186 ,1.842224 ,1.733011 ,1.785384 ,1.616012 ,1.509346 ,1.265482 ,1.201637 ,1.11242 ,1.053785 ,0.849574 ,0.864949 ,0.7046324 ,0.6852018 ,0.5063685 ,0.5206927 ,0.4590493 ,0.4331666 ,0.3566147 ,0.3926925 ,0.4446396 ,0.4123959 ,0.3374693 ,0.2897713 ,0.2579939 ,0.1839799 ,0.134008 ,0.09773661 ,0.06867173 ,0.01548533 ,0 ,0 ,8.246217e-3 ,0.04384733 ,0.07944844 ,0.08960731 ,0.05913915 ,0.05011505 ,0.05677921 ,0.05853143 ,0.03195442 ,6.885167e-3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
8 ,0.6940742 ,0.8420765 ,1.138081 ,1.434086 ,1.73009 ,2.026095 ,2.168925 ,2.142848 ,2.00793 ,2.018488 ,2.384379 ,3.318203 ,4.004074 ,4.181305 ,3.987058 ,3.714225 ,3.720677 ,3.677327 ,4.015938 ,4.448574 ,4.863415 ,4.98813 ,4.562684 ,4.354397 ,4.329369 ,4.888229 ,4.626876 ,4.321676 ,3.776054 ,3.848454 ,3.64508 ,3.245962 ,2.882623 ,2.978518 ,3.129513 ,3.030269 ,2.605712 ,2.42014 ,2.277403 ,2.363228 ,2.204608 ,2.042932 ,1.909925 ,1.662219 ,1.556937 ,1.319069 ,1.417238 ,1.292584 ,1.164835 ,0.9836879 ,0.9481611 ,0.7967595 ,0.7580697 ,0.6778465 ,0.7415745 ,0.7391782 ,0.6986183 ,0.6319574 ,0.4816217 ,0.3890208 ,0.3842688 ,0.3997787 ,0.4118135 ,0.41007 ,0.353604 ,0.2344688 ,0.09297686 ,0.06423545 ,0.06423545 ,0.03517058 ,0 ,0 ,0 ,8.246217e-3 ,0.04384733 ,0.07944844 ,0.08960731 ,0.05913915 ,0.05011505 ,0.05677921 ,0.05853143 ,0.03195442 ,6.885167e-3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
9 ,0.6907458 ,0.829498 ,1.107002 ,1.384507 ,1.662011 ,1.939515 ,2.082177 ,2.076146 ,1.996592 ,2.104932 ,2.51507 ,3.29237 ,3.761927 ,3.812115 ,3.715667 ,3.848462 ,4.149902 ,4.269643 ,4.470876 ,4.718595 ,5.009631 ,5.289785 ,5.168242 ,5.182483 ,4.70647 ,4.641325 ,4.371248 ,4.322197 ,4.042616 ,4.007215 ,3.738031 ,3.480644 ,3.088755 ,3.080577 ,3.252117 ,3.225909 ,2.856468 ,2.387577 ,2.084199 ,2.048836 ,2.068614 ,1.86676 ,1.876686 ,1.462883 ,1.38928 ,1.158815 ,1.372558 ,1.290569 ,1.174628 ,0.9981283 ,0.8576049 ,0.7375519 ,0.6853499 ,0.6762639 ,0.7406323 ,0.8054731 ,0.8589675 ,0.7115456 ,0.5394992 ,0.4326958 ,0.4303198 ,0.4243607 ,0.3531585 ,0.3841635 ,0.3768732 ,0.2959483 ,0.1399239 ,0.05799611 ,0.03211773 ,0.01758529 ,0.01995329 ,0.03795289 ,0.03795289 ,0.02624581 ,0.04644305 ,0.1378508 ,0.1848198 ,0.1517559 ,0.08692523 ,0.06731106 ,0.09777923 ,0.09808282 ,0.07532781 ,0.0397267 ,0.0128461 ,0 ,0 ,0 ,0 ,0 ,0 ,
