conotool csv
//HEADER//
invert,0
maxtheta,90 
maxphi,359 
thetastep,1 
phistep,1 
source,Autronics
filename,@Detector_Ang20020.csv
commondata,yes
datatype,Luminance
spotsize,N/A
spotinpower,N/A
//BODY//
Phi\Theta,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,
0 ,0.3154174 ,0.3015422 ,0.2737918 ,0.2460413 ,0.2182909 ,0.1905405 ,0.2667241 ,0.4575182 ,0.7541715 ,1.038014 ,1.478433 ,2.337099 ,3.102055 ,3.498151 ,3.459226 ,3.39543 ,3.622284 ,3.786068 ,3.927002 ,3.966453 ,4.182009 ,4.590692 ,4.867069 ,5.243214 ,4.919891 ,5.112917 ,5.054187 ,5.719331 ,5.396614 ,5.211278 ,4.883198 ,4.876147 ,4.187363 ,3.451285 ,3.439808 ,3.953238 ,4.138323 ,3.920438 ,3.335422 ,3.154906 ,2.85615 ,3.298392 ,3.282559 ,2.874098 ,2.044313 ,1.858524 ,2.044531 ,1.961628 ,1.821806 ,1.669934 ,1.979617 ,1.84997 ,1.544793 ,1.184406 ,0.9717595 ,1.029449 ,0.8744127 ,0.7529136 ,0.5989111 ,0.7132933 ,0.6189694 ,0.6193875 ,0.3847844 ,0.4731643 ,0.3921906 ,0.4270944 ,0.4762783 ,0.6039919 ,0.5366989 ,0.3640636 ,0.1774806 ,0.1115681 ,0.08040106 ,0.02699939 ,1.946788e-3 ,0.04380174 ,0.07140938 ,0.08486142 ,0.1227375 ,0.1703376 ,0.1755943 ,0.1220248 ,0.1150821 ,0.1997436 ,0.2613462 ,0.2632926 ,0.210634 ,0.1579755 ,0.105317 ,0.05265851 ,0.02632926 ,
1 ,0.3170816 ,0.3078315 ,0.2893312 ,0.2708309 ,0.2523306 ,0.2338303 ,0.2973588 ,0.4513424 ,0.7186085 ,1.055565 ,1.500312 ,2.095371 ,2.607606 ,2.927764 ,2.990493 ,3.15404 ,3.476669 ,3.850381 ,4.10504 ,4.221931 ,4.265775 ,4.380958 ,4.615905 ,5.023313 ,5.121345 ,5.354383 ,5.350439 ,5.636393 ,5.129161 ,4.851034 ,4.698117 ,5.152607 ,4.709444 ,4.128119 ,3.622725 ,3.753571 ,4.008372 ,3.806156 ,3.424864 ,2.811971 ,2.617345 ,3.077585 ,3.031429 ,2.665255 ,2.089069 ,2.006329 ,2.076674 ,1.784407 ,1.589847 ,1.546135 ,1.748979 ,1.625365 ,1.415552 ,1.157534 ,1.087612 ,0.9544277 ,0.7922597 ,0.6656238 ,0.5708497 ,0.616853 ,0.5183693 ,0.5107538 ,0.340057 ,0.3952526 ,0.3485604 ,0.4371329 ,0.4525778 ,0.53043 ,0.4234181 ,0.3145735 ,0.1901849 ,0.1663589 ,0.1467058 ,0.08374984 ,0.06575025 ,0.07944844 ,0.08960731 ,0.06427209 ,0.081825 ,0.1135584 ,0.1170629 ,0.08134988 ,0.07672138 ,0.1336578 ,0.1810726 ,0.1945675 ,0.1770147 ,0.1594618 ,0.141909 ,0.1243562 ,0.1155798 ,
2 ,0.3303952 ,0.3581456 ,0.4136465 ,0.4691473 ,0.5246482 ,0.580149 ,0.618873 ,0.6390966 ,0.756067 ,1.180614 ,1.803675 ,2.354394 ,2.569657 ,2.567007 ,2.574676 ,3.074669 ,3.648679 ,4.11428 ,4.082616 ,4.059294 ,4.160369 ,4.261411 ,4.602622 ,5.087124 ,5.494965 ,5.509878 ,5.353708 ,5.292045 ,4.767364 ,4.640516 ,4.926787 ,5.389613 ,5.044149 ,4.437336 ,3.933198 ,4.037655 ,3.906473 ,4.074984 ,3.747129 ,3.410441 ,3.036233 ,3.047885 ,2.83651 ,2.480341 ,2.129971 ,2.012648 ,2.018084 ,1.713509 ,1.571045 ,1.601498 ,1.620918 ,1.390898 ,1.123227 ,1.007688 ,1.125422 ,1.058647 ,0.9324989 ,0.8194859 ,0.6830776 ,0.7466113 ,0.5422776 ,0.5287029 ,0.340057 ,0.4271293 ,0.3804371 ,0.4592869 ,0.3781891 ,0.3852696 ,0.3127267 ,0.2981943 ,0.2445773 ,0.1960051 ,0.160404 ,0.1248029 ,0.1068033 ,0.1068033 ,0.08960731 ,0.06427209 ,0.081825 ,0.1135584 ,0.1170629 ,0.0900704 ,0.1081969 ,0.200239 ,0.2681881 ,0.2823317 ,0.247226 ,0.2121204 ,0.1770147 ,0.141909 ,0.1243562 ,
3 ,0.3403803 ,0.3958812 ,0.5068829 ,0.6178846 ,0.7288864 ,0.8398881 ,0.9045965 ,0.9182564 ,0.9877906 ,1.339529 ,1.811204 ,2.06129 ,2.062019 ,2.001147 ,2.042377 ,2.740105 ,3.384082 ,3.916705 ,3.940313 ,4.135065 ,4.291956 ,4.278927 ,4.650419 ,4.948977 ,5.263186 ,4.921592 ,4.829832 ,4.795417 ,4.414906 ,4.32715 ,4.549889 ,5.246562 ,5.184006 ,4.909953 ,4.256841 ,4.096698 ,3.882353 ,3.78786 ,3.531213 ,2.997969 ,2.792866 ,2.656596 ,2.391899 ,2.08846 ,2.001126 ,2.091071 ,2.034455 ,1.694279 ,1.479841 ,1.508608 ,1.403387 ,1.220637 ,1.053055 ,1.169022 ,1.186473 ,1.051257 ,0.7683188 ,0.7570917 ,0.6030337 ,0.6455875 ,0.4360251 ,0.4216142 ,0.3394746 ,0.4678533 ,0.4479942 ,0.4750872 ,0.3939894 ,0.3682528 ,0.2654096 ,0.2152761 ,0.178168 ,0.1756538 ,0.1756538 ,0.1956071 ,0.2123088 ,0.1844055 ,0.1316084 ,0.06170401 ,0.01840509 ,0 ,0 ,8.720517e-3 ,0.03147553 ,0.06707664 ,0.09395723 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1068033 ,0.1068033 ,
4 ,0.3370519 ,0.3833027 ,0.4758041 ,0.5683055 ,0.660807 ,0.7533084 ,0.8560666 ,0.970135 ,1.154382 ,1.497674 ,1.888963 ,2.114883 ,2.161597 ,2.160356 ,2.250084 ,2.947203 ,3.575988 ,3.914891 ,3.734798 ,3.866918 ,4.226044 ,4.525575 ,4.947022 ,5.174788 ,5.207902 ,4.754705 ,4.496685 ,4.346934 ,4.114502 ,4.141991 ,4.601943 ,4.919481 ,4.866201 ,4.531204 ,4.091024 ,3.983784 ,3.478306 ,3.56419 ,3.25464 ,3.208853 ,3.029071 ,2.742011 ,2.51898 ,2.120524 ,2.005382 ,1.946432 ,1.85765 ,1.772619 ,1.561028 ,1.519322 ,1.560265 ,1.370791 ,1.193138 ,1.059677 ,0.9997907 ,0.979406 ,0.6949541 ,0.6990188 ,0.5508829 ,0.6841911 ,0.6443146 ,0.6535866 ,0.5445234 ,0.5427799 ,0.5119855 ,0.4614433 ,0.3831574 ,0.2971539 ,0.2409752 ,0.1783505 ,0.1611958 ,0.1364496 ,0.1478979 ,0.2299626 ,0.2299626 ,0.188868 ,0.08960731 ,0.0540062 ,0.01840509 ,0 ,0 ,8.720517e-3 ,0.03147553 ,0.0665812 ,0.08711541 ,0.08776419 ,0.07021135 ,0.05265851 ,0.03510567 ,0.01755284 ,8.776419e-3 ,
5 ,0.3303952 ,0.3581456 ,0.4136465 ,0.4691473 ,0.5246482 ,0.580149 ,0.6953095 ,0.8762579 ,1.139043 ,1.451026 ,1.788801 ,2.112049 ,2.273929 ,2.319423 ,2.438778 ,3.036623 ,3.665247 ,3.904112 ,3.850162 ,4.158068 ,4.536709 ,4.774098 ,4.824423 ,4.75052 ,4.653744 ,4.738155 ,4.704617 ,4.740357 ,4.365236 ,4.290543 ,4.459431 ,4.538218 ,4.623845 ,4.577978 ,4.32459 ,3.883152 ,3.201603 ,2.821982 ,2.609316 ,2.692702 ,2.776166 ,2.722852 ,2.491498 ,2.147394 ,2.057264 ,2.019869 ,1.96475 ,1.842013 ,1.52896 ,1.482655 ,1.60564 ,1.496857 ,1.390675 ,1.141318 ,1.009975 ,0.8099188 ,0.6458187 ,0.6006593 ,0.4822024 ,0.485949 ,0.5519225 ,0.6087138 ,0.5677926 ,0.50602 ,0.4505598 ,0.4285052 ,0.4393133 ,0.4491778 ,0.3319814 ,0.2314236 ,0.1587145 ,0.1608307 ,0.2167484 ,0.3187663 ,0.3354681 ,0.2664702 ,0.1316084 ,0.06170401 ,0.01840509 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
6 ,0.3303952 ,0.3581456 ,0.4136465 ,0.4691473 ,0.5246482 ,0.580149 ,0.7335277 ,0.9948385 ,1.350868 ,1.68149 ,2.010189 ,2.397287 ,2.625399 ,2.678405 ,2.746074 ,3.245862 ,3.752078 ,3.957535 ,3.921128 ,4.06519 ,4.230323 ,4.372681 ,4.313956 ,4.382784 ,4.452757 ,4.871795 ,4.892708 ,4.745792 ,4.450499 ,4.57831 ,4.777081 ,4.579911 ,4.606737 ,4.629827 ,4.339191 ,3.716005 ,3.00641 ,2.839669 ,2.698607 ,2.815167 ,2.859468 ,2.853878 ,2.658124 ,2.460423 ,2.179682 ,2.140448 ,1.93024 ,1.896753 ,1.525314 ,1.363866 ,1.45125 ,1.400713 ,1.424296 ,1.014642 ,0.9163387 ,0.6394598 ,0.6925354 ,0.5814296 ,0.6623872 ,0.6358824 ,0.6356441 ,0.627471 ,0.5599232 ,0.464293 ,0.3904515 ,0.3845525 ,0.4089805 ,0.3980451 ,0.2801784 ,0.2297542 ,0.1741998 ,0.1432292 ,0.1772439 ,0.2710157 ,0.2697178 ,0.1870218 ,0.04200106 ,7.697811e-3 ,0 ,0.01053185 ,0.0392478 ,0.06612839 ,0.06844264 ,0.0397267 ,0.0128461 ,0 ,0 ,0 ,0 ,0 ,0 ,
7 ,0.3470371 ,0.4210383 ,0.5690406 ,0.7170429 ,0.8650452 ,1.013047 ,1.167269 ,1.328349 ,1.522803 ,1.789063 ,2.153818 ,2.628933 ,2.822371 ,2.724051 ,2.618943 ,3.059513 ,3.775767 ,4.319535 ,4.580784 ,4.667102 ,4.489096 ,4.324655 ,4.092665 ,4.079161 ,4.342797 ,4.811801 ,5.22915 ,5.116829 ,4.807293 ,4.839837 ,4.686873 ,4.192497 ,4.040993 ,4.186763 ,4.453451 ,3.937325 ,3.365966 ,3.045394 ,2.983043 ,3.077317 ,2.975853 ,2.959921 ,2.643974 ,2.748052 ,2.310052 ,2.220304 ,1.854944 ,1.778299 ,1.614 ,1.366249 ,1.344948 ,1.195914 ,1.173472 ,0.9775641 ,0.8947908 ,0.8299499 ,0.90968 ,0.8540079 ,0.7985942 ,0.6563115 ,0.4811586 ,0.4213171 ,0.3860131 ,0.3624568 ,0.3535331 ,0.4214455 ,0.5278838 ,0.5448288 ,0.3855983 ,0.2998637 ,0.229092 ,0.2136067 ,0.2273049 ,0.2464135 ,0.2095146 ,0.132312 ,0.05919708 ,0.055362 ,0.05668829 ,0.05002412 ,0.0482719 ,0.06612839 ,0.06844264 ,0.0397267 ,0.0128461 ,0 ,0 ,0 ,0 ,0 ,0 ,
8 ,0.3536939 ,0.4461953 ,0.6311982 ,0.8162011 ,1.001204 ,1.186207 ,1.340765 ,1.461753 ,1.586154 ,1.806691 ,2.109211 ,2.432459 ,2.557727 ,2.516826 ,2.496563 ,2.879585 ,3.375208 ,3.862096 ,4.280159 ,4.557155 ,4.499124 ,4.306728 ,4.060663 ,4.17385 ,4.321884 ,4.662221 ,4.907877 ,4.831395 ,4.744091 ,5.003471 ,4.865554 ,4.235606 ,3.82077 ,3.980323 ,4.381499 ,4.066255 ,3.728985 ,3.456325 ,3.429707 ,3.295989 ,3.099193 ,2.986946 ,2.626472 ,2.716704 ,2.134877 ,2.136869 ,1.878312 ,1.961822 ,1.740086 ,1.310888 ,1.200547 ,1.139034 ,1.090794 ,0.8326361 ,0.6841553 ,0.7317487 ,0.8989373 ,0.9448122 ,0.9703562 ,0.8120245 ,0.630928 ,0.4917113 ,0.4774166 ,0.4202401 ,0.4260526 ,0.4557547 ,0.5157838 ,0.4688168 ,0.3199795 ,0.2487772 ,0.23356 ,0.2515596 ,0.2515596 ,0.2151138 ,0.1272099 ,0.08391095 ,0.08199829 ,0.1519027 ,0.1952016 ,0.2030748 ,0.1743589 ,0.1300372 ,0.08221297 ,0.0397267 ,0.0128461 ,0 ,0 ,0 ,0 ,0 ,0 ,
9 ,0.3570223 ,0.4587739 ,0.662277 ,0.8657802 ,1.069283 ,1.272786 ,1.351077 ,1.291293 ,1.167061 ,1.227566 ,1.45947 ,1.752344 ,1.951848 ,2.113066 ,2.369598 ,2.982108 ,3.670357 ,4.176931 ,4.44472 ,4.549498 ,4.500511 ,4.388272 ,4.182194 ,4.092661 ,4.321925 ,4.579425 ,4.883919 ,4.714461 ,4.607657 ,4.975901 ,4.935092 ,4.367831 ,3.748463 ,3.654155 ,4.16759 ,3.879629 ,3.713311 ,3.332805 ,3.697334 ,3.452684 ,3.207628 ,2.712552 ,2.34029 ,2.404769 ,1.982999 ,1.955728 ,1.873238 ,1.908839 ,1.841256 ,1.509665 ,1.438537 ,1.159562 ,0.8713118 ,0.7377796 ,0.7821356 ,1.007359 ,1.005365 ,1.191738 ,1.015969 ,0.8046812 ,0.5186879 ,0.4336323 ,0.483231 ,0.4542069 ,0.4258961 ,0.4187825 ,0.4085219 ,0.4183864 ,0.3310285 ,0.2455845 ,0.1971341 ,0.2151337 ,0.2359117 ,0.2151138 ,0.1272099 ,0.08391095 ,0.09919431 ,0.1995668 ,0.2518899 ,0.2425671 ,0.183383 ,0.1300372 ,0.08221297 ,0.0397267 ,0.0128461 ,0 ,0 ,0 ,0 ,0 ,0 ,
